problema,igd_nsga2,melhor_piso,piso_min,piso_max,rank_entre_pisos,ratio_vs_melhorpiso,n_SA_piores_que_nsga2,n_SA,rank_global,n_algs,melhor_global,igd_melhor_global
BBOB_F1,0.1359531134257377,nsga2,0.1359531134257377,0.2582138795238207,1,1.0,3,13,11,17,c262,0.0014561014382336
BBOB_F17,0.0206141256299147,nsga2,0.0206141256299147,0.0339335599190253,1,1.0,10,13,4,17,b4,0.0169204487831311
BBOB_F22,0.2676864895703527,smsemoa,0.1591300073706684,0.8116115946394648,2,1.682187376179899,4,13,11,17,c141,0.0343287612981191
BBOB_F37,0.2762060842222105,smsemoa,0.2539185871646663,0.4524787718089781,2,1.0877741850504656,3,13,12,17,c141,0.1024378970815427
BBOB_F49,0.2070601036537373,nsga2,0.2070601036537373,0.4078188625287026,1,1.0,5,13,9,17,c141,0.0808517926800655
BBOB_F5,0.1985265406103037,smsemoa,0.1192824482234564,0.2558106684608193,3,1.6643399223194706,2,13,14,17,c262,0.0048277052418038
BBOB_F55,0.6061479210199184,nsga2,0.6061479210199184,0.8084348763217353,1,1.0,1,12,12,16,c141,0.0131182527468183
DTLZ1,45.34570273153767,nsga2,45.34570273153767,63.71341357744688,1,1.0,13,13,1,17,nsga2,45.34570273153767
DTLZ2,0.2314965985503017,smsemoa,0.1700820491933293,0.3518633395536835,2,1.3610877788000044,2,12,12,16,c262,0.0306550164345873
DTLZ3,305.6544879630138,smsemoa,129.76799112603217,305.6544879630138,4,2.355391998525728,4,12,12,16,smsemoa,129.76799112603217
DTLZ4,0.3480468423174555,nsga3,0.2823977915542932,0.3480468423174555,4,1.2324701280482244,7,11,8,15,c122,0.116479171704431
DTLZ7,1.4252844080178932,nsga3,1.1247085866087754,1.8809617636365812,2,1.2672477342023456,1,11,12,15,c141,0.0348965794170276
MMF1,0.0628119931405187,nsga3,0.0570132770384747,0.0714342048541285,2,1.101708170504404,3,13,12,17,e81,0.0368606366708409
MMF11_L,0.0317573340494481,nsga3,0.0231565498976292,0.0436194300069967,2,1.3714190667366843,4,13,11,17,c238,0.0119608514985232
MMF16_20,0.0406997603316842,smsemoa,0.0316158421272363,0.0600143363541736,3,1.2873217220623177,2,11,12,15,c238,0.0189070252046334
MMF4,0.0403771229938478,nsga3,0.0377119334276083,0.0470914389681702,2,1.0706723130850766,2,13,13,17,c262,0.021017978540486
WFG1,0.4981943696243536,smsemoa,0.4953917959793528,0.7104681491693458,2,1.0056572871568459,9,10,3,14,b4,0.4903966551100259
WFG2,0.1227556938180429,nsga2,0.1227556938180429,0.223741203048006,1,1.0,10,12,3,16,c262,0.0565254541946007
WFG4,0.061710428820897,smsemoa,0.044424346453198,0.1090501547977985,2,1.3891128119557201,12,12,2,16,smsemoa,0.044424346453198
WFG5,0.0930752077028518,nsga2,0.0930752077028518,0.1873782241759709,1,1.0,4,12,9,16,c238,0.0301642307265236
WFG9,0.0999413549159468,nsga3,0.0955346891283579,0.1497323119704348,2,1.0461263424604672,8,12,6,16,c141,0.0750818925426917
ZDT1,0.4440783896843883,nsga2,0.4440783896843883,1.686875225032134,1,1.0,3,12,10,16,c262,0.000702785674901
ZDT3,0.3442625865872861,nsga2,0.3442625865872861,1.0249933278408947,1,1.0,5,11,7,15,b1,0.0126933727450429
ZDT4,43.898268794314845,nsga2,43.898268794314845,65.17103599448568,1,1.0,9,13,5,17,c262,5.928104893929911
ZDT6,6.445675963031797,nsga2,6.445675963031797,7.605188993963688,1,1.0,1,12,12,16,c262,0.0024453730300986
