prob,D,M,Nef,ngen,n_off_gen,ch_init,sid_init_dist,sid_init_eq_Nef,extra_init,ch_mid,ch_tail,off_full,fe_cons,fecha,partial,partial_le,hs_fe,hs_ok,ch_man,ch_tot,ch_bate,t4_rows,t4_eq_ngen,soma_t4,t_total,t_aval,t4_le_total,nan_fit,nan_busca,nan_sonda,nan_nac,dt_max
BBOB_F1,10,2,20,11,20,21,20,True,1,2,0,200,198,True,2,True,309,True,23,23,True,11,True,0.8350730538368225,5.020871,0.09657400000000002,True,11,11,11,11,7.74383546175983e-09
BBOB_F17,10,2,20,11,20,21,20,True,1,1,0,200,199,True,1,True,309,True,22,22,True,11,True,0.7209540009498596,4.852702,0.1349660000000001,True,11,11,11,11,5.978584294297207e-09
BBOB_F22,10,2,20,11,20,21,20,True,1,11,0,200,189,True,11,True,309,True,32,32,True,11,True,0.6515889763832092,4.517315,0.11268600000000006,True,11,11,11,11,6.11209868828233e-09
BBOB_F37,10,2,20,11,20,21,20,True,1,4,0,200,196,True,4,True,309,True,25,25,True,11,True,0.695298969745636,4.563131,0.12594899999999995,True,11,11,11,11,6.665229784763582e-09
BBOB_F49,10,2,20,11,20,21,20,True,1,1,0,200,199,True,1,True,309,True,22,22,True,11,True,1.3021819591522217,6.313985,0.8822250000000003,True,11,11,11,11,7.696151715919086e-09
BBOB_F5,10,2,20,11,20,21,20,True,1,2,0,200,198,True,2,True,309,True,23,23,True,11,True,0.7472659945487976,5.077274,0.10878900000000011,True,11,11,11,11,8.760452252509765e-09
BBOB_F55,10,2,20,11,20,21,20,True,1,10,0,200,190,True,10,True,309,True,31,31,True,11,True,1.3383159637451172,5.867637,1.0579330000000007,True,11,11,11,11,1.2773513802244452e-08
DTLZ1,7,3,15,11,14,16,15,True,1,4,1,140,136,True,5,True,216,True,21,21,True,11,True,0.6722690463066101,4.603608,0.06238900000000002,True,11,11,11,11,3.6602020303533322e-09
DTLZ2,12,3,15,18,14,16,15,True,1,8,0,238,230,True,10,True,371,True,24,24,True,18,True,0.7212839722633362,4.598481,0.112577,True,18,18,18,18,3.864288333765842e-09
DTLZ3,12,3,15,18,14,16,15,True,1,7,0,238,231,True,9,True,371,True,23,23,True,18,True,0.7078470587730408,4.423801,0.10756999999999996,True,18,18,18,18,1.4634132378121834e-09
DTLZ4,12,3,15,18,14,16,15,True,1,4,0,238,234,True,6,True,371,True,20,20,True,18,True,0.874783992767334,5.2568,0.12543100000000007,True,18,18,18,18,8.211135882341125e-09
DTLZ7,22,3,15,33,14,16,15,True,1,16,0,448,432,True,8,True,681,True,32,32,True,33,True,0.9624029994010925,5.098064,0.185759,True,33,33,33,33,1.9626617553392123e-09
MMF1,2,2,20,3,20,21,20,True,1,2,0,40,38,True,2,True,61,True,23,23,True,3,True,0.4473799765110016,4.326562,0.019838999999999996,True,3,3,3,3,7.061958323673068e-09
MMF11_L,2,2,20,3,20,21,20,True,1,1,0,40,39,True,1,True,61,True,22,22,True,3,True,0.4826509952545166,4.432251,0.021727,True,3,3,3,3,4.29058075179789e-09
MMF16_20,20,3,15,30,14,16,15,True,1,9,0,406,397,True,3,True,619,True,25,25,True,30,True,0.8718310594558716,4.772687,0.18649500000000016,True,30,30,30,30,5.440711964288525e-09
MMF4,2,2,20,3,20,21,20,True,1,1,0,40,39,True,1,True,61,True,22,22,True,3,True,0.4335229992866516,4.22653,0.019742000000000003,True,3,3,3,3,7.444381722176985e-09
WFG1,22,2,20,23,20,21,20,True,1,10,0,440,430,True,10,True,681,True,31,31,True,23,True,0.9446280598640442,5.527191,0.3177709999999999,True,23,23,23,23,6.6967010547980266e-09
WFG2,22,2,20,23,20,21,20,True,1,13,0,440,427,True,13,True,681,True,34,34,True,23,True,1.0005348920822144,5.03093,0.4100820000000003,True,23,23,23,23,6.875991831467587e-09
WFG4,22,2,20,23,20,21,20,True,1,15,0,440,425,True,15,True,681,True,36,36,True,23,True,0.9182068705558777,5.00235,0.25309299999999985,True,23,23,23,23,7.2498321512792785e-09
WFG5,22,2,20,23,20,21,20,True,1,16,0,440,424,True,16,True,681,True,37,37,True,23,True,0.8753689527511597,4.866574,0.2544579999999997,True,23,23,23,23,3.3121108911071673e-09
WFG9,22,2,20,23,20,21,20,True,1,7,0,440,433,True,7,True,681,True,28,28,True,23,True,1.548475980758667,5.865023,1.3597739999999985,True,23,23,23,23,4.0168762205361475e-09
ZDT1,30,2,20,31,20,21,20,True,1,17,0,600,583,True,17,True,929,True,38,38,True,31,True,0.8679220080375671,4.778756,0.22543599999999928,True,31,31,31,31,4.055976859929089e-09
ZDT3,30,2,20,31,20,21,20,True,1,11,0,600,589,True,11,True,929,True,32,32,True,31,True,0.9466809034347534,5.266825,0.2532370000000004,True,31,31,31,31,3.9653778038939436e-09
ZDT4,10,2,20,11,20,21,20,True,1,5,0,200,195,True,5,True,309,True,26,26,True,11,True,0.7048660516738892,4.72958,0.09006600000000002,True,11,11,11,11,4.320144658676028e-09
ZDT6,10,2,20,11,20,21,20,True,1,2,0,200,198,True,2,True,309,True,23,23,True,11,True,0.6995489597320557,4.654067,0.09762599999999998,True,11,11,11,11,3.6630630473322157e-09
