prob,D,M,Nnom,Nef,H,ngen,maxfe_ok,init_ok,fases,fe_dense,sid_dense,n_x_unicos,n_real,pop_sizes,n_grp,pop1_in_doe,n_pop1,ch_total,ch_init,ch_pos,hs,hs_fe,ch_man,n_off_gen,off_full,fe_consumido,arit_off,arit_ok,surr_rows,fit_series,sigma_dict,sonda_status,n_blocos,t_fit,t_busca,t_sonda,t_aval,t_total,soma_t4,t4_nan_fit,t4_nan_busca,t4_nan_sonda,t4_nan_nac,t4_rows,dt_jsonl_p,n_doe_log,n_frentes,n_frente1,excede,doe_hash_man,doe_hash_hdr,algo_version,status,termino,cp_init,n_foot,piso,surrogate_flag,principio,patches,operadores,Nef_foot
BBOB_F1,10,2,20,20,18,11,True,True,"['init', 'opt']",True,True,309,309,[np.int64(20)],11,True,20,23,21,2,1,309,23,20,200,198,2,True,0,0,False,nao_se_aplica,0,,,,0.09657400000000002,5.020871,0.8350729905068874,11,11,11,11,11,7.74383546175983e-09,109,17,7,False,f875df0bb01999e1f290e6e7341a7c1bbe3c5a4a2025bde15a394be99c8af127,f875df0bb01999e1f290e6e7341a7c1bbe3c5a4a2025bde15a394be99c8af127,piso-NSGAIII-PlatEMO4.15,ok,normal,True,1,True,False,referencia/indicador,NENHUM — piso e stock do PlatEMO 4.15 por design,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),20
BBOB_F17,10,2,20,20,18,11,True,True,"['init', 'opt']",True,True,309,309,[np.int64(20)],11,True,20,22,21,1,1,309,22,20,200,199,1,True,0,0,False,nao_se_aplica,0,,,,0.1349660000000001,4.852702,0.7209539925679564,11,11,11,11,11,5.978584294297207e-09,109,14,6,False,d15aed2c60ef23cc5c80db84682927055bd83a7cd64faa6a5d6e9da5d47f3d6d,d15aed2c60ef23cc5c80db84682927055bd83a7cd64faa6a5d6e9da5d47f3d6d,piso-NSGAIII-PlatEMO4.15,ok,normal,True,1,True,False,referencia/indicador,NENHUM — piso e stock do PlatEMO 4.15 por design,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),20
BBOB_F22,10,2,20,20,18,11,True,True,"['init', 'opt']",True,True,309,309,[np.int64(20)],11,True,20,32,21,11,1,309,32,20,200,189,11,True,0,0,False,nao_se_aplica,0,,,,0.11268600000000006,4.517315,0.6515889903530478,11,11,11,11,11,6.11209868828233e-09,109,20,5,False,f363ce9265e27d446ae8caf64ccaf080db3cd581c9e222f25ccad12a2edf0132,f363ce9265e27d446ae8caf64ccaf080db3cd581c9e222f25ccad12a2edf0132,piso-NSGAIII-PlatEMO4.15,ok,normal,True,1,True,False,referencia/indicador,NENHUM — piso e stock do PlatEMO 4.15 por design,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),20
BBOB_F37,10,2,20,20,18,11,True,True,"['init', 'opt']",True,True,309,309,[np.int64(20)],11,True,20,25,21,4,1,309,25,20,200,196,4,True,0,0,False,nao_se_aplica,0,,,,0.12594899999999995,4.563131,0.6952989958226681,11,11,11,11,11,6.665229784763582e-09,109,17,5,False,6ff27d4d787c367a178d22a05be62e7cb540b09a5b799643cc6b2a578ab295bb,6ff27d4d787c367a178d22a05be62e7cb540b09a5b799643cc6b2a578ab295bb,piso-NSGAIII-PlatEMO4.15,ok,normal,True,1,True,False,referencia/indicador,NENHUM — piso e stock do PlatEMO 4.15 por design,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),20
BBOB_F49,10,2,20,20,18,11,True,True,"['init', 'opt']",True,True,309,309,[np.int64(20)],11,True,20,22,21,1,1,309,22,20,200,199,1,True,0,0,False,nao_se_aplica,0,,,,0.8822250000000003,6.313985,1.3021819964051247,11,11,11,11,11,7.696151715919086e-09,109,20,5,False,95bec03708fdb8c201bfbb70d4658e9ec7b170145163a2eaf9ab9793d37c1cb8,95bec03708fdb8c201bfbb70d4658e9ec7b170145163a2eaf9ab9793d37c1cb8,piso-NSGAIII-PlatEMO4.15,ok,normal,True,1,True,False,referencia/indicador,NENHUM — piso e stock do PlatEMO 4.15 por design,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),20
BBOB_F5,10,2,20,20,18,11,True,True,"['init', 'opt']",True,True,309,309,[np.int64(20)],11,True,20,23,21,2,1,309,23,20,200,198,2,True,0,0,False,nao_se_aplica,0,,,,0.10878900000000011,5.077274,0.7472660047933459,11,11,11,11,11,8.760452252509765e-09,109,22,7,False,9c1c6f9e8c0acf91f8150e824ca25b9aeacebc67cfea9275a65051a23e99ac39,9c1c6f9e8c0acf91f8150e824ca25b9aeacebc67cfea9275a65051a23e99ac39,piso-NSGAIII-PlatEMO4.15,ok,normal,True,1,True,False,referencia/indicador,NENHUM — piso e stock do PlatEMO 4.15 por design,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),20
BBOB_F55,10,2,20,20,18,11,True,True,"['init', 'opt']",True,True,309,309,[np.int64(20)],11,True,20,31,21,10,1,309,31,20,200,190,10,True,0,0,False,nao_se_aplica,0,,,,1.0579330000000007,5.867637,1.338315986096859,11,11,11,11,11,1.2773513802244452e-08,109,17,4,False,156cb913846b92db972ef60b58fc049727a49907d46524a3212ca6be783eaaa0,156cb913846b92db972ef60b58fc049727a49907d46524a3212ca6be783eaaa0,piso-NSGAIII-PlatEMO4.15,ok,normal,True,1,True,False,referencia/indicador,NENHUM — piso e stock do PlatEMO 4.15 por design,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),20
DTLZ1,7,3,20,15,3,11,True,True,"['init', 'opt']",True,True,216,216,[np.int64(15)],11,True,15,21,16,5,1,216,21,14,140,136,4,False,0,0,False,nao_se_aplica,0,,,,0.06238900000000002,4.603608,0.6722689978778362,11,11,11,11,11,3.6602020303533322e-09,76,6,17,False,721bacf39910171737053096bf1d0b22cfd6a27344d8bcd630e000c6a67200bf,721bacf39910171737053096bf1d0b22cfd6a27344d8bcd630e000c6a67200bf,piso-NSGAIII-PlatEMO4.15,ok,normal,True,1,True,False,referencia/indicador,NENHUM — piso e stock do PlatEMO 4.15 por design,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),15
DTLZ2,12,3,20,15,3,18,True,True,"['init', 'opt']",True,True,371,371,[np.int64(15)],18,True,15,24,16,8,1,371,24,14,238,230,8,True,0,0,False,nao_se_aplica,0,,,,0.112577,4.598481,0.7212840067222714,18,18,18,18,18,3.864288333765842e-09,131,6,40,True,e9e359a6a4afa9d5f68c1d5dab4096916ae20f65f2e741d1ad93899624789926,e9e359a6a4afa9d5f68c1d5dab4096916ae20f65f2e741d1ad93899624789926,piso-NSGAIII-PlatEMO4.15,ok,normal,True,1,True,False,referencia/indicador,NENHUM — piso e stock do PlatEMO 4.15 por design,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),15
DTLZ3,12,3,20,15,3,18,True,True,"['init', 'opt']",True,True,371,371,[np.int64(15)],18,True,15,23,16,7,1,371,23,14,238,231,7,True,0,0,False,nao_se_aplica,0,,,,0.10756999999999996,4.423801,0.7078470000997186,18,18,18,18,18,1.4634132378121834e-09,131,7,19,False,b41f7d771c68d252a14911b8817d1666707bca4337ee331ef50e83a5d99f13cd,b41f7d771c68d252a14911b8817d1666707bca4337ee331ef50e83a5d99f13cd,piso-NSGAIII-PlatEMO4.15,ok,normal,True,1,True,False,referencia/indicador,NENHUM — piso e stock do PlatEMO 4.15 por design,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),15
