prob,D,M,maxfe,fe_final,ngen,cache,status,Nnom,Nef,nfoot,termino,cp_init,t,nlines,init,expect_maxfe,infill
BBOB_F1,10,2,309,309,11,23,ok,20,20,1,normal,True,5.020871,39,109,309,200
BBOB_F17,10,2,309,309,11,22,ok,20,20,1,normal,True,4.852702,38,109,309,200
BBOB_F22,10,2,309,309,11,32,ok,20,20,1,normal,True,4.517315,48,109,309,200
BBOB_F37,10,2,309,309,11,25,ok,20,20,1,normal,True,4.563131,41,109,309,200
BBOB_F49,10,2,309,309,11,22,ok,20,20,1,normal,True,6.313985,38,109,309,200
BBOB_F5,10,2,309,309,11,23,ok,20,20,1,normal,True,5.077274,39,109,309,200
BBOB_F55,10,2,309,309,11,31,ok,20,20,1,normal,True,5.867637,47,109,309,200
DTLZ1,7,3,216,216,11,21,ok,20,15,1,normal,True,4.603608,37,76,216,140
DTLZ2,12,3,371,371,18,24,ok,20,15,1,normal,True,4.598481,47,131,371,240
DTLZ3,12,3,371,371,18,23,ok,20,15,1,normal,True,4.423801,46,131,371,240
DTLZ4,12,3,371,371,18,20,ok,20,15,1,normal,True,5.2568,43,131,371,240
DTLZ7,22,3,681,681,33,32,ok,20,15,1,normal,True,5.098064,70,241,681,440
MMF1,2,2,61,61,3,23,ok,20,20,1,normal,True,4.326562,31,21,61,40
MMF11_L,2,2,61,61,3,22,ok,20,20,1,normal,True,4.432251,30,21,61,40
MMF16_20,20,3,619,619,30,25,ok,20,15,1,normal,True,4.772687,60,219,619,400
MMF4,2,2,61,61,3,22,ok,20,20,1,normal,True,4.22653,30,21,61,40
WFG1,22,2,681,681,23,31,ok,20,20,1,normal,True,5.527191,59,241,681,440
WFG2,22,2,681,681,23,34,ok,20,20,1,normal,True,5.03093,62,241,681,440
WFG4,22,2,681,681,23,36,ok,20,20,1,normal,True,5.00235,64,241,681,440
WFG5,22,2,681,681,23,37,ok,20,20,1,normal,True,4.866574,65,241,681,440
WFG9,22,2,681,681,23,28,ok,20,20,1,normal,True,5.865023,56,241,681,440
ZDT1,30,2,929,929,31,38,ok,20,20,1,normal,True,4.778756,74,329,929,600
ZDT3,30,2,929,929,31,32,ok,20,20,1,normal,True,5.266825,68,329,929,600
ZDT4,10,2,309,309,11,26,ok,20,20,1,normal,True,4.72958,42,109,309,200
ZDT6,10,2,309,309,11,23,ok,20,20,1,normal,True,4.654067,39,109,309,200
