prob,M,H1,n_ref,n_log,Nef,ordem_igual,conjunto_igual
BBOB_F1,2,19,20,20,20,0.0,0.0
BBOB_F17,2,19,20,20,20,0.0,0.0
BBOB_F22,2,19,20,20,20,0.0,0.0
BBOB_F37,2,19,20,20,20,0.0,0.0
BBOB_F49,2,19,20,20,20,0.0,0.0
BBOB_F5,2,19,20,20,20,0.0,0.0
BBOB_F55,2,19,20,20,20,0.0,0.0
DTLZ1,3,4,15,15,15,0.0,0.0
DTLZ2,3,4,15,15,15,0.0,0.0
DTLZ3,3,4,15,15,15,0.0,0.0
DTLZ4,3,4,15,15,15,0.0,0.0
DTLZ7,3,4,15,15,15,0.0,0.0
MMF1,2,19,20,20,20,0.0,0.0
MMF11_L,2,19,20,20,20,0.0,0.0
MMF16_20,3,4,15,15,15,0.0,0.0
MMF4,2,19,20,20,20,0.0,0.0
WFG1,2,19,20,20,20,0.0,0.0
WFG2,2,19,20,20,20,0.0,0.0
WFG4,2,19,20,20,20,0.0,0.0
WFG5,2,19,20,20,20,0.0,0.0
WFG9,2,19,20,20,20,0.0,0.0
ZDT1,2,19,20,20,20,0.0,0.0
ZDT3,2,19,20,20,20,0.0,0.0
ZDT4,2,19,20,20,20,0.0,0.0
ZDT6,2,19,20,20,20,0.0,0.0
