exp,problema,D,M,q,status,motivo,n_retries,fallback_ativado,jsonl_bad,fe_ok,fe_dense,init_ok,gens,gens_ok,fits_eq_gens,ntreino_step_ok,ntreino_first,ntreino_last,fetm_mono,fetm_min,fetm_max,fe_eq_ntrain_q,fe_increasing,ngen10,draws_ok,pop_ok,kernel_ok,yvar_ok,flag,espaco,hp_moves,ard_ok,assert_ok,nlote_ok,lote_menor,lote_comp,min_front_acq,seeds_ok,nystrom_ok,cache_hits_dec,cache_hits_footer,cache_hits_man,fit_retries,front_eq,sonda_n,sonda_n_ok,sonda_pts_ok,sonda_hash_ok,sonda_gens_ok,qj_idx,qj_val,qj_rsid,qj_maxdiff,n_infill_rows,fantasy_med,sigma_pos,timing_rows_ok,t_inv1_viol,t_sonda_gens,t_inv2_hold
main,MMF1,2,2,1,ok,orcamento,0,False,0,True,True,True,40,True,True,True,21,60,True,20,59,True,True,True,True,True,True,True,"GP-Matern52-ARD(TS,q=1)",cru,1.0,True,True,True,0,0,8,True,True,0,0,0,0,40,21,True,True,True,True,40,40,40,7.600156333442687e-08,40,"[0.004, 0.6979]",True,True,0,21,21
main,MMF4,2,2,1,ok,orcamento,0,False,0,True,True,True,40,True,True,True,21,60,True,20,59,True,True,True,True,True,True,True,"GP-Matern52-ARD(TS,q=1)",cru,1.0,True,True,True,0,0,10,True,True,0,0,0,0,40,21,True,True,True,True,40,40,40,3.509092252884649e-08,40,"[0.0028, 0.2002]",True,True,0,21,21
main,MMF11_L,2,2,1,ok,orcamento,0,False,0,True,True,True,40,True,True,True,21,60,True,20,59,True,True,True,True,True,True,True,"GP-Matern52-ARD(TS,q=1)",cru,1.0,True,True,True,0,0,51,True,True,0,0,0,0,40,21,True,True,True,True,40,40,40,7.028426157740242e-08,40,"[0.0001, 0.3595]",True,True,0,21,21
main,MMF16_20,20,3,1,ok,orcamento,0,False,0,True,True,True,400,True,True,True,219,618,True,218,617,True,True,True,True,True,True,True,"GP-Matern52-ARD(TS,q=1)",cru,1.0,True,True,True,0,0,135,True,True,0,0,0,0,400,201,True,True,True,True,400,400,400,4.9777469701695054e-08,400,"[0.0842, 0.0951, 0.1878]",True,True,0,201,201
main,ZDT1,30,2,1,ok,orcamento,0,False,0,True,True,True,600,True,True,True,329,928,True,328,927,True,True,True,True,True,True,True,"GP-Matern52-ARD(TS,q=1)",cru,1.0,True,True,True,0,0,17,True,True,0,0,0,0,600,301,True,True,True,True,600,600,600,5.7186549717869184e-08,600,"[0.0009, 0.0479]",True,True,0,301,301
main,ZDT3,30,2,1,ok,orcamento,0,False,0,True,True,True,600,True,True,True,329,928,True,328,927,True,True,True,True,True,True,True,"GP-Matern52-ARD(TS,q=1)",cru,1.0,True,True,True,0,0,11,True,True,0,0,0,0,600,301,True,True,True,True,600,600,600,5.474390318838118e-08,600,"[0.0009, 0.095]",True,True,0,301,301
main,ZDT4,10,2,1,ok,orcamento,0,False,0,True,True,True,200,True,True,True,109,308,True,108,307,True,True,True,True,True,True,True,"GP-Matern52-ARD(TS,q=1)",cru,1.0,True,True,True,0,0,5,True,True,0,0,0,0,200,101,True,True,True,True,200,200,200,3.1208285511397094e-08,200,"[0.0002, 18.5473]",True,True,0,101,101
main,ZDT6,10,2,1,ok,orcamento,0,False,0,True,True,True,200,True,True,True,109,308,True,108,307,True,True,True,True,True,True,True,"GP-Matern52-ARD(TS,q=1)",cru,1.0,True,True,True,0,0,8,True,True,0,0,0,0,200,101,True,True,True,True,200,200,200,6.397892493570367e-08,200,"[0.0012, 0.0391]",True,True,0,101,101
main,DTLZ1,7,3,1,ok,orcamento,0,False,0,True,True,True,140,True,True,True,76,215,True,75,214,True,True,True,True,True,True,True,"GP-Matern52-ARD(TS,q=1)",cru,1.0,True,True,True,0,0,40,True,True,0,0,0,0,140,71,True,True,True,True,140,140,140,4.353224603015349e-08,140,"[16.603, 13.3034, 25.7671]",True,True,0,71,71
main,DTLZ2,12,3,1,ok,orcamento,0,False,0,True,True,True,240,True,True,True,131,370,True,130,369,True,True,True,True,True,True,True,"GP-Matern52-ARD(TS,q=1)",cru,1.0,True,True,True,0,0,207,True,True,0,0,0,0,240,121,True,True,True,True,240,240,240,5.8205545938605496e-08,240,"[0.0681, 0.0638, 0.051]",True,True,0,121,121
