problema,n_doe,n_init_real,iguais,dX_max_f32,dX_max_f64,hash_manifesto_run,hash_sidecar,hash_arquivo,hash_bate,hash_arq_bate,ordem_preservada
BBOB_F1,109,109,True,0.0,2.375113989927513e-07,f875df0bb01999e1f290e6e7341a7c1bbe3c5a4a2025bde15a394be99c8af127,f875df0bb01999e1f290e6e7341a7c1bbe3c5a4a2025bde15a394be99c8af127,d56130edaf3bf211e99a3ec184d608db5f42038ef528723b25047743c344bb40,True,False,True
BBOB_F17,109,109,True,0.0,2.3787903291605517e-07,d15aed2c60ef23cc5c80db84682927055bd83a7cd64faa6a5d6e9da5d47f3d6d,d15aed2c60ef23cc5c80db84682927055bd83a7cd64faa6a5d6e9da5d47f3d6d,0e90c3e3c400273026bc8afcd66a80a64477f2267f57e7d3c8cf5c139f41504b,True,False,True
BBOB_F22,109,109,True,0.0,2.345476923792944e-07,f363ce9265e27d446ae8caf64ccaf080db3cd581c9e222f25ccad12a2edf0132,f363ce9265e27d446ae8caf64ccaf080db3cd581c9e222f25ccad12a2edf0132,c2fb64d177b276d15cffb31d53e521ee191c4e3d8fdf5bc8d99847dc1e874434,True,False,True
BBOB_F37,109,109,True,0.0,2.3685163252906705e-07,6ff27d4d787c367a178d22a05be62e7cb540b09a5b799643cc6b2a578ab295bb,6ff27d4d787c367a178d22a05be62e7cb540b09a5b799643cc6b2a578ab295bb,2c9bb66a66ab3317796b655a0cc721b0f0f2e6cbd1417e538edbb9f2b94cb484,True,False,True
BBOB_F49,109,109,True,0.0,2.365150315597475e-07,95bec03708fdb8c201bfbb70d4658e9ec7b170145163a2eaf9ab9793d37c1cb8,95bec03708fdb8c201bfbb70d4658e9ec7b170145163a2eaf9ab9793d37c1cb8,e1b0d85024ae6ffb8902a7440e3b46738136916dd16b436738f4dcff6780ddc5,True,False,True
BBOB_F5,109,109,True,0.0,2.3727650955152058e-07,9c1c6f9e8c0acf91f8150e824ca25b9aeacebc67cfea9275a65051a23e99ac39,9c1c6f9e8c0acf91f8150e824ca25b9aeacebc67cfea9275a65051a23e99ac39,4c6599b33405601a14959d75d0e2004e6ff19e2ad791d03114f0df7e4a309220,True,False,True
BBOB_F55,109,109,True,0.0,2.3578255614609134e-07,156cb913846b92db972ef60b58fc049727a49907d46524a3212ca6be783eaaa0,156cb913846b92db972ef60b58fc049727a49907d46524a3212ca6be783eaaa0,1ea6473fc1fd9b05435cc1bb64dc78a7bda52309ee91cc88e6bf51a3431a1bb3,True,False,True
DTLZ1,76,76,True,0.0,2.968073053999376e-08,721bacf39910171737053096bf1d0b22cfd6a27344d8bcd630e000c6a67200bf,721bacf39910171737053096bf1d0b22cfd6a27344d8bcd630e000c6a67200bf,c0fc56942714727e127bcefc68afee2e6cbe1d4e370c714f58fc878bf0afdb84,True,False,True
DTLZ2,131,131,True,0.0,2.976508484131557e-08,e9e359a6a4afa9d5f68c1d5dab4096916ae20f65f2e741d1ad93899624789926,e9e359a6a4afa9d5f68c1d5dab4096916ae20f65f2e741d1ad93899624789926,cce2d045467b36d11452b2fbe302dd433fcf420d6cbe2ab5a03759f618919fb8,True,False,True
DTLZ3,131,131,True,0.0,2.9797159739608503e-08,b41f7d771c68d252a14911b8817d1666707bca4337ee331ef50e83a5d99f13cd,b41f7d771c68d252a14911b8817d1666707bca4337ee331ef50e83a5d99f13cd,1cd434d6abad7f32e0e2587a6a873db0800f05fa9d165c503299ca49a73c9a1c,True,False,True
DTLZ4,131,131,True,0.0,2.974925017440455e-08,75dc5d1c4ceddd7c6cc095466dad74e3dc43672d52bd80803baac078cfa0801f,75dc5d1c4ceddd7c6cc095466dad74e3dc43672d52bd80803baac078cfa0801f,68dea844a3aab7758eb0f703f47784c8ca4eb3bfdbabad74464a24e547653e28,True,False,True
DTLZ7,241,241,True,0.0,2.9791798028533378e-08,82fffdba6191f6b38456e60986a7a6c6e343bec5096e342497f73871a03529ef,82fffdba6191f6b38456e60986a7a6c6e343bec5096e342497f73871a03529ef,8db8833649e47c3a0b6fe6b8e0f2644c4c7e42a9addf87b320cc97953c400e45,True,False,True
MMF1,21,21,True,0.0,1.1457521598146059e-07,b4682dc218d24077819efadd43764db3ed8403bb3e48c5c8cf66329cc191fcc7,b4682dc218d24077819efadd43764db3ed8403bb3e48c5c8cf66329cc191fcc7,29f9bed6c7595391100d6e212fc113ff97d518e8b82cae16447cd87b8a68160e,True,False,True
MMF11_L,21,21,True,0.0,5.8479016962209585e-08,bc5b5476bae007280ce39a6d739f7337ed10c49ca3d6e9465b97e328f0ab4064,bc5b5476bae007280ce39a6d739f7337ed10c49ca3d6e9465b97e328f0ab4064,bb6a2e23f67041e8b50d5a82c45de253d9e87ef17de017981079d9c3082be32b,True,False,True
MMF16_20,219,219,True,0.0,2.9796276557192414e-08,00c877887f6a3b8610d2bc5dbdb6fc1e3433e44b93d6eca690fff60e89d75147,00c877887f6a3b8610d2bc5dbdb6fc1e3433e44b93d6eca690fff60e89d75147,3695e3cf9c2e6f37e713609a02d9d8fcabe65601889124512d39a20de29d4710,True,False,True
MMF4,21,21,True,0.0,5.4513727754113006e-08,8e6e2b094ef93635ad3e5d29d177183683d589422a874478cd8bea8b74f8d31f,8e6e2b094ef93635ad3e5d29d177183683d589422a874478cd8bea8b74f8d31f,9047a2ff4428f45684cd7659617db06fbfefd2f545ce456ec69e36b408069834,True,False,True
WFG1,241,241,True,0.0,1.9048635309104611e-06,737008bc4aa4e0f5f0617f89ec0efe5671ebdc5401967232b972f0f3bf7c0018,737008bc4aa4e0f5f0617f89ec0efe5671ebdc5401967232b972f0f3bf7c0018,2f9c294016ed05b9a17c2a80abff6a522b058b2f635348039ed1a48f7f9aa0a1,True,False,True
WFG2,241,241,True,0.0,1.9052260000762544e-06,4992992e00fb8ac231d2597d5a5304ec41c2664c2862e0f948e0399c930477c0,4992992e00fb8ac231d2597d5a5304ec41c2664c2862e0f948e0399c930477c0,28da5a61330c6303098cd9a9e9364f2d96326e9497774768d9c34538eaa9d1f4,True,False,True
WFG4,241,241,True,0.0,1.9042712366967862e-06,efcdbbe567fe9529f4f671b544ed0295b4478cf4c653da8cf35d278f68e75928,efcdbbe567fe9529f4f671b544ed0295b4478cf4c653da8cf35d278f68e75928,023ed58f062a66afdf19ef30a811664ecf3f40268c7c0dd408a18ec3cade8764,True,False,True
WFG5,241,241,True,0.0,1.8893242028639179e-06,83b71528d381b6eae4a3c3f6e1bbaa5a05519f3591411322f558467be5d10044,83b71528d381b6eae4a3c3f6e1bbaa5a05519f3591411322f558467be5d10044,50b8c57de57ddf08eadc1ac4c88dc3818485b10f534e882aae5f6e939b1c160e,True,False,True
WFG9,241,241,True,0.0,1.9070339618565413e-06,9c1105d2d7e82f1b83958b37204d2d70396577bf2d229812dd1ede89911ccab3,9c1105d2d7e82f1b83958b37204d2d70396577bf2d229812dd1ede89911ccab3,0874672bf897d5a3d826f1bf8ba5d7470d0dff622148dc0c81f71f72db3a7eb2,True,False,True
ZDT1,329,329,True,0.0,2.978190016822424e-08,15afa53dfdb4e0cdbd4af30a4d997229b74dcdf2536a667cd70a73963a46d63c,15afa53dfdb4e0cdbd4af30a4d997229b74dcdf2536a667cd70a73963a46d63c,d14e37d0787eb8e63e558eca1e56c6b88d8009a7500c4d1499498b2e60a006a5,True,False,True
ZDT3,329,329,True,0.0,2.9800702572302384e-08,0e2102b5ae8bd3b4db9b3a9ff4e8cc8ced993b0aa1135aa7784b67f18a175eb5,0e2102b5ae8bd3b4db9b3a9ff4e8cc8ced993b0aa1135aa7784b67f18a175eb5,82248e217bdc2333396e722cf14e41fbb996de8cede2d13209d377f0553c7a8c,True,False,True
ZDT4,109,109,True,0.0,2.374759207057764e-07,f238a513ec1ad67199b080c46e48eda6241751461e8694da922c2df9c7e6cbd7,f238a513ec1ad67199b080c46e48eda6241751461e8694da922c2df9c7e6cbd7,0774b7659986d1880e90f62f83b4dd1a4f80b110906c72c83f7eacbc1fe92e4a,True,False,True
ZDT6,109,109,True,0.0,2.979843327644005e-08,57a9736e2650080beb02dd3d9064b8d426a6717d140d782a1948387ef672806f,57a9736e2650080beb02dd3d9064b8d426a6717d140d782a1948387ef672806f,027be9a50a430a6b1e5fb60787f0b1eae01352b29f9517163625dad4d391b9eb,True,False,True
