problema,geracao,n_front1_log,n_front1_calc,delta,n_pop,n_f_unicos,n_quase_empates
BBOB_F1,1,7,7,0,20,20,0
BBOB_F1,2,4,4,0,20,20,0
BBOB_F1,3,6,6,0,20,20,0
BBOB_F1,4,6,6,0,20,20,0
BBOB_F1,5,9,9,0,20,20,0
BBOB_F1,6,12,12,0,20,20,0
BBOB_F1,7,9,9,0,20,20,0
BBOB_F1,8,14,14,0,20,20,0
BBOB_F1,9,13,13,0,20,20,0
BBOB_F1,10,19,19,0,20,20,0
BBOB_F1,11,19,19,0,20,20,0
BBOB_F17,1,6,6,0,20,20,0
BBOB_F17,2,6,6,0,20,20,0
BBOB_F17,3,8,8,0,20,20,0
BBOB_F17,4,9,9,0,20,20,0
BBOB_F17,5,9,9,0,20,20,0
BBOB_F17,6,7,7,0,20,20,0
BBOB_F17,7,11,11,0,20,20,0
BBOB_F17,8,13,13,0,20,20,0
BBOB_F17,9,13,13,0,20,20,0
BBOB_F17,10,15,15,0,20,20,0
BBOB_F17,11,13,13,0,20,20,0
BBOB_F22,1,5,5,0,20,20,0
BBOB_F22,2,7,7,0,20,20,0
BBOB_F22,3,6,6,0,20,20,0
BBOB_F22,4,6,6,0,20,20,0
BBOB_F22,5,6,6,0,20,20,0
BBOB_F22,6,7,7,0,20,20,0
BBOB_F22,7,9,9,0,20,20,0
BBOB_F22,8,12,12,0,20,20,0
BBOB_F22,9,19,19,0,20,20,0
BBOB_F22,10,16,16,0,20,20,0
BBOB_F22,11,20,20,0,20,20,0
BBOB_F37,1,5,5,0,20,20,0
BBOB_F37,2,7,7,0,20,20,0
BBOB_F37,3,6,6,0,20,20,0
BBOB_F37,4,5,5,0,20,20,0
BBOB_F37,5,5,5,0,20,20,0
BBOB_F37,6,4,4,0,20,20,0
BBOB_F37,7,7,7,0,20,20,0
BBOB_F37,8,7,7,0,20,20,0
BBOB_F37,9,7,7,0,20,20,0
BBOB_F37,10,8,8,0,20,20,0
BBOB_F37,11,8,8,0,20,20,0
BBOB_F49,1,5,5,0,20,20,0
BBOB_F49,2,7,7,0,20,20,0
BBOB_F49,3,9,9,0,20,20,0
BBOB_F49,4,10,10,0,20,20,0
BBOB_F49,5,8,8,0,20,20,0
BBOB_F49,6,10,10,0,20,20,0
BBOB_F49,7,14,14,0,20,20,0
BBOB_F49,8,15,15,0,20,20,0
BBOB_F49,9,16,16,0,20,20,0
BBOB_F49,10,13,13,0,20,20,0
BBOB_F49,11,17,17,0,20,20,0
BBOB_F5,1,7,7,0,20,20,0
BBOB_F5,2,11,11,0,20,20,0
BBOB_F5,3,9,9,0,20,20,0
BBOB_F5,4,5,5,0,20,20,0
BBOB_F5,5,7,7,0,20,20,0
BBOB_F5,6,6,6,0,20,20,0
BBOB_F5,7,9,9,0,20,20,0
BBOB_F5,8,11,11,0,20,20,0
BBOB_F5,9,9,9,0,20,20,0
BBOB_F5,10,10,10,0,20,20,0
BBOB_F5,11,11,11,0,20,20,0
BBOB_F55,1,4,4,0,20,20,0
BBOB_F55,2,3,3,0,20,20,0
BBOB_F55,3,4,4,0,20,20,0
BBOB_F55,4,5,5,0,20,20,0
BBOB_F55,5,7,7,0,20,20,0
BBOB_F55,6,9,9,0,20,20,0
BBOB_F55,7,9,9,0,20,20,0
BBOB_F55,8,8,8,0,20,20,0
BBOB_F55,9,6,6,0,20,20,0
BBOB_F55,10,7,7,0,20,20,0
BBOB_F55,11,10,10,0,20,20,0
DTLZ1,1,17,17,0,20,20,0
DTLZ1,2,20,20,0,20,20,0
DTLZ1,3,20,20,0,20,20,0
DTLZ1,4,18,18,0,20,20,0
DTLZ1,5,20,20,0,20,20,0
DTLZ1,6,19,19,0,20,20,0
DTLZ1,7,20,20,0,20,20,0
DTLZ1,8,17,17,0,20,20,0
DTLZ2,1,20,20,0,20,20,0
DTLZ2,2,20,20,0,20,20,0
DTLZ2,3,20,20,0,20,20,0
DTLZ2,4,20,20,0,20,20,0
DTLZ2,5,20,20,0,20,20,0
DTLZ2,6,20,20,0,20,20,0
DTLZ2,7,20,20,0,20,20,0
DTLZ2,8,20,20,0,20,20,0
DTLZ2,9,20,20,0,20,20,0
DTLZ2,10,20,20,0,20,20,0
DTLZ2,11,20,20,0,20,20,0
DTLZ2,12,20,20,0,20,20,0
DTLZ2,13,20,20,0,20,20,0
DTLZ3,1,19,19,0,20,20,0
DTLZ3,2,20,20,0,20,20,0
DTLZ3,3,18,18,0,20,20,0
DTLZ3,4,16,16,0,20,20,0
DTLZ3,5,18,18,0,20,20,0
DTLZ3,6,15,15,0,20,20,0
DTLZ3,7,16,16,0,20,20,0
DTLZ3,8,14,14,0,20,20,0
DTLZ3,9,14,14,0,20,20,0
DTLZ3,10,15,15,0,20,20,0
DTLZ3,11,14,14,0,20,20,0
DTLZ3,12,12,12,0,20,20,0
DTLZ3,13,12,12,0,20,20,0
DTLZ4,1,20,7,-13,20,20,0
DTLZ4,2,18,5,-13,20,20,0
DTLZ4,3,20,5,-15,20,20,0
DTLZ4,4,19,3,-16,20,20,0
DTLZ4,5,19,4,-15,20,20,0
DTLZ4,6,20,4,-16,20,20,0
DTLZ4,7,17,5,-12,20,20,0
DTLZ4,8,17,4,-13,20,20,0
DTLZ4,9,20,5,-15,20,20,0
DTLZ4,10,19,6,-13,20,20,0
DTLZ4,11,20,5,-15,20,20,0
DTLZ4,12,16,5,-11,20,20,0
DTLZ4,13,13,6,-7,20,20,0
DTLZ7,1,20,20,0,20,20,0
DTLZ7,2,20,19,-1,20,20,0
DTLZ7,3,20,19,-1,20,20,0
DTLZ7,4,11,11,0,20,20,0
