alg,problema,linhas,ger_min,ger_max,tam_primeira,tam_ultima,cresce_q_por_ger
sobol_batch,DTLZ2,227331,0,200,131,2131,True
sobol_batch,MMF16_20,245019,0,200,219,2219,True
sobol_batch,WFG9,249441,0,200,241,2241,True
sobol_batch,ZDT1,267129,0,200,329,2329,True
sobol_batch,ZDT4,222909,0,200,109,2109,True
e81,DTLZ2,227200,1,200,141,2131,True
e81,MMF16_20,244800,1,200,229,2219,True
e81,WFG9,249200,1,200,251,2241,True
e81,ZDT1,266800,1,200,339,2329,True
e81,ZDT4,222800,1,200,119,2109,True
c149,DTLZ2,227200,1,200,141,2131,True
c149,MMF16_20,244800,1,200,229,2219,True
c149,WFG9,249200,1,200,251,2241,True
c149,ZDT1,266800,1,200,339,2329,True
c149,ZDT4,222800,1,200,119,2109,True
