alg,label,problema,D,M,wall_s,fit_s,busca_s,sonda_s,n_fit_series,n_ger,n_linhas_3,n_busca,n_sonda,sigma_nan_pct_sonda,sigma_nan_pct_busca,sigma_nan_pct_total,mu_distintos_sonda_max,mu_distintos_sonda_min,quantizacao_pct,teto_folhas,n_blocos_sonda,modelo_flags,n_final,nd_pos_real,fantasia,igd_plus_c7,hv_c7,dist
c311,swap_big-lhs_ZDT4,ZDT4,10,2,67.3724,17.5216,44.427,0.2555,50,3550,215061,175061,40000,90.31,21.67,34.44,3961,515,80.195,500,2,treedGP_build|treedGP_final,50,4,0.08,67.392698,0.0,lhs
treed_media,swap_big-lhs_ZDT4,ZDT4,10,2,6.7214,0.8345,3.1542,0.093,1,1000,57073,37073,20000,100.0,100.0,100.0,393,256,98.035,500,1,treed_media/RVEA-arvore-media,36,7,0.1944,62.24888,0.0,lhs
c311,swap_big-lhs_ZDT1,ZDT1,30,2,68.7139,29.1859,36.6987,0.3059,18,1918,132219,92219,40000,92.49,14.1,37.82,2615,622,86.925,166,2,treedGP_build|treedGP_final,50,28,0.56,0.217444,0.594607,lhs
treed_media,swap_big-lhs_ZDT1,ZDT1,30,2,13.2831,1.7009,3.8316,0.0883,1,1000,69874,49874,20000,100.0,100.0,100.0,128,124,99.36,166,1,treed_media/RVEA-arvore-media,50,11,0.22,2.352774,0.0,lhs
c311,swap_big-lhs_DTLZ2,DTLZ2,12,3,326.9654,59.3019,256.3621,0.4185,99,6049,671114,631114,40000,74.51,24.61,27.59,6393,3349,68.035,416,2,treedGP_build|treedGP_final,105,101,0.9619,0.025474,0.738958,lhs
treed_media,swap_big-lhs_DTLZ2,DTLZ2,12,3,10.9692,1.2581,7.6547,0.0945,1,1000,124895,104895,20000,100.0,100.0,100.0,327,323,98.365,416,1,treed_media/RVEA-arvore-media,105,61,0.581,0.135395,0.430553,lhs
c311,swap_big-lhs_MMF16_20,MMF16_20,20,3,267.9907,126.1207,135.784,0.4644,44,3244,380048,340048,40000,80.34,27.57,33.12,4721,3068,76.395,250,2,treedGP_build|treedGP_final,105,100,0.9524,0.025123,0.740324,lhs
treed_media,swap_big-lhs_MMF16_20,MMF16_20,20,3,11.5296,1.8019,7.7932,0.0909,1,1000,124818,104818,20000,100.0,100.0,100.0,189,184,99.055,250,1,treed_media/RVEA-arvore-media,105,79,0.7524,0.039227,0.700019,lhs
c311,swap_big-lhs_WFG9,WFG9,22,2,28.1593,1.7303,24.1502,0.2117,6,1306,100210,60210,40000,99.49,6.68,43.73,273,272,98.635,227,2,treedGP_build|treedGP_final,50,49,0.98,0.23244,0.210322,lhs
treed_media,swap_big-lhs_WFG9,WFG9,22,2,7.2242,1.5941,3.58,0.0886,1,1000,65294,45294,20000,100.0,100.0,100.0,173,169,99.135,227,1,treed_media/RVEA-arvore-media,46,16,0.3478,0.340881,0.02516,lhs
c311,swap_big-mvns_ZDT4,ZDT4,10,2,50.0337,8.4919,37.6334,0.2406,30,2530,164893,124893,40000,91.97,18.63,36.42,2165,1707,89.175,500,2,treedGP_build|treedGP_final,50,7,0.14,75.415562,0.0,mvns
treed_media,swap_big-mvns_ZDT4,ZDT4,10,2,5.8615,0.6256,3.2705,0.092,1,1000,57281,37281,20000,100.0,100.0,100.0,372,319,98.14,500,1,treed_media/RVEA-arvore-media,37,8,0.2162,107.511319,0.0,mvns
c311,swap_big-mvns_ZDT1,ZDT1,30,2,209.8793,130.5,74.7233,0.6542,61,4111,228582,188582,40000,69.19,25.34,33.02,11727,766,41.365,166,2,treedGP_build|treedGP_final,49,32,0.6531,0.044505,0.793393,mvns
treed_media,swap_big-mvns_ZDT1,ZDT1,30,2,7.8988,1.6736,4.1636,0.0926,1,1000,67737,47737,20000,100.0,100.0,100.0,124,115,99.38,166,1,treed_media/RVEA-arvore-media,48,10,0.2083,1.931461,0.0,mvns
c311,swap_big-mvns_DTLZ2,DTLZ2,12,3,235.2331,46.5756,180.9998,0.4428,56,3856,435257,395257,40000,63.01,20.33,24.25,8090,7014,59.55,416,2,treedGP_build|treedGP_final,105,95,0.9048,0.030154,0.729311,mvns
treed_media,swap_big-mvns_DTLZ2,DTLZ2,12,3,13.9358,1.9157,8.983,0.166,1,1000,121957,101957,20000,100.0,100.0,100.0,327,273,98.365,416,1,treed_media/RVEA-arvore-media,102,37,0.3627,0.384245,0.068487,mvns
treed_media,swap_big-mvns_MMF16_20,MMF16_20,20,3,15.7127,2.9311,8.9529,0.1491,1,1000,121102,101102,20000,100.0,100.0,100.0,189,165,99.055,250,1,treed_media/RVEA-arvore-media,102,69,0.6765,0.051502,0.676314,mvns
c311,swap_big-mvns_WFG9,WFG9,22,2,30.5265,2.8527,25.2914,0.2171,8,1408,101165,61165,40000,98.56,10.47,45.3,509,396,97.455,227,2,treedGP_build|treedGP_final,50,1,0.02,0.388405,0.077138,mvns
treed_media,swap_big-mvns_WFG9,WFG9,22,2,7.5384,1.3942,4.1057,0.0929,1,1000,66596,46596,20000,100.0,100.0,100.0,171,168,99.145,227,1,treed_media/RVEA-arvore-media,47,11,0.234,0.291531,0.039033,mvns
