label,dist,problema,D,M,status,motivo_parada,maxfe,fe_final,n_geracoes_mf,tier,dist_mf,q,regime,n_retries,cache_hits,algo_version,py,exe,sklearn,gpy_torch,pin_omp,t_total,t_fit,t_busca,t_aval_real,t_sonda,n_fit_series,fit_series_iter,fit_series_nacum,fallback_ativado,p_min_samples_leaf,p_max_depth,p_n_iter_final,p_n_gen_final,p_n_gen_total,p_selection_type,p_alpha,p_sigma,p_ablacao_de,p_msl_eq_10D,sigma_dict_chaves,sd_tem_DI16.1,sd_tem_DI35.5,sd_tem_DI28,sd_teto_43200,sd_modelo_flag,sonda_S,sonda_nblocos,sonda_flags,sonda_x_hash,cp_x_hash_eq_doe,upload_status,mf_tem_params,n_eventos,ev_header,ev_sonda,ev_footer,ev_guard,ev_decision,ev_outros,hd_D,hd_M,hd_ndataset,hd_D_ok,hd_dataset_hash,sonda_ev_npontos,sonda_ev_fetreino,sonda_ev_hashcheck,sonda_ev_flag,sonda_ev_hash_eq_mf,tem_footer,ft_status,ft_motivo,ft_fe_final,ft_cp_init,ft_n_ger,ft_n_final,ft_n_nd,ft_cache_hits,n1,n1_eq_maxfe,fase_init_pct,fe_index_denso,solid_denso,n1_dup_x,n2,n3,n3_regimes,n3_busca,n3_sonda,ger_min,ger_max,ger_nunique,ger_denso_1_1000,sonda_ger_null,sigma_nan_busca,sigma_nan_sonda,sigma_nan_total,mu_nan_total,rsid_null_pct,modelo_flags_3,n_modelo_flags,espaco_modelo,transf_tipo_null,transf_params_null,fe_treino_max_u,fe_treino_eq_N1,pred_tipo_u,pred_score_null,pred_classe_null,pred_conf_null,pop_lattice,pop_max,pop_min,pop_ultima,pop_nunca_excede,pop_encolheu,n3_busca_esperado,x_busca_min,x_busca_max,x_dataset_min,x_dataset_max,n4,t4_geracao,t4_nacum,t4_fit,t4_busca,t4_sonda,t4_ger,U7_fit_busca_le_ger,U7_com_sonda_excede,t4_nacum_eq_N,teto_43200_folga_x
swap_big-lhs_DTLZ2,lhs,DTLZ2,12,3,ok,orcamento,50000,50000,1000,big,lhs,1,offline,0,0,"treed-media-c311-ablacao-r3 (build_surrogates direto, SEM ad",3.8.20,env_c311,1.1.2,None/None,1,10.9692,1.2581,7.6547,0.0,0.0945,1,1,50000,False,120,100,10,100,1000,mean,2,NULL por construção (sem GP ⇒ sem variân,c311 (TGPR-MO) — remove a construção iterativa addGPs (B15.4),True,15,True,True,True,True,valor ÚNICO 'treed_media/RVEA-arvore-media' (,20000,1,treed_media/RVEA-arvore-media,0b76bc415a00,True,,True,3,1,1,1,0,0,0,12,3,50000,True,87186bb2a7a1,20000,49999,True,treed_media/RVEA-arvore-media,True,True,ok,orcamento,50000.0,True,1000.0,105.0,61.0,0.0,50000,True,1.0,True,True,0,0,124895,"offline,sonda",104895,20000,1,1000,1000,True,1.0,1.0,1.0,1.0,0.0,1.0,treed_media/RVEA-arvore-media,1,cru,1.0,1.0,49999,True,valor,1.0,1.0,1.0,105,105,76,105,True,True,104895,0.0,1.0,2.159263658541022e-06,0.9999996423721313,1,1,50000,1.2580862045288086,7.6547322273254395,0.09446978569030762,8.912818908691406,True,True,True,3938.3
swap_big-lhs_MMF16_20,lhs,MMF16_20,20,3,ok,orcamento,50000,50000,1000,big,lhs,1,offline,0,0,"treed-media-c311-ablacao-r3 (build_surrogates direto, SEM ad",3.8.20,env_c311,1.1.2,None/None,1,11.5296,1.8019,7.7932,0.0,0.0909,1,1,50000,False,200,100,10,100,1000,mean,2,NULL por construção (sem GP ⇒ sem variân,c311 (TGPR-MO) — remove a construção iterativa addGPs (B15.4),True,15,True,True,True,True,valor ÚNICO 'treed_media/RVEA-arvore-media' (,20000,1,treed_media/RVEA-arvore-media,4f679dcb4a60,True,,True,3,1,1,1,0,0,0,20,3,50000,True,e5d252dd54f3,20000,49999,True,treed_media/RVEA-arvore-media,True,True,ok,orcamento,50000.0,True,1000.0,105.0,79.0,0.0,50000,True,1.0,True,True,0,0,124818,"offline,sonda",104818,20000,1,1000,1000,True,1.0,1.0,1.0,1.0,0.0,1.0,treed_media/RVEA-arvore-media,1,cru,1.0,1.0,49999,True,valor,1.0,1.0,1.0,105,105,71,105,True,True,104818,0.0,1.0,9.003407512864214e-07,0.9999977350234985,1,1,50000,1.8018920421600342,7.793220520019531,0.09090495109558105,9.595111846923828,False,True,True,3746.9
swap_big-lhs_WFG9,lhs,WFG9,22,2,ok,orcamento,50000,50000,1000,big,lhs,1,offline,0,0,"treed-media-c311-ablacao-r3 (build_surrogates direto, SEM ad",3.8.20,env_c311,1.1.2,None/None,1,7.2242,1.5941,3.58,0.0,0.0886,1,1,50000,False,220,100,10,100,1000,mean,2,NULL por construção (sem GP ⇒ sem variân,c311 (TGPR-MO) — remove a construção iterativa addGPs (B15.4),True,15,True,True,True,True,valor ÚNICO 'treed_media/RVEA-arvore-media' (,20000,1,treed_media/RVEA-arvore-media,ec29d5cc9b6c,True,,True,3,1,1,1,0,0,0,22,2,50000,True,e216e7486d18,20000,49999,True,treed_media/RVEA-arvore-media,True,True,ok,orcamento,50000.0,True,1000.0,46.0,16.0,0.0,50000,True,1.0,True,True,0,0,65294,"offline,sonda",45294,20000,1,1000,1000,True,1.0,1.0,1.0,1.0,0.0,1.0,treed_media/RVEA-arvore-media,1,cru,1.0,1.0,49999,True,valor,1.0,1.0,1.0,50,48,34,46,True,True,45294,0.0,44.0,4.702633304987103e-06,43.999732971191406,1,1,50000,1.5940580368041992,3.58000111579895,0.08856081962585449,5.17405891418457,True,True,True,5979.9
swap_big-lhs_ZDT1,lhs,ZDT1,30,2,ok,orcamento,50000,50000,1000,big,lhs,1,offline,0,0,"treed-media-c311-ablacao-r3 (build_surrogates direto, SEM ad",3.8.20,env_c311,1.1.2,None/None,1,13.2831,1.7009,3.8316,0.0,0.0883,1,1,50000,False,300,100,10,100,1000,mean,2,NULL por construção (sem GP ⇒ sem variân,c311 (TGPR-MO) — remove a construção iterativa addGPs (B15.4),True,15,True,True,True,True,valor ÚNICO 'treed_media/RVEA-arvore-media' (,20000,1,treed_media/RVEA-arvore-media,d771d323b073,True,,True,3,1,1,1,0,0,0,30,2,50000,True,d0d4d93acdc3,20000,49999,True,treed_media/RVEA-arvore-media,True,True,ok,orcamento,50000.0,True,1000.0,50.0,11.0,0.0,50000,True,1.0,True,True,0,0,69874,"offline,sonda",49874,20000,1,1000,1000,True,1.0,1.0,1.0,1.0,0.0,1.0,treed_media/RVEA-arvore-media,1,cru,1.0,1.0,49999,True,valor,1.0,1.0,1.0,50,50,41,50,True,True,49874,0.0,1.0,1.7165811527775077e-07,0.9999993443489075,1,1,50000,1.7009449005126953,3.831554889678955,0.08828210830688477,5.53249979019165,True,True,True,3252.3
swap_big-lhs_ZDT4,lhs,ZDT4,10,2,ok,orcamento,50000,50000,1000,big,lhs,1,offline,0,0,"treed-media-c311-ablacao-r3 (build_surrogates direto, SEM ad",3.8.20,env_c311,1.1.2,None/None,1,6.7214,0.8345,3.1542,0.0,0.093,1,1,50000,False,100,100,10,100,1000,mean,2,NULL por construção (sem GP ⇒ sem variân,c311 (TGPR-MO) — remove a construção iterativa addGPs (B15.4),True,15,True,True,True,True,valor ÚNICO 'treed_media/RVEA-arvore-media' (,20000,1,treed_media/RVEA-arvore-media,f5c4832dd289,True,,True,3,1,1,1,0,0,0,10,2,50000,True,487cd49bf52a,20000,49999,True,treed_media/RVEA-arvore-media,True,True,ok,orcamento,50000.0,True,1000.0,36.0,7.0,0.0,50000,True,1.0,True,True,0,0,57073,"offline,sonda",37073,20000,1,1000,1000,True,1.0,1.0,1.0,1.0,0.0,1.0,treed_media/RVEA-arvore-media,1,cru,1.0,1.0,49999,True,valor,1.0,1.0,1.0,50,45,32,36,True,True,37073,-5.0,4.993466377258301,-4.999959945678711,4.999979019165039,1,1,50000,0.8345291614532471,3.154158115386963,0.09296202659606934,3.98868727684021,True,True,True,6427.2
swap_big-mvns_DTLZ2,mvns,DTLZ2,12,3,ok,orcamento,50000,50000,1000,big,mvns,1,offline,0,0,"treed-media-c311-ablacao-r3 (build_surrogates direto, SEM ad",3.8.20,env_c311,1.1.2,None/None,1,13.9358,1.9157,8.983,0.0,0.166,1,1,50000,False,120,100,10,100,1000,mean,2,NULL por construção (sem GP ⇒ sem variân,c311 (TGPR-MO) — remove a construção iterativa addGPs (B15.4),True,15,True,True,True,True,valor ÚNICO 'treed_media/RVEA-arvore-media' (,20000,1,treed_media/RVEA-arvore-media,0b76bc415a00,True,,True,4,1,1,2,0,0,0,12,3,50000,True,a025cc8d4981,20000,49999,True,treed_media/RVEA-arvore-media,True,True,ok,orcamento,50000.0,True,1000.0,102.0,37.0,0.0,50000,True,1.0,True,True,0,0,121957,"offline,sonda",101957,20000,1,1000,1000,True,1.0,1.0,1.0,1.0,0.0,1.0,treed_media/RVEA-arvore-media,1,cru,1.0,1.0,49999,True,valor,1.0,1.0,1.0,105,104,78,102,True,True,101957,0.0,1.0,0.0,1.0,1,1,50000,1.915693998336792,8.982958793640137,0.16597700119018555,10.898653030395508,True,True,True,3099.9
swap_big-mvns_MMF16_20,mvns,MMF16_20,20,3,ok,orcamento,50000,50000,1000,big,mvns,1,offline,0,0,"treed-media-c311-ablacao-r3 (build_surrogates direto, SEM ad",3.8.20,env_c311,1.1.2,None/None,1,15.7127,2.9311,8.9529,0.0,0.1491,1,1,50000,False,200,100,10,100,1000,mean,2,NULL por construção (sem GP ⇒ sem variân,c311 (TGPR-MO) — remove a construção iterativa addGPs (B15.4),True,15,True,True,True,True,valor ÚNICO 'treed_media/RVEA-arvore-media' (,20000,1,treed_media/RVEA-arvore-media,4f679dcb4a60,True,"{'real': 'pending', 'pop': 'pending', 'surrogate': 'pending', 'timing': 'pending', 'jsonl': 'pending'}",True,2,1,1,0,0,0,0,20,3,50000,True,8f0405ff52ee,20000,49999,True,treed_media/RVEA-arvore-media,True,False,,,,,,,,,50000,True,1.0,True,True,0,0,121102,"offline,sonda",101102,20000,1,1000,1000,True,1.0,1.0,1.0,1.0,0.0,1.0,treed_media/RVEA-arvore-media,1,cru,1.0,1.0,49999,True,valor,1.0,1.0,1.0,105,103,69,102,True,True,101102,0.0,1.0,0.0,1.0,1,1,50000,2.9310946464538574,8.952946662902832,0.14914393424987793,11.884041786193848,True,True,True,2749.4
swap_big-mvns_WFG9,mvns,WFG9,22,2,ok,orcamento,50000,50000,1000,big,mvns,1,offline,0,0,"treed-media-c311-ablacao-r3 (build_surrogates direto, SEM ad",3.8.20,env_c311,1.1.2,None/None,1,7.5384,1.3942,4.1057,0.0,0.0929,1,1,50000,False,220,100,10,100,1000,mean,2,NULL por construção (sem GP ⇒ sem variân,c311 (TGPR-MO) — remove a construção iterativa addGPs (B15.4),True,15,True,True,True,True,valor ÚNICO 'treed_media/RVEA-arvore-media' (,20000,1,treed_media/RVEA-arvore-media,ec29d5cc9b6c,True,,True,4,1,1,2,0,0,0,22,2,50000,True,938c2405a672,20000,49999,True,treed_media/RVEA-arvore-media,True,True,ok,orcamento,50000.0,True,1000.0,47.0,11.0,0.0,50000,True,1.0,True,True,0,0,66596,"offline,sonda",46596,20000,1,1000,1000,True,1.0,1.0,1.0,1.0,0.0,1.0,treed_media/RVEA-arvore-media,1,cru,1.0,1.0,49999,True,valor,1.0,1.0,1.0,50,48,34,47,True,True,46596,0.0,44.0,0.0,44.0,1,1,50000,1.3941900730133057,4.105687141418457,0.0929269790649414,5.499876976013184,True,True,True,5730.7
swap_big-mvns_ZDT1,mvns,ZDT1,30,2,ok,orcamento,50000,50000,1000,big,mvns,1,offline,0,0,"treed-media-c311-ablacao-r3 (build_surrogates direto, SEM ad",3.8.20,env_c311,1.1.2,None/None,1,7.8988,1.6736,4.1636,0.0,0.0926,1,1,50000,False,300,100,10,100,1000,mean,2,NULL por construção (sem GP ⇒ sem variân,c311 (TGPR-MO) — remove a construção iterativa addGPs (B15.4),True,15,True,True,True,True,valor ÚNICO 'treed_media/RVEA-arvore-media' (,20000,1,treed_media/RVEA-arvore-media,d771d323b073,True,,True,4,1,1,2,0,0,0,30,2,50000,True,71eef00f783b,20000,49999,True,treed_media/RVEA-arvore-media,True,True,ok,orcamento,50000.0,True,1000.0,48.0,10.0,0.0,50000,True,1.0,True,True,0,0,67737,"offline,sonda",47737,20000,1,1000,1000,True,1.0,1.0,1.0,1.0,0.0,1.0,treed_media/RVEA-arvore-media,1,cru,1.0,1.0,49999,True,valor,1.0,1.0,1.0,50,48,40,48,True,True,47737,0.0,1.0,0.0,1.0,1,1,50000,1.6735751628875732,4.163567066192627,0.09255290031433105,5.837141990661621,True,True,True,5469.2
swap_big-mvns_ZDT4,mvns,ZDT4,10,2,ok,orcamento,50000,50000,1000,big,mvns,1,offline,0,0,"treed-media-c311-ablacao-r3 (build_surrogates direto, SEM ad",3.8.20,env_c311,1.1.2,None/None,1,5.8615,0.6256,3.2705,0.0,0.092,1,1,50000,False,100,100,10,100,1000,mean,2,NULL por construção (sem GP ⇒ sem variân,c311 (TGPR-MO) — remove a construção iterativa addGPs (B15.4),True,15,True,True,True,True,valor ÚNICO 'treed_media/RVEA-arvore-media' (,20000,1,treed_media/RVEA-arvore-media,f5c4832dd289,True,,True,3,1,1,1,0,0,0,10,2,50000,True,f1f45779e245,20000,49999,True,treed_media/RVEA-arvore-media,True,True,ok,orcamento,50000.0,True,1000.0,37.0,8.0,0.0,50000,True,1.0,True,True,0,0,57281,"offline,sonda",37281,20000,1,1000,1000,True,1.0,1.0,1.0,1.0,0.0,1.0,treed_media/RVEA-arvore-media,1,cru,1.0,1.0,49999,True,valor,1.0,1.0,1.0,50,46,32,37,True,True,37281,-5.0,5.0,-5.0,5.0,1,1,50000,0.6255788803100586,3.270512819290161,0.0920262336730957,3.8960916996002197,True,True,True,7370.1
