dist,problema,D,wall_treed_s,fit_treed_s,ger_treed,folhas_treed,teto_folhas,folhas_le_teto_treed,sigmaNaN_treed_pct,fantasia_treed,igd7_treed,hv7_treed,wall_c311_s,fit_c311_s,ger_c311,speedup_wall_x,speedup_fit_x,custo_pred_c311_us,custo_pred_treed_us,razao_custo_pred_x,mu_distintos_c311,c311_folhas_le_teto,sigmaNaN_c311_pct,fantasia_c311,igd7_c311,hv7_c311,razao_igd7_treed_sobre_c311,delta_fantasia,vence_igd7,vence_fantasia,wape_delta_pct_med,wape_delta_pct_max
lhs,ZDT4,10,6.7214,0.8345,1000,393,500,True,100.0,0.1944,62.24888,0.0,67.3724,17.5216,3550.0,10.02,21.0,253.78,85.08,2.98,3961.0,False,90.31,0.08,67.392698,0.0,0.924,0.1144,treed,treed,11.57,23.14
lhs,ZDT1,30,13.2831,1.7009,1000,128,166,True,100.0,0.22,2.352774,0.0,68.7139,29.1859,1918.0,5.17,17.16,397.95,76.83,5.18,2615.0,False,92.49,0.56,0.217444,0.594607,10.82,-0.34,c311,c311,8.58,14.31
lhs,DTLZ2,12,10.9692,1.2581,1000,327,416,True,100.0,0.581,0.135395,0.430553,326.9654,59.3019,6049.0,29.81,47.14,406.21,72.97,5.57,6393.0,False,74.51,0.9619,0.025474,0.738958,5.315,-0.3809,c311,c311,31.41,33.39
lhs,MMF16_20,20,11.5296,1.8019,1000,189,250,True,100.0,0.7524,0.039227,0.700019,267.9907,126.1207,3244.0,23.24,69.99,399.31,74.35,5.37,4721.0,False,80.34,0.9524,0.025123,0.740324,1.561,-0.2,c311,c311,24.14,24.63
lhs,WFG9,22,7.2242,1.5941,1000,173,227,True,100.0,0.3478,0.340881,0.02516,28.1593,1.7303,1306.0,3.9,1.09,401.1,79.04,5.07,273.0,False,99.49,0.98,0.23244,0.210322,1.467,-0.6322,c311,c311,-1.19,-0.9
mvns,ZDT4,10,5.8615,0.6256,1000,372,500,True,100.0,0.2162,107.511319,0.0,50.0337,8.4919,2530.0,8.54,13.57,301.33,87.73,3.43,2165.0,False,91.97,0.14,75.415562,0.0,1.426,0.0762,c311,treed,3.28,6.21
mvns,ZDT1,30,7.8988,1.6736,1000,124,166,True,100.0,0.2083,1.931461,0.0,209.8793,130.5,4111.0,26.57,77.98,396.24,87.22,4.54,11727.0,False,69.19,0.6531,0.044505,0.793393,43.399,-0.4448,c311,c311,58.88,114.38
mvns,DTLZ2,12,13.9358,1.9157,1000,327,416,True,100.0,0.3627,0.384245,0.068487,235.2331,46.5756,3856.0,16.88,24.31,457.93,88.11,5.2,8090.0,False,63.01,0.9048,0.030154,0.729311,12.743,-0.5421,c311,c311,45.18,49.21
mvns,MMF16_20,20,15.7127,2.9311,1000,189,250,True,100.0,0.6765,0.051502,0.676314,,,,,,,,,,,,,,,,,,,,
mvns,WFG9,22,7.5384,1.3942,1000,171,227,True,100.0,0.234,0.291531,0.039033,30.5265,2.8527,1408.0,4.05,2.05,413.49,88.11,4.69,509.0,False,98.56,0.02,0.388405,0.077138,0.751,0.214,treed,treed,-3.03,-1.36
