alg,problema,semente,status,fe_final,maxfe,exp,camadas
c122,BBOB_F37,20,ok,309,309,main,①②④⑥
c122,BBOB_F37,18,ok,309,309,main,①②④⑥
c122,BBOB_F37,27,ok,309,309,main,①②④⑥
c122,BBOB_F37,9,ok,309,309,main,①②④⑥
c122,BBOB_F37,0,ok,309,309,main,①②④⑥
c122,BBOB_F37,11,ok,309,309,main,①②④⑥
c122,BBOB_F37,7,ok,309,309,main,①②③④⑥
c122,BBOB_F37,16,ok,309,309,main,①②④⑥
c122,BBOB_F37,42,ok,309,309,main,①②④⑥
c122,BBOB_F37,6,ok,309,309,main,①②④⑥
c122,BBOB_F37,28,ok,309,309,main,①②④⑥
c122,BBOB_F37,17,ok,309,309,main,①②④⑥
c122,BBOB_F37,1,ok,309,309,main,①②④⑥
c122,BBOB_F37,10,ok,309,309,main,①②④⑥
c122,BBOB_F37,19,ok,309,309,main,①②④⑥
c122,BBOB_F37,26,ok,309,309,main,①②④⑥
c122,BBOB_F37,8,ok,309,309,main,①②④⑥
c122,BBOB_F37,21,ok,309,309,main,①②④⑥
c122,BBOB_F37,24,ok,309,309,main,①②④⑥
c122,BBOB_F37,23,ok,309,309,main,①②④⑥
c122,BBOB_F37,4,ok,309,309,main,①②④⑥
c122,BBOB_F37,15,ok,309,309,main,①②④⑥
c122,BBOB_F37,3,ok,309,309,main,①②④⑥
c122,BBOB_F37,12,ok,309,309,main,①②④⑥
c122,BBOB_F37,2,ok,309,309,main,①②④⑥
c122,BBOB_F37,13,ok,309,309,main,①②④⑥
c122,BBOB_F37,5,ok,309,309,main,①②④⑥
c122,BBOB_F37,14,ok,309,309,main,①②④⑥
c122,BBOB_F37,22,ok,309,309,main,①②④⑥
c122,BBOB_F37,25,ok,309,309,main,①②④⑥
c122,BBOB_F55,20,ok,309,309,main,①②④⑥
c122,BBOB_F55,18,ok,309,309,main,①②④⑥
c122,BBOB_F55,27,ok,309,309,main,①②④⑥
c122,BBOB_F55,9,ok,309,309,main,①②④⑥
c122,BBOB_F55,0,ok,309,309,main,①②④⑥
c122,BBOB_F55,11,ok,309,309,main,①②④⑥
c122,BBOB_F55,7,ok,309,309,main,①②③④⑥
c122,BBOB_F55,16,ok,309,309,main,①②④⑥
c122,BBOB_F55,42,ok,309,309,main,①②④⑥
c122,BBOB_F55,6,ok,309,309,main,①②④⑥
c122,BBOB_F55,28,ok,309,309,main,①②④⑥
c122,BBOB_F55,17,ok,309,309,main,①②④⑥
c122,BBOB_F55,1,ok,309,309,main,①②④⑥
c122,BBOB_F55,10,ok,309,309,main,①②④⑥
c122,BBOB_F55,19,ok,309,309,main,①②④⑥
c122,BBOB_F55,26,ok,309,309,main,①②④⑥
c122,BBOB_F55,8,ok,309,309,main,①②④⑥
c122,BBOB_F55,21,ok,309,309,main,①②④⑥
c122,BBOB_F55,24,ok,309,309,main,①②④⑥
c122,BBOB_F55,23,ok,309,309,main,①②④⑥
c122,BBOB_F55,4,ok,309,309,main,①②④⑥
c122,BBOB_F55,15,ok,309,309,main,①②④⑥
c122,BBOB_F55,3,ok,309,309,main,①②④⑥
c122,BBOB_F55,12,ok,309,309,main,①②④⑥
c122,BBOB_F55,2,ok,309,309,main,①②④⑥
c122,BBOB_F55,13,ok,309,309,main,①②④⑥
c122,BBOB_F55,5,ok,309,309,main,①②④⑥
c122,BBOB_F55,14,ok,309,309,main,①②④⑥
c122,BBOB_F55,22,ok,309,309,main,①②④⑥
c122,BBOB_F55,25,ok,309,309,main,①②④⑥
c122,WFG9,20,failed,615,681,main,①②④⑥
c122,WFG9,18,failed,398,681,main,①②③④⑥
c122,WFG9,27,failed,557,681,main,①②④⑥
c122,WFG9,9,failed,537,681,main,①②④⑥
c122,WFG9,0,ok,681,681,main,①②④⑥
c122,WFG9,11,failed,646,681,main,①②④⑥
c122,WFG9,7,failed,670,681,main,①②④⑥
c122,WFG9,16,failed,629,681,main,①②④⑥
c122,WFG9,42,failed,550,681,main,①②④⑥
c122,WFG9,6,failed,680,681,main,①②④⑥
c122,WFG9,28,failed,590,681,main,①②④⑥
c122,WFG9,17,failed,597,681,main,①②④⑥
c122,WFG9,1,ok,681,681,main,①②④⑥
c122,WFG9,10,ok,681,681,main,①②④⑥
c122,WFG9,19,failed,572,681,main,①②④⑥
c122,WFG9,8,failed,565,681,main,①②④⑥
c122,WFG9,21,failed,541,681,main,①②④⑥
c122,WFG9,24,failed,597,681,main,①②④⑥
c122,WFG9,23,failed,583,681,main,①②④⑥
c122,WFG9,4,ok,681,681,main,①②④⑥
c122,WFG9,15,failed,628,681,main,①②④⑥
c122,WFG9,3,ok,681,681,main,①②④⑥
c122,WFG9,12,failed,627,681,main,①②④⑥
c122,WFG9,2,failed,604,681,main,①②④⑥
c122,WFG9,13,failed,564,681,main,①②④⑥
c122,WFG9,5,failed,640,681,main,①②④⑥
c122,WFG9,14,ok,681,681,main,①②④⑥
c122,WFG9,22,failed,672,681,main,①②④⑥
c122,WFG9,25,failed,348,681,main,①②③④⑥
c122,WFG1,20,ok,681,681,main,①②④⑥
c122,WFG1,18,ok,681,681,main,①②④⑥
c122,WFG1,27,ok,681,681,main,①②④⑥
c122,WFG1,9,ok,681,681,main,①②④⑥
c122,WFG1,0,ok,681,681,main,①②④⑥
c122,WFG1,11,ok,681,681,main,①②④⑥
c122,WFG1,7,ok,681,681,main,①②④⑥
c122,WFG1,16,ok,681,681,main,①②④⑥
c122,WFG1,42,ok,681,681,main,①②④⑥
c122,WFG1,6,ok,681,681,main,①②④⑥
c122,WFG1,28,ok,681,681,main,①②④⑥
c122,WFG1,17,ok,681,681,main,①②④⑥
c122,WFG1,1,ok,681,681,main,①②④⑥
c122,WFG1,10,ok,681,681,main,①②④⑥
c122,WFG1,19,ok,681,681,main,①②④⑥
c122,WFG1,8,ok,681,681,main,①②④⑥
c122,WFG1,21,ok,681,681,main,①②④⑥
c122,WFG1,24,ok,681,681,main,①②④⑥
c122,WFG1,23,failed,663,681,main,①②④⑥
c122,WFG1,4,ok,681,681,main,①②④⑥
c122,WFG1,15,ok,681,681,main,①②④⑥
c122,WFG1,3,ok,681,681,main,①②④⑥
c122,WFG1,12,ok,681,681,main,①②④⑥
c122,WFG1,2,ok,681,681,main,①②④⑥
c122,WFG1,13,ok,681,681,main,①②④⑥
c122,WFG1,5,ok,681,681,main,①②④⑥
c122,WFG1,14,ok,681,681,main,①②④⑥
c122,WFG1,22,ok,681,681,main,①②④⑥
c122,WFG1,25,failed,386,681,main,①②③④⑥
c122,MMF16_20,20,ok,619,619,main,①②④⑥
c122,MMF16_20,18,ok,619,619,main,①②④⑥
c122,MMF16_20,27,ok,619,619,main,①②④⑥
c122,MMF16_20,9,ok,619,619,main,①②④⑥
c122,MMF16_20,0,ok,619,619,main,①②④⑥
c122,MMF16_20,11,ok,619,619,main,①②④⑥
c122,MMF16_20,7,ok,619,619,main,①②③④⑥
c122,MMF16_20,16,ok,619,619,main,①②④⑥
c122,MMF16_20,42,ok,619,619,main,①②④⑥
c122,MMF16_20,6,ok,619,619,main,①②④⑥
c122,MMF16_20,28,ok,619,619,main,①②④⑥
c122,MMF16_20,17,ok,619,619,main,①②④⑥
c122,MMF16_20,1,ok,619,619,main,①②④⑥
c122,MMF16_20,10,ok,619,619,main,①②④⑥
c122,MMF16_20,19,ok,619,619,main,①②④⑥
c122,MMF16_20,26,ok,619,619,main,①②④⑥
c122,MMF16_20,8,ok,619,619,main,①②④⑥
c122,MMF16_20,21,ok,619,619,main,①②④⑥
c122,MMF16_20,24,ok,619,619,main,①②④⑥
c122,MMF16_20,23,ok,619,619,main,①②④⑥
c122,MMF16_20,4,ok,619,619,main,①②④⑥
c122,MMF16_20,15,ok,619,619,main,①②④⑥
c122,MMF16_20,3,ok,619,619,main,①②④⑥
c122,MMF16_20,12,ok,619,619,main,①②④⑥
c122,MMF16_20,2,ok,619,619,main,①②④⑥
c122,MMF16_20,13,ok,619,619,main,①②④⑥
c122,MMF16_20,5,ok,619,619,main,①②④⑥
c122,MMF16_20,14,ok,619,619,main,①②④⑥
c122,MMF16_20,22,ok,619,619,main,①②④⑥
c122,MMF16_20,25,failed,564,619,main,①②③④⑥
c122,DTLZ3,20,ok,371,371,main,①②④⑥
c122,DTLZ3,18,ok,371,371,main,①②④⑥
c122,DTLZ3,27,ok,371,371,main,①②④⑥
c122,DTLZ3,9,ok,371,371,main,①②④⑥
c122,DTLZ3,0,ok,371,371,main,①②④⑥
c122,DTLZ3,11,ok,371,371,main,①②④⑥
c122,DTLZ3,7,ok,371,371,main,①②③④⑥
c122,DTLZ3,16,ok,371,371,main,①②④⑥
c122,DTLZ3,42,ok,371,371,main,①②④⑥
c122,DTLZ3,6,ok,371,371,main,①②④⑥
c122,DTLZ3,28,ok,371,371,main,①②④⑥
c122,DTLZ3,17,ok,371,371,main,①②④⑥
c122,DTLZ3,1,ok,371,371,main,①②④⑥
c122,DTLZ3,10,ok,371,371,main,①②④⑥
c122,DTLZ3,19,ok,371,371,main,①②④⑥
c122,DTLZ3,8,ok,371,371,main,①②④⑥
c122,DTLZ3,21,ok,371,371,main,①②④⑥
c122,DTLZ3,24,ok,371,371,main,①②④⑥
c122,DTLZ3,23,ok,371,371,main,①②④⑥
c122,DTLZ3,4,ok,371,371,main,①②④⑥
c122,DTLZ3,15,ok,371,371,main,①②④⑥
c122,DTLZ3,3,ok,371,371,main,①②④⑥
c122,DTLZ3,12,ok,371,371,main,①②④⑥
c122,DTLZ3,2,ok,371,371,main,①②④⑥
c122,DTLZ3,13,ok,371,371,main,①②④⑥
c122,DTLZ3,5,ok,371,371,main,①②④⑥
c122,DTLZ3,14,ok,371,371,main,①②④⑥
c122,DTLZ3,22,ok,371,371,main,①②④⑥
c122,DTLZ3,25,ok,371,371,main,①②④⑥
c122,BBOB_F1,20,ok,309,309,main,①②④⑥
c122,BBOB_F1,18,ok,309,309,main,①②④⑥
c122,BBOB_F1,27,ok,309,309,main,①②④⑥
c122,BBOB_F1,9,ok,309,309,main,①②④⑥
c122,BBOB_F1,0,ok,309,309,main,①②④⑥
c122,BBOB_F1,11,ok,309,309,main,①②④⑥
c122,BBOB_F1,7,ok,309,309,main,①②③④⑥
c122,BBOB_F1,16,ok,309,309,main,①②④⑥
c122,BBOB_F1,42,ok,309,309,main,①②④⑥
c122,BBOB_F1,6,ok,309,309,main,①②④⑥
c122,BBOB_F1,28,ok,309,309,main,①②④⑥
c122,BBOB_F1,17,ok,309,309,main,①②④⑥
c122,BBOB_F1,1,ok,309,309,main,①②④⑥
c122,BBOB_F1,10,ok,309,309,main,①②④⑥
c122,BBOB_F1,19,ok,309,309,main,①②④⑥
c122,BBOB_F1,26,ok,309,309,main,①②④⑥
c122,BBOB_F1,8,ok,309,309,main,①②④⑥
c122,BBOB_F1,21,ok,309,309,main,①②④⑥
c122,BBOB_F1,24,ok,309,309,main,①②④⑥
c122,BBOB_F1,23,ok,309,309,main,①②④⑥
