exp,alg,problema,exit,detalhe
batch,c149,DTLZ2,0,✅ batch/c149/DTLZ2/s42: accept[R3-c149]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
batch,c149,MMF16_20,0,✅ batch/c149/MMF16_20/s42: accept[R3-c149]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
batch,c149,WFG9,0,✅ batch/c149/WFG9/s42: accept[R3-c149]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
batch,c149,ZDT1,0,✅ batch/c149/ZDT1/s42: accept[R3-c149]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
batch,c149,ZDT4,0,✅ batch/c149/ZDT4/s42: accept[R3-c149]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
batch,e81,DTLZ2,0,✅ batch/e81/DTLZ2/s42: accept[R3-e81]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
batch,e81,MMF16_20,0,✅ batch/e81/MMF16_20/s42: accept[R3-e81]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
batch,e81,WFG9,0,✅ batch/e81/WFG9/s42: accept[R3-e81]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
batch,e81,ZDT1,0,✅ batch/e81/ZDT1/s42: accept[R3-e81]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
batch,e81,ZDT4,0,✅ batch/e81/ZDT4/s42: accept[R3-e81]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
