exp,alg,problema,bloco,modelo_flag,fe_treino_max,obj,wape,corr,cobertura95,n_validas,n_nan
main,b3,MMF1,1,GP-DACE,20,0,0.037994,0.995765,0.8855,2000,0
main,b3,MMF1,1,GP-DACE,20,1,0.833031,0.133798,0.6435,2000,0
main,b3,MMF1,2,GP-DACE,25,0,0.210619,0.721061,0.8665,2000,0
main,b3,MMF1,2,GP-DACE,25,1,0.81305,0.194595,0.7035,2000,0
main,b3,MMF1,4,GP-DACE,35,0,0.325791,0.720464,0.998,2000,0
main,b3,MMF1,4,GP-DACE,35,1,0.843199,0.108025,0.8995,2000,0
main,b3,MMF1,6,GP-DACE,45,0,0.175148,0.819115,0.876,2000,0
main,b3,MMF1,6,GP-DACE,45,1,0.806503,0.270302,0.9085,2000,0
main,b3,MMF1,8,GP-DACE,55,0,0.094284,0.977509,0.9185,2000,0
main,b3,MMF1,8,GP-DACE,55,1,0.815071,0.282981,0.908,2000,0
main,b3,MMF1,9,GP-DACE,59,0,0.165624,0.904638,0.849,2000,0
main,b3,MMF1,9,GP-DACE,59,1,0.774799,0.279224,0.948,2000,0
main,b3,MMF4,1,GP-DACE,20,0,0.049602,0.990515,0.9325,2000,0
main,b3,MMF4,1,GP-DACE,20,1,0.347806,0.420726,0.946,2000,0
main,b3,MMF4,2,GP-DACE,24,0,0.034136,0.996477,0.7185,2000,0
main,b3,MMF4,2,GP-DACE,24,1,0.340811,0.439191,0.663,2000,0
main,b3,MMF4,4,GP-DACE,34,0,0.344553,0.3774,0.622,2000,0
main,b3,MMF4,4,GP-DACE,34,1,0.608912,0.033564,0.517,2000,0
main,b3,MMF4,6,GP-DACE,44,0,0.192418,0.789756,0.6755,2000,0
main,b3,MMF4,6,GP-DACE,44,1,0.587126,0.20153,0.7275,2000,0
main,b3,MMF4,8,GP-DACE,54,0,0.088343,0.963762,0.699,2000,0
main,b3,MMF4,8,GP-DACE,54,1,0.419624,0.24629,0.859,2000,0
main,b3,MMF4,9,GP-DACE,59,0,0.397951,0.29511,0.452,2000,0
main,b3,MMF4,9,GP-DACE,59,1,0.633055,0.059331,0.526,2000,0
main,b3,MMF11_L,1,GP-DACE,20,0,0.0,1.0,0.0,2000,0
main,b3,MMF11_L,1,GP-DACE,20,1,0.159037,0.934839,0.809,2000,0
main,b3,MMF11_L,2,GP-DACE,25,0,0.0,1.0,0.0,2000,0
main,b3,MMF11_L,2,GP-DACE,25,1,0.164171,0.93539,0.6225,2000,0
main,b3,MMF11_L,4,GP-DACE,35,0,0.0,1.0,0.0,2000,0
main,b3,MMF11_L,4,GP-DACE,35,1,0.569739,0.842113,0.6475,2000,0
main,b3,MMF11_L,6,GP-DACE,45,0,0.0,1.0,0.0,2000,0
main,b3,MMF11_L,6,GP-DACE,45,1,0.230474,0.889037,0.931,2000,0
main,b3,MMF11_L,8,GP-DACE,55,0,0.0,1.0,0.0,2000,0
main,b3,MMF11_L,8,GP-DACE,55,1,0.254709,0.870615,0.9275,2000,0
main,b3,MMF16_20,1,GP-DACE,218,0,0.247509,0.906613,0.9265,2000,0
main,b3,MMF16_20,1,GP-DACE,218,1,0.267485,0.896605,0.918,2000,0
main,b3,MMF16_20,1,GP-DACE,218,2,0.128143,0.946618,0.953,2000,0
main,b3,MMF16_20,2,GP-DACE,223,0,0.247434,0.906069,0.928,2000,0
main,b3,MMF16_20,2,GP-DACE,223,1,0.262678,0.897443,0.931,2000,0
main,b3,MMF16_20,2,GP-DACE,223,2,0.128672,0.946138,0.9495,2000,0
main,b3,MMF16_20,4,GP-DACE,233,0,0.246423,0.905639,0.934,2000,0
main,b3,MMF16_20,4,GP-DACE,233,1,0.258889,0.899357,0.9425,2000,0
main,b3,MMF16_20,4,GP-DACE,233,2,0.126824,0.947418,0.9485,2000,0
main,b3,MMF16_20,6,GP-DACE,243,0,0.244661,0.905937,0.933,2000,0
main,b3,MMF16_20,6,GP-DACE,243,1,0.254153,0.902087,0.9455,2000,0
main,b3,MMF16_20,6,GP-DACE,243,2,0.111561,0.957769,0.9545,2000,0
main,b3,MMF16_20,8,GP-DACE,253,0,0.248422,0.902915,0.935,2000,0
main,b3,MMF16_20,8,GP-DACE,253,1,0.252983,0.902544,0.9425,2000,0
main,b3,MMF16_20,8,GP-DACE,253,2,0.109759,0.957739,0.8885,2000,0
main,b3,MMF16_20,10,GP-DACE,263,0,0.250081,0.902073,0.9375,2000,0
main,b3,MMF16_20,10,GP-DACE,263,1,0.249971,0.903407,0.9415,2000,0
main,b3,MMF16_20,10,GP-DACE,263,2,0.115213,0.954593,0.867,2000,0
main,b3,MMF16_20,12,GP-DACE,273,0,0.251813,0.899481,0.943,2000,0
main,b3,MMF16_20,12,GP-DACE,273,1,0.253565,0.901808,0.9455,2000,0
main,b3,MMF16_20,12,GP-DACE,273,2,0.113411,0.955899,0.864,2000,0
main,b3,MMF16_20,14,GP-DACE,283,0,0.254125,0.898875,0.9405,2000,0
main,b3,MMF16_20,14,GP-DACE,283,1,0.254321,0.901251,0.937,2000,0
main,b3,MMF16_20,14,GP-DACE,283,2,0.114855,0.954545,0.826,2000,0
main,b3,MMF16_20,16,GP-DACE,293,0,0.252985,0.900013,0.9465,2000,0
main,b3,MMF16_20,16,GP-DACE,293,1,0.234605,0.914079,0.9555,2000,0
main,b3,MMF16_20,16,GP-DACE,293,2,0.111726,0.956194,0.841,2000,0
main,b3,MMF16_20,18,GP-DACE,303,0,0.251841,0.902264,0.941,2000,0
main,b3,MMF16_20,18,GP-DACE,303,1,0.177832,0.949303,0.9695,2000,0
main,b3,MMF16_20,18,GP-DACE,303,2,0.11366,0.954184,0.8365,2000,0
main,b3,MMF16_20,20,GP-DACE,313,0,0.253176,0.899145,0.9395,2000,0
main,b3,MMF16_20,20,GP-DACE,313,1,0.164152,0.956575,0.9525,2000,0
main,b3,MMF16_20,20,GP-DACE,313,2,0.116636,0.952794,0.8335,2000,0
main,b3,MMF16_20,22,GP-DACE,323,0,0.255861,0.896531,0.936,2000,0
main,b3,MMF16_20,22,GP-DACE,323,1,0.157743,0.958933,0.928,2000,0
main,b3,MMF16_20,22,GP-DACE,323,2,0.1182,0.950684,0.8175,2000,0
main,b3,MMF16_20,24,GP-DACE,333,0,0.257392,0.89649,0.9415,2000,0
main,b3,MMF16_20,24,GP-DACE,333,1,0.14847,0.963506,0.933,2000,0
main,b3,MMF16_20,24,GP-DACE,333,2,0.119321,0.949187,0.8145,2000,0
main,b3,MMF16_20,26,GP-DACE,343,0,0.256724,0.897869,0.948,2000,0
main,b3,MMF16_20,26,GP-DACE,343,1,0.160241,0.957966,0.9165,2000,0
main,b3,MMF16_20,26,GP-DACE,343,2,0.114007,0.953223,0.836,2000,0
main,b3,MMF16_20,28,GP-DACE,353,0,0.259266,0.893899,0.9355,2000,0
main,b3,MMF16_20,28,GP-DACE,353,1,0.159127,0.957777,0.8945,2000,0
main,b3,MMF16_20,28,GP-DACE,353,2,0.112839,0.954725,0.833,2000,0
