geracao,n,maxdX,wape,cob,corr,sigma_med,gbest,fe_treino_max
1,2000,0.0,0.3694681310358759,0.5835,0.4172666482484173,0.040356406942009926,0.06907335449067542,20
2,2000,0.0,0.0669445119993745,0.5095,0.9567287118999533,0.0032551998738199472,0.07695631842120361,21
4,2000,0.0,0.66540706504578,0.4695,0.17744870465232213,0.053375884890556335,0.07146650631719172,23
6,2000,0.0,0.06923683078772977,0.873,0.9750666262416038,0.02250841911882162,0.03302049673156256,25
8,2000,0.0,0.4913387702519464,0.675,0.24471215450503134,0.07979840785264969,0.056243528662489266,27
10,2000,0.0,0.34600340307189514,0.885,0.3966665144464598,0.12529383599758148,0.05626692113217554,29
12,2000,0.0,0.07781757988365381,0.948,0.9797809114477976,0.05716261453926563,0.012621658964992647,31
14,2000,0.0,0.17732400248839356,0.7755,0.8602850681407069,0.041006920859217644,0.030338216993030288,33
16,2000,0.0,0.5869651410630953,0.8475,0.180192179090949,0.17218025773763657,0.06074673962676716,35
18,2000,0.0,0.09511021716413469,0.914,0.9659733151929132,0.07007822766900063,0.013726710587810262,37
20,2000,0.0,0.24151650914863515,0.9315,0.7126617570467846,0.11475776135921478,0.03937961756035925,39
22,2000,0.0,0.21198130426555795,0.9075,0.8035701897212991,0.10263973101973534,0.034678745420986354,41
24,2000,0.0,0.6804113203510523,0.8575,0.19884883943663942,0.19254858791828156,0.06308262751325494,43
26,2000,0.0,0.35478973791203094,0.8875,0.38120729801506537,0.13573895394802094,0.05055397326588837,45
28,2000,0.0,0.2696269960063993,0.885,0.6581891082648007,0.11685492470860481,0.03479966294759651,47
30,2000,0.0,0.3002522820275548,0.8325,0.6743330312424125,0.1537976861000061,0.001695521310796445,49
32,2000,0.0,0.3915911073047498,0.7895,0.3030418532239544,0.10573569685220718,0.040186347879085364,50
34,2000,0.0,0.28041221470081057,0.7725,0.6424033794547499,0.09754487499594688,0.027645753071555073,51
36,2000,0.0,0.285238867805068,0.881,0.5847784067071102,0.1037462092936039,0.04316167313756508,52
38,2000,0.0,0.3375835289163136,0.689,0.5790537494679525,0.0943753756582737,0.024774203811827947,53
40,2000,0.0,0.469674843033717,0.846,0.27501458331899886,0.1671137437224388,0.04646254499427298,54
42,2000,0.0,0.5049080098861681,0.547,0.3087259897556285,0.10767093300819397,0.001695521310796445,56
44,2000,0.0,0.4818988921102525,0.547,0.35283787847749126,0.09751525148749352,0.020353840281380427,56
46,2000,0.0,0.47290089374040545,0.549,0.32931844563732626,0.08960310369729996,0.0066061922532268955,56
48,2000,0.0,0.5536929975973788,0.469,0.2821383306393564,0.09443801268935204,0.0093899086583218,58
50,2000,0.0,0.5146919048358035,0.4915,0.3750914461142999,0.09065747261047363,0.02256402204660419,58
52,2000,0.0,0.3836748116153301,0.884,0.3732803792805724,0.16908683627843857,0.048508104385742754,56
54,2000,0.0,0.3736530982635848,0.934,0.4684226654628792,0.2868661880493164,0.05171389349984489,54
