g,fe,d_gbest,d_nmin,d_nmax,rel_ei,win,sid_ok,sub_id,sub_ok,ga_it_ok,ga_pop_d,na_ok,th_lo,th_hi,mse,einan,ng,dgrid,dmin_arq,lam
1,242,5.6604074177846186e-08,2.8122694082867223e-09,2.1275130323166348e-08,2.2205802424976125e-16,fe-1,True,True,True,True,-2,True,10.0,10.0,0,0,0,0.0,35.87641520863427,"(np.float64(0.3737373737), np.float64(0.6262626263))"
2,243,1.1696790536142032e-08,3.514756794194256e-08,2.1275130323166348e-08,5.856412779596349e-16,fe-1,True,True,True,True,0,True,10.0,10.0,0,0,0,0.0,0.24388356428062785,"(np.float64(0.6666666667), np.float64(0.3333333333))"
3,244,2.9370292753405636e-08,3.514756794194256e-08,2.1275130323166348e-08,0.0,fe-1,True,True,True,True,-2,True,1e-05,10.0,0,0,0,0.0,44.20891824404734,"(np.float64(0.3939393939), np.float64(0.6060606061))"
4,245,2.0124857780245975e-08,7.962761219267136e-09,3.4242760211275746e-08,0.0,fe-1,True,True,True,True,0,True,1e-05,10.0,0,0,0,7.105427357601002e-15,0.8894221859623063,"(np.float64(0.4242424242), np.float64(0.5757575758))"
5,246,2.17810441904831e-09,7.962761219267136e-09,3.4242760211275746e-08,0.0,fe-1,True,True,True,True,-2,True,1e-05,9.5071401503875,0,0,0,0.0,40.87831485622706,"(np.float64(0.0505050505), np.float64(0.9494949495))"
6,247,2.3788074010600013e-08,7.962761219267136e-09,3.4242760211275746e-08,0.0,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,0.0,0.7002464207492335,"(np.float64(0.5050505051), np.float64(0.4949494949))"
7,248,8.405336732186797e-09,7.962761219267136e-09,3.4242760211275746e-08,5.363107960650845e-15,fe-1,True,True,True,True,-2,True,1e-05,10.367609849529908,0,0,0,0.0,1.149903507258445,"(np.float64(0.8080808081), np.float64(0.1919191919))"
8,249,6.315336087414636e-09,7.962761219267136e-09,4.444388065359379e-08,0.0,fe-1,True,True,True,True,0,True,1e-05,9.370838170551494,0,0,0,0.0,11.872396438534254,"(np.float64(0.1919191919), np.float64(0.8080808081))"
9,250,6.17786658635433e-10,7.962761219267136e-09,4.444388065359379e-08,0.0,fe-1,True,True,True,True,-2,True,1e-05,9.78572062087699,0,0,0,0.0,7.976218109363124,"(np.float64(0.0101010101), np.float64(0.9898989899))"
10,251,1.610898531234639e-08,7.962761219267136e-09,4.444388065359379e-08,0.0,fe-1,True,True,True,True,0,True,1e-05,16.368674497669645,0,0,0,0.0,3.02219720053756,"(np.float64(0.3131313131), np.float64(0.6868686869))"
