bloco,obj,WAPE,cob,corr,nan_sigma,sigma0
1,0,0.03799411285098803,0.8855,0.9957646161087814,0,0
1,1,0.8330312065670933,0.6435,0.1337977171912692,0,0
2,0,0.21061917468078614,0.8665,0.7210613378511292,0,0
2,1,0.8130500197606733,0.7035,0.19459520625097618,0,0
4,0,0.3257914823022194,0.998,0.7204644732848595,0,0
4,1,0.8431994783874694,0.8995,0.10802494510146023,0,0
6,0,0.17514831162400762,0.876,0.8191153237906988,0,0
6,1,0.8065028338363243,0.9085,0.27030208810891043,0,0
8,0,0.09428366634994248,0.9185,0.9775088377830969,0,0
8,1,0.8150709650386687,0.908,0.2829805369019169,0,0
