problema,M,n_sel,n_ok,max_rel,linhas3,linhas_online,linhas_sonda,nan_sigma,sigma_negativo,nan_mu,linhas_sigma_zero,frac_rsid_online
BBOB_F1,2,200,200,5.572161077166938e-08,111750,67750,44000,0,0,0,0,0.10425092250922509
BBOB_F17,2,200,200,5.540301896847189e-08,105123,63123,42000,0,0,0,0,0.07626380241750233
BBOB_F22,2,200,200,5.891290703867886e-08,102203,60203,42000,0,0,0,0,0.07735494908891584
BBOB_F37,2,200,200,5.8241620734625234e-08,101160,59160,42000,0,0,0,0,0.0811528059499662
BBOB_F49,2,200,200,5.756105857105935e-08,106529,62529,44000,0,0,0,0,0.1159941787010827
BBOB_F5,2,210,210,5.526151764599007e-08,118536,72536,46000,0,0,0,0,0.11843774125951252
BBOB_F55,2,200,200,5.7118604248636546e-08,103065,59065,44000,0,0,0,0,0.11209684246169474
DTLZ1,3,140,140,5.585748134235178e-08,60293,28293,32000,0,0,0,0,0.1354752058813134
DTLZ2,3,240,240,5.6884402463765286e-08,115807,65807,50000,0,0,0,0,0.10427462124090142
DTLZ3,3,240,240,5.7363198098395337e-08,103998,53998,50000,0,0,0,0,0.140190377421386
DTLZ4,3,240,240,5.588922995283867e-08,95881,43881,52000,0,0,0,0,0.08131081789384928
DTLZ7,3,490,490,5.729116838648459e-08,210518,108518,102000,0,0,0,0,0.13455832212167568
MMF1,2,40,40,5.602694563031511e-08,24709,12709,12000,0,0,0,0,0.06554410260445354
MMF11_L,2,40,40,4.752818961930288e-08,23048,13048,10000,0,0,0,0,0.04621397915389332
MMF16_20,3,400,400,5.743287665626823e-08,167175,85175,82000,0,0,0,0,0.16496624596419138
MMF4,2,40,40,5.529874093312912e-08,24978,12978,12000,0,0,0,0,0.0584835876098012
WFG1,2,445,445,5.774980180481099e-08,230962,138962,92000,0,0,0,0,0.1034599386882745
WFG2,2,470,470,5.916449636920892e-08,272288,174288,98000,0,0,0,0,0.14921853483888736
WFG4,2,460,460,5.5110122691775204e-08,266881,170881,96000,0,0,0,0,0.12401027615709177
WFG5,2,440,440,5.711891045787799e-08,256774,164774,92000,0,0,0,0,0.11194120431621493
WFG9,2,450,450,5.8725580418131625e-08,248308,156308,92000,0,0,0,0,0.1648604038181027
ZDT1,2,600,600,5.8457844581236136e-08,344965,220965,124000,0,0,0,0,0.11121670852849999
ZDT3,2,655,655,5.618287220048464e-08,379101,245101,134000,0,0,0,0,0.11445485738532278
ZDT4,2,215,215,5.077889860318311e-08,99841,53841,46000,0,0,0,0,0.2043052692186252
ZDT6,2,200,200,5.7008806686869495e-08,102415,60415,42000,0,0,0,0,0.07001572457171232
