problema,D,M,N,maxfe,fe_final,n_linhas_1,n_init,esperado_init,ok_fe,fe_index_denso,sid_unicos,termino,status,n_ciclos,cache_hits,n_cachehit_guard,c0,hard_stop,n_blocos_sonda,sonda_manif,tem_campanha_id,tem_desligada,tem_adapt_dv,tem_params,tem_sigma_dict,ok_Flag,ok_ramo,ok_delta,n_incerteza,ok_wmax20,ok_u,nzero_tot,nvet_vazios_tot,ok_ntreino,max_err_meanMSE,n_sel,transicoes,NumV1_eq_NumV2ant,ftm_monotonico,ftm_eq_feprev_menos1,n_timing,viol_timing,cadencia_ok,G,resto,hs_sse_resto
BBOB_F1,10,2,100,309,309,309,109,109,True,True,True,normal,ok,40,4,4,1,1,22,22,False,False,False,True,True,True,True,True,0,True,True,0,0,True,2.2171456185771436e-16,200,39,0,True,True,40,0,True,41,3,True
BBOB_F17,10,2,100,309,309,309,109,109,True,True,True,normal,ok,40,1,1,1,0,21,21,False,False,False,True,True,True,True,True,0,True,True,0,0,True,2.212666743642006e-16,200,39,35,True,True,40,0,True,40,0,True
BBOB_F22,10,2,100,309,309,309,109,109,True,True,True,normal,ok,40,1,1,1,0,21,21,False,False,False,True,True,True,True,True,0,True,True,0,0,True,2.2132222058371446e-16,200,39,3,True,True,40,0,True,40,0,True
BBOB_F37,10,2,100,309,309,309,109,109,True,True,True,normal,ok,40,1,1,1,0,21,21,False,False,False,True,True,True,True,True,0,True,True,0,0,True,3.858739870149535e-16,200,39,1,True,True,40,0,True,40,0,True
BBOB_F49,10,2,100,309,309,309,109,109,True,True,True,normal,ok,40,4,4,1,1,22,22,False,False,False,True,True,True,True,True,0,True,True,0,0,True,2.2017148390927022e-16,200,39,3,True,True,40,0,True,41,3,True
BBOB_F5,10,2,100,309,309,309,109,109,True,True,True,normal,ok,42,14,14,1,1,23,23,False,False,False,True,True,True,True,True,0,True,True,0,0,True,2.1591391453545796e-16,210,41,0,True,True,42,0,True,43,3,True
BBOB_F55,10,2,100,309,309,309,109,109,True,True,True,normal,ok,40,3,3,1,1,22,22,False,False,False,True,True,True,True,True,0,True,True,0,0,True,3.584265981286816e-16,200,39,0,True,True,40,0,True,41,2,True
DTLZ1,7,3,91,216,216,216,76,76,True,True,True,normal,ok,28,2,2,1,1,16,16,False,False,False,True,True,True,True,True,14,True,True,0,0,True,2.8571606053200504e-16,140,27,2,True,True,28,0,True,29,1,True
DTLZ2,12,3,91,371,371,371,131,131,True,True,True,normal,ok,48,1,1,1,0,25,25,False,False,False,True,True,True,True,True,34,True,True,0,0,True,4.3101251314040164e-16,240,47,0,True,True,48,0,True,48,0,True
DTLZ3,12,3,91,371,371,371,131,131,True,True,True,normal,ok,48,1,1,1,0,25,25,False,False,False,True,True,True,True,True,48,True,True,0,0,True,3.9725740508828457e-16,240,47,0,True,True,48,0,True,48,0,True
DTLZ4,12,3,91,371,371,371,131,131,True,True,True,normal,ok,48,2,2,1,1,26,26,False,False,False,True,True,True,True,True,0,True,True,0,0,True,3.610584738740471e-16,240,47,0,True,True,48,0,True,49,1,True
DTLZ7,22,3,91,681,681,681,241,241,True,True,True,normal,ok,98,55,55,1,1,51,51,False,False,False,True,True,True,True,True,0,True,True,0,0,True,3.2587834934417036e-16,490,97,19,True,True,98,0,True,99,3,True
MMF1,2,2,100,61,61,61,21,21,True,True,True,normal,ok,8,2,2,1,1,6,6,False,False,False,True,True,True,True,True,0,True,True,0,0,True,2.1259805097668188e-16,40,7,0,True,True,8,0,True,9,1,True
MMF11_L,2,2,100,61,61,61,21,21,True,True,True,normal,ok,8,1,1,1,0,5,5,False,False,False,True,True,True,True,True,0,True,True,0,0,True,2.1897964366524698e-16,40,7,0,True,True,8,0,True,8,0,True
MMF16_20,20,3,91,619,619,619,219,219,True,True,True,normal,ok,80,1,1,1,0,41,41,False,False,False,True,True,True,True,True,80,True,True,0,0,True,3.66347919922479e-16,400,79,0,True,True,80,0,True,80,0,True
MMF4,2,2,100,61,61,61,21,21,True,True,True,normal,ok,8,2,2,1,1,6,6,False,False,False,True,True,True,True,True,0,True,True,0,0,True,2.1671240307323244e-16,40,7,0,True,True,8,0,True,9,1,True
WFG1,22,2,100,681,681,681,241,241,True,True,True,normal,ok,89,10,10,1,1,46,46,False,False,False,True,True,True,True,True,0,True,True,0,0,True,3.920074056894735e-16,445,88,0,True,True,89,0,True,90,4,True
WFG2,22,2,100,681,681,681,241,241,True,True,True,normal,ok,94,34,34,1,1,49,49,False,False,False,True,True,True,True,True,0,True,True,0,0,True,3.3823621317189723e-16,470,93,5,True,True,94,0,True,95,3,True
WFG4,22,2,100,681,681,681,241,241,True,True,True,normal,ok,92,23,23,1,1,48,48,False,False,False,True,True,True,True,True,40,True,True,0,0,True,3.551768911741922e-16,460,91,2,True,True,92,0,True,93,2,True
WFG5,22,2,100,681,681,681,241,241,True,True,True,normal,ok,88,4,4,1,1,46,46,False,False,False,True,True,True,True,True,58,True,True,0,0,True,3.8332693581270306e-16,440,87,3,True,True,88,0,True,89,3,True
WFG9,22,2,100,681,681,681,241,241,True,True,True,normal,ok,90,11,11,1,0,46,46,False,False,False,True,True,True,True,True,66,True,True,0,0,True,3.909152769065763e-16,450,89,0,True,True,90,0,True,90,0,True
ZDT1,30,2,100,929,929,929,329,329,True,True,True,normal,ok,120,2,2,1,1,62,62,False,False,False,True,True,True,True,True,1,True,True,0,0,True,2.2172971415359052e-16,600,119,0,True,True,120,0,True,121,1,True
ZDT3,30,2,100,929,929,929,329,329,True,True,True,normal,ok,131,57,57,1,1,67,67,False,False,False,True,True,True,True,True,0,True,True,0,0,True,2.2146973962260113e-16,655,130,0,True,True,131,0,True,132,1,True
ZDT4,10,2,100,309,309,309,109,109,True,True,True,normal,ok,43,17,17,1,1,23,23,False,False,False,True,True,True,True,True,0,True,True,0,0,True,2.21822452337251e-16,215,42,11,True,True,43,0,True,44,1,True
ZDT6,10,2,100,309,309,309,109,109,True,True,True,normal,ok,40,1,1,1,0,21,21,False,False,False,True,True,True,True,True,2,True,True,0,0,True,2.545415942190716e-16,200,39,0,True,True,40,0,True,40,0,True
