ts,rec,geracao,fe,arquivo,p0,p1,rr,tr,ramo,motivo,lote,L_sel,n_treino,guard_randperm,tempo_fit_s,n_refs,n_front1,fe_treino_max,n_acumulado,tempo_busca_s,tempo_geracao_s,tempo_pred_sonda_s,dist_min_arquivo,y_n,y_c1,y_c0,y_prev,n_treino_fit,rr_calc_ytreino
2026-07-30T21:45:43Z,b4_gen,1,22,22,0.493752599,0.567216098,0.3333333333333333,0.16666666666666666,4,"inconclusivo (p0=0.494, p1=0.567, a=0.167, b=0.833) -> 1 aleatorio",1,0.183387354,21,False,4.562240208333334,6,7,18,17,0.337315625,6.579721416666667,0.41344695833333334,0.05617926837204957,21,7,14,0.3333333333333333,17,0.3333333333333333
2026-07-30T21:45:46Z,b4_gen,2,23,23,0.52885747,0.462570816,0.3181818181818182,0.1590909090909091,4,"inconclusivo (p0=0.529, p1=0.463, a=0.159, b=0.841) -> 1 aleatorio",1,0.444614232,22,False,1.3588234166666666,6,7,21,18,0.28205454166666666,2.4941631666666666,0.3934949583333333,0.00130149301831195,22,7,15,0.3181818181818182,18,0.3181818181818182
2026-07-30T21:45:47Z,b4_gen,3,24,24,0.441115379,0.491954297,0.30434782608695654,0.15217391304347827,4,"inconclusivo (p0=0.441, p1=0.492, a=0.152, b=0.848) -> 1 aleatorio",1,0.442525923,23,False,1.0556245833333333,6,7,22,18,0.13797945833333333,1.4800025,0.0,0.1180154426330173,23,7,16,0.30434782608695654,18,0.30434782608695654
2026-07-30T21:45:49Z,b4_gen,4,25,25,0.70072031,0.346568048,0.2916666666666667,0.14583333333333334,4,"inconclusivo (p0=0.701, p1=0.347, a=0.146, b=0.854) -> 1 aleatorio",1,0.408721358,24,False,0.802329,6,8,21,19,0.11777508333333334,1.3903010833333334,0.23410429166666666,0.0754303533366863,24,7,17,0.2916666666666667,19,0.2916666666666667
2026-07-30T21:45:50Z,b4_gen,5,26,26,0.535318315,0.569035292,0.32,0.16,4,"inconclusivo (p0=0.535, p1=0.569, a=0.160, b=0.840) -> 1 aleatorio",1,0.526206791,25,False,0.6438137916666666,6,8,22,19,0.17859854166666667,0.9883414583333333,0.0,0.0072593130993294785,25,8,17,0.32,19,0.32
2026-07-30T21:45:52Z,b4_gen,6,26,26,0.365004808,0.559761465,0.3076923076923077,0.15384615384615385,1,"p0=0.365<0.4 OU (p1=0.560<a=0.154 E p0<b=0.846) -> confiavel: maximiza L, gate L>0.9",0,,26,False,0.6513514583333333,6,8,25,20,1.3799139583333333,2.3264880833333335,0.13158354166666666,,26,8,18,0.3076923076923077,20,0.3076923076923077
2026-07-30T21:45:53Z,b4_gen,7,27,27,0.604370058,0.206615075,0.3076923076923077,0.15384615384615385,4,"inconclusivo (p0=0.604, p1=0.207, a=0.154, b=0.846) -> 1 aleatorio",1,0.36876747,26,False,0.9094404583333333,6,9,25,20,0.07883208333333333,1.114583375,0.0,0.08558479549456519,26,8,18,0.3076923076923077,20,0.3076923076923077
2026-07-30T21:45:55Z,b4_gen,8,28,28,0.42284447,0.57321471,0.3333333333333333,0.16666666666666666,4,"inconclusivo (p0=0.423, p1=0.573, a=0.167, b=0.833) -> 1 aleatorio",1,0.470793962,27,False,0.7885200833333333,6,9,25,21,0.10375870833333334,1.2205553333333334,0.141420125,0.1776998507647127,27,9,18,0.3333333333333333,21,0.3333333333333333
2026-07-30T21:45:55Z,b4_gen,9,29,29,0.753446937,0.335313082,0.32142857142857145,0.16071428571428573,4,"inconclusivo (p0=0.753, p1=0.335, a=0.161, b=0.839) -> 1 aleatorio",1,0.262697399,28,False,0.771914,6,9,27,22,0.072794125,0.9293672916666667,0.0,0.1239352693364957,28,9,19,0.32142857142857145,22,0.32142857142857145
2026-07-30T21:45:57Z,b4_gen,10,30,30,0.481011927,0.591383755,0.3448275862068966,0.1724137931034483,4,"inconclusivo (p0=0.481, p1=0.591, a=0.172, b=0.828) -> 1 aleatorio",1,0.663055122,29,False,0.5921695,6,9,28,23,0.10877158333333334,1.1068657916666667,0.20036733333333334,0.03486344463511759,29,10,19,0.3448275862068966,23,0.3448275862068966
2026-07-30T21:45:57Z,b4_gen,11,31,31,0.598487556,0.387318552,0.36666666666666664,0.18333333333333332,4,"inconclusivo (p0=0.598, p1=0.387, a=0.183, b=0.817) -> 1 aleatorio",1,0.507154226,30,False,0.6533049583333334,6,9,29,24,0.050399791666666666,0.7833585,0.0,0.022151017801728748,30,11,19,0.36666666666666664,24,0.36666666666666664
2026-07-30T21:45:58Z,b4_gen,12,32,32,0.667314768,0.412079334,0.3548387096774194,0.1774193548387097,4,"inconclusivo (p0=0.667, p1=0.412, a=0.177, b=0.823) -> 1 aleatorio",1,0.0667882487,31,False,0.5553367916666667,6,9,30,24,0.06542029166666667,0.8116490416666666,0.10386925,0.001125930564823463,31,11,20,0.3548387096774194,24,0.3548387096774194
2026-07-30T21:45:59Z,b4_gen,13,33,33,0.583316743,0.580194652,0.34375,0.171875,4,"inconclusivo (p0=0.583, p1=0.580, a=0.172, b=0.828) -> 1 aleatorio",1,0.50260216,32,False,0.4681788333333333,6,9,31,25,0.039354625,0.5773505833333333,0.0,0.09081860504153942,32,11,21,0.34375,25,0.34375
2026-07-30T21:45:59Z,b4_gen,14,34,34,0.659441531,0.369975179,0.3333333333333333,0.16666666666666666,4,"inconclusivo (p0=0.659, p1=0.370, a=0.167, b=0.833) -> 1 aleatorio",1,0.642315447,33,False,0.3917552083333333,6,9,32,26,0.08023195833333334,0.65865075,0.11339516666666667,0.06018056574645503,33,11,22,0.3333333333333333,26,0.3333333333333333
2026-07-30T21:46:00Z,b4_gen,15,35,35,0.493826479,0.445601225,0.35294117647058826,0.17647058823529413,4,"inconclusivo (p0=0.494, p1=0.446, a=0.176, b=0.824) -> 1 aleatorio",1,0.413576305,34,False,0.300906875,6,10,33,26,0.043624333333333334,0.39305983333333333,0.0,0.2172952676299119,34,12,22,0.35294117647058826,26,0.35294117647058826
2026-07-30T21:46:00Z,b4_gen,16,36,36,0.517329216,0.428275406,0.37142857142857144,0.18571428571428572,4,"inconclusivo (p0=0.517, p1=0.428, a=0.186, b=0.814) -> 1 aleatorio",1,0.236315563,35,False,0.3119423333333333,6,10,34,27,0.048991041666666665,0.5398835416666666,0.07110808333333334,0.06172707019153883,35,13,22,0.37142857142857144,27,0.37142857142857144
2026-07-30T21:46:01Z,b4_gen,17,37,37,0.561671615,0.465254247,0.3611111111111111,0.18055555555555555,4,"inconclusivo (p0=0.562, p1=0.465, a=0.181, b=0.819) -> 1 aleatorio",1,0.457119942,36,False,0.3966680416666667,6,10,35,28,0.030425583333333332,0.47218316666666665,0.0,0.0510083913762836,36,13,23,0.3611111111111111,28,0.3611111111111111
2026-07-30T21:46:01Z,b4_gen,18,38,38,0.596432149,0.272022754,0.35135135135135137,0.17567567567567569,4,"inconclusivo (p0=0.596, p1=0.272, a=0.176, b=0.824) -> 1 aleatorio",1,0.486713827,37,False,0.33135745833333335,6,10,36,28,0.026156541666666668,0.47139016666666667,0.05255854166666667,0.05233449707371944,37,13,24,0.35135135135135137,28,0.35135135135135137
2026-07-30T21:46:02Z,b4_gen,19,39,39,0.511677206,0.529506,0.34210526315789475,0.17105263157894737,4,"inconclusivo (p0=0.512, p1=0.530, a=0.171, b=0.829) -> 1 aleatorio",1,0.496784866,38,False,0.2751934583333333,6,11,37,29,0.031023708333333334,0.341279,0.0,0.08566562509087504,38,13,25,0.34210526315789475,29,0.34210526315789475
2026-07-30T21:46:03Z,b4_gen,20,40,40,0.585294902,0.439638942,0.358974358974359,0.1794871794871795,4,"inconclusivo (p0=0.585, p1=0.440, a=0.179, b=0.821) -> 1 aleatorio",1,0.477690041,39,False,0.278151875,6,12,38,30,0.12143945833333333,0.8506249166666666,0.2875167083333333,0.19662539416959926,39,14,25,0.358974358974359,30,0.358974358974359
2026-07-30T21:46:03Z,b4_gen,21,40,41,0.520375133,0.387991339,0.375,0.1875,4,"inconclusivo (p0=0.520, p1=0.388, a=0.188, b=0.812) -> 1 aleatorio",1,0.215245575,40,False,0.3151247916666667,6,12,39,31,0.06574433333333334,0.4893441666666667,0.0,0.0,40,15,25,0.375,31,0.375
2026-07-30T21:46:04Z,b4_gen,22,41,42,0.505443394,0.374556899,0.36585365853658536,0.18292682926829268,4,"inconclusivo (p0=0.505, p1=0.375, a=0.183, b=0.817) -> 1 aleatorio",1,0.630228341,41,False,0.347417375,6,12,39,32,0.03311370833333333,0.538562875,0.0718245,0.05362945572942901,41,15,26,0.36585365853658536,32,0.36585365853658536
2026-07-30T21:46:04Z,b4_gen,23,42,43,0.590234,0.522443652,0.35714285714285715,0.17857142857142858,4,"inconclusivo (p0=0.590, p1=0.522, a=0.179, b=0.821) -> 1 aleatorio",1,0.597220898,42,False,0.432152875,6,11,40,33,0.024864583333333332,0.49296425,0.0,0.17844225112769613,42,15,27,0.35714285714285715,33,0.35714285714285715
2026-07-30T21:46:05Z,b4_gen,24,43,44,0.710429192,0.277975976,0.3488372093023256,0.1744186046511628,4,"inconclusivo (p0=0.710, p1=0.278, a=0.174, b=0.826) -> 1 aleatorio",1,0.305783421,43,False,0.3943829166666667,6,11,41,33,0.020588541666666668,0.5200742916666666,0.04859541666666667,0.022829458053093016,43,15,28,0.3488372093023256,33,0.3488372093023256
2026-07-30T21:46:06Z,b4_gen,25,43,44,0.331554294,0.465197414,0.36363636363636365,0.18181818181818182,1,"p0=0.332<0.4 OU (p1=0.465<a=0.182 E p0<b=0.818) -> confiavel: maximiza L, gate L>0.9",0,,44,False,0.48611145833333336,6,11,41,33,0.382842875,0.9143657083333333,0.0,,44,16,28,0.36363636363636365,33,0.36363636363636365
2026-07-30T21:46:06Z,b4_gen,26,44,45,0.244463652,0.440671653,0.36363636363636365,0.18181818181818182,1,"p0=0.244<0.4 OU (p1=0.441<a=0.182 E p0<b=0.818) -> confiavel: maximiza L, gate L>0.9",1,0.912141919,44,False,0.3732973333333333,6,11,41,33,0.30402779166666666,0.7843007916666667,0.049050416666666666,0.03670432741872486,44,16,28,0.36363636363636365,33,0.36363636363636365
2026-07-30T21:46:07Z,b4_gen,27,45,46,0.610700607,0.425921,0.37777777777777777,0.18888888888888888,4,"inconclusivo (p0=0.611, p1=0.426, a=0.189, b=0.811) -> 1 aleatorio",1,0.279303193,45,False,0.33846108333333336,6,11,43,34,0.014880708333333333,0.39883029166666667,0.0,0.028082723470342463,45,17,28,0.37777777777777777,34,0.37777777777777777
2026-07-30T21:46:07Z,b4_gen,28,45,46,0.305391222,0.374033719,0.3695652173913043,0.18478260869565216,1,"p0=0.305<0.4 OU (p1=0.374<a=0.185 E p0<b=0.815) -> confiavel: maximiza L, gate L>0.9",0,,46,False,0.2557749166666667,6,11,44,35,0.33071116666666667,0.6721425,0.040509583333333335,,46,17,29,0.3695652173913043,35,0.3695652173913043
2026-07-30T21:46:08Z,b4_gen,29,46,47,0.491437167,0.510239482,0.3695652173913043,0.18478260869565216,4,"inconclusivo (p0=0.491, p1=0.510, a=0.185, b=0.815) -> 1 aleatorio",1,0.686959684,46,False,0.4193830416666667,6,11,43,35,0.015685291666666667,0.47299691666666666,0.0,0.09803821428694537,46,17,29,0.3695652173913043,35,0.3695652173913043
