geracao,prev,acc,auc,leitura
1,0.2875,0.55,0.4867307398932113,A_DI18 (∀j ∃k: f_k<=R_jk)
2,0.2875,0.572,0.5168543096872616,A_DI18 (∀j ∃k: f_k<=R_jk)
4,0.2875,0.613,0.5275057208237987,A_DI18 (∀j ∃k: f_k<=R_jk)
6,0.311,0.3975,0.5008411930240481,A_DI18 (∀j ∃k: f_k<=R_jk)
8,0.311,0.397,0.4634740221860285,A_DI18 (∀j ∃k: f_k<=R_jk)
10,0.311,0.3555,0.4427924574970016,A_DI18 (∀j ∃k: f_k<=R_jk)
12,0.311,0.5675,0.5212205815782228,A_DI18 (∀j ∃k: f_k<=R_jk)
14,0.311,0.6225,0.559765539320232,A_DI18 (∀j ∃k: f_k<=R_jk)
16,0.311,0.592,0.5118607049687557,A_DI18 (∀j ∃k: f_k<=R_jk)
18,0.311,0.5285,0.5002275071285567,A_DI18 (∀j ∃k: f_k<=R_jk)
20,0.311,0.689,0.5690169125299259,A_DI18 (∀j ∃k: f_k<=R_jk)
22,0.311,0.498,0.4339010122317166,A_DI18 (∀j ∃k: f_k<=R_jk)
24,0.308,0.6935,0.5777097721642519,A_DI18 (∀j ∃k: f_k<=R_jk)
26,0.308,0.5845,0.5524008145034156,A_DI18 (∀j ∃k: f_k<=R_jk)
28,0.308,0.568,0.5221231983334584,A_DI18 (∀j ∃k: f_k<=R_jk)
30,0.308,0.692,0.4570837399594625,A_DI18 (∀j ∃k: f_k<=R_jk)
32,0.308,0.629,0.49990968208092484,A_DI18 (∀j ∃k: f_k<=R_jk)
34,0.2565,0.605,0.5273284646271585,A_DI18 (∀j ∃k: f_k<=R_jk)
36,0.2595,0.7175,0.48610596131604045,A_DI18 (∀j ∃k: f_k<=R_jk)
38,0.224,0.419,0.5147275405007363,A_DI18 (∀j ∃k: f_k<=R_jk)
40,0.2205,0.672,0.5085103102605164,A_DI18 (∀j ∃k: f_k<=R_jk)
42,0.2205,0.7795,0.4758588489918097,A_DI18 (∀j ∃k: f_k<=R_jk)
44,0.2205,0.433,0.5162184608716268,A_DI18 (∀j ∃k: f_k<=R_jk)
45,0.2205,0.6085,0.5068099936147219,A_DI18 (∀j ∃k: f_k<=R_jk)
1,0.112,0.6015,0.47577069256756754,B_domina>=1ref (paper Alg.4)
2,0.112,0.6035,0.5354666887870013,B_domina>=1ref (paper Alg.4)
4,0.112,0.7055,0.5424936655405406,B_domina>=1ref (paper Alg.4)
6,0.1225,0.289,0.4968079539508111,B_domina>=1ref (paper Alg.4)
8,0.1225,0.3165,0.4137007965579394,B_domina>=1ref (paper Alg.4)
10,0.1225,0.245,0.2747148090005233,B_domina>=1ref (paper Alg.4)
12,0.1225,0.63,0.5107878365021222,B_domina>=1ref (paper Alg.4)
14,0.1225,0.671,0.5890086632943776,B_domina>=1ref (paper Alg.4)
16,0.1225,0.7045,0.4836095121809407,B_domina>=1ref (paper Alg.4)
18,0.1225,0.53,0.41572068143496715,B_domina>=1ref (paper Alg.4)
20,0.1225,0.8775,0.6444804930519217,B_domina>=1ref (paper Alg.4)
22,0.1225,0.5625,0.4300505843362986,B_domina>=1ref (paper Alg.4)
24,0.121,0.8765,0.830745400013163,B_domina>=1ref (paper Alg.4)
26,0.121,0.6125,0.5884598388476763,B_domina>=1ref (paper Alg.4)
28,0.121,0.587,0.5588431632489963,B_domina>=1ref (paper Alg.4)
30,0.121,0.879,0.4718829624197294,B_domina>=1ref (paper Alg.4)
32,0.121,0.755,0.49371115749489936,B_domina>=1ref (paper Alg.4)
34,0.109,0.6605,0.5735798350477249,B_domina>=1ref (paper Alg.4)
36,0.098,0.846,0.504310149780533,B_domina>=1ref (paper Alg.4)
38,0.027,0.38,0.5660424041719005,B_domina>=1ref (paper Alg.4)
40,0.0215,0.791,0.6220544022055591,B_domina>=1ref (paper Alg.4)
