geracao,ref_ids
1,"[2, 6, 10, 12, 15, 17]"
2,"[2, 6, 10, 12, 15, 17]"
3,"[2, 6, 10, 12, 15, 17]"
4,"[2, 6, 10, 12, 15, 17]"
5,"[2, 6, 10, 15, 17, 24]"
6,"[2, 6, 10, 15, 17, 24]"
7,"[2, 6, 10, 15, 17, 24]"
8,"[2, 6, 10, 15, 17, 24]"
9,"[2, 6, 10, 15, 17, 24]"
10,"[2, 6, 10, 15, 17, 24]"
11,"[2, 6, 10, 15, 17, 24]"
12,"[2, 6, 10, 15, 17, 24]"
13,"[2, 6, 10, 15, 17, 24]"
14,"[2, 6, 10, 15, 17, 24]"
15,"[2, 6, 10, 15, 17, 24]"
16,"[2, 6, 10, 15, 17, 24]"
17,"[2, 6, 10, 15, 17, 24]"
18,"[2, 6, 10, 15, 17, 24]"
19,"[2, 6, 10, 15, 17, 24]"
20,"[2, 6, 10, 15, 17, 24]"
21,"[2, 6, 10, 15, 17, 24]"
22,"[2, 6, 10, 15, 17, 24]"
23,"[2, 6, 10, 15, 17, 24]"
24,"[2, 6, 15, 17, 24, 41]"
25,"[2, 6, 15, 17, 24, 41]"
26,"[2, 6, 15, 17, 24, 41]"
27,"[2, 6, 15, 17, 24, 41]"
28,"[2, 6, 15, 17, 24, 41]"
29,"[2, 6, 15, 17, 24, 41]"
30,"[2, 6, 15, 17, 24, 41]"
31,"[2, 6, 15, 17, 24, 41]"
32,"[2, 6, 15, 17, 24, 41]"
33,"[6, 15, 17, 34, 39, 48]"
34,"[6, 15, 17, 34, 39, 48]"
35,"[6, 15, 17, 34, 48, 50]"
36,"[12, 15, 17, 34, 48, 50]"
37,"[12, 17, 34, 48, 50, 52]"
38,"[12, 17, 34, 48, 50, 52]"
39,"[12, 17, 34, 48, 52, 54]"
40,"[12, 17, 34, 48, 52, 54]"
41,"[12, 17, 34, 48, 52, 54]"
42,"[12, 17, 34, 48, 52, 54]"
43,"[12, 17, 34, 48, 52, 54]"
44,"[12, 17, 34, 48, 52, 54]"
45,"[12, 17, 34, 48, 52, 54]"
