geracao,interp,n1_hi,n1_lo,n1_log,n_arq,n_log,dom_alguma,nao_dom,exato,sanduiche,decidida
1,posicional②,7,1,7,21,21,0,7,True,True,False
1,solution_id,7,1,7,21,21,0,7,True,True,False
2,posicional②,7,1,7,22,22,0,7,True,True,False
2,solution_id,7,1,7,22,22,0,7,True,True,False
3,posicional②,7,1,7,23,23,0,7,True,True,False
3,solution_id,7,1,7,23,23,0,7,True,True,False
4,posicional②,7,1,7,24,24,0,7,True,True,False
4,solution_id,7,1,7,24,24,0,7,True,True,False
5,posicional②,8,2,8,25,25,0,8,True,True,False
5,solution_id,8,2,8,25,25,0,8,True,True,False
6,posicional②,8,2,8,26,26,0,8,True,True,False
6,solution_id,8,2,8,26,26,0,8,True,True,False
7,posicional②,8,2,8,26,26,0,8,True,True,False
7,solution_id,8,2,8,26,26,0,8,True,True,False
8,posicional②,9,3,9,27,27,0,9,True,True,False
8,solution_id,9,3,9,27,27,0,9,True,True,False
9,posicional②,9,3,9,28,28,0,9,True,True,False
9,solution_id,9,3,9,28,28,0,9,True,True,False
10,posicional②,10,3,10,29,29,0,9,True,True,False
10,solution_id,10,3,10,29,29,0,9,True,True,False
11,posicional②,11,4,11,30,30,0,10,True,True,False
11,solution_id,11,4,11,30,30,0,10,True,True,False
12,posicional②,11,4,11,31,31,0,10,True,True,False
12,solution_id,11,4,11,31,31,0,10,True,True,False
13,posicional②,11,4,11,32,32,0,10,True,True,False
13,solution_id,11,4,11,32,32,0,10,True,True,False
14,posicional②,11,4,11,33,33,0,10,True,True,False
14,solution_id,11,4,11,33,33,0,10,True,True,False
15,posicional②,12,5,12,34,34,0,11,True,True,False
15,solution_id,12,5,12,34,34,0,11,True,True,False
16,posicional②,13,6,13,35,35,0,12,True,True,False
16,solution_id,13,6,13,35,35,0,12,True,True,False
17,posicional②,13,6,13,36,36,0,12,True,True,False
17,solution_id,13,6,13,36,36,0,12,True,True,False
18,posicional②,13,6,13,37,37,0,12,True,True,False
18,solution_id,13,6,13,37,37,0,12,True,True,False
19,posicional②,13,6,13,38,38,0,12,True,True,False
19,solution_id,13,6,13,38,38,0,12,True,True,False
20,posicional②,14,7,14,39,39,0,13,True,True,False
20,solution_id,14,7,14,39,39,0,13,True,True,False
21,posicional②,15,8,15,40,40,0,14,True,True,False
21,solution_id,15,8,15,40,40,0,14,True,True,False
22,posicional②,15,8,15,41,41,0,14,True,True,False
22,solution_id,15,8,15,41,41,0,14,True,True,False
23,posicional②,16,8,15,42,42,0,14,False,True,False
23,solution_id,16,8,15,42,42,0,14,False,True,False
24,posicional②,17,10,15,43,43,1,15,False,True,False
24,solution_id,16,7,15,43,43,0,13,False,True,False
25,posicional②,18,11,16,44,44,1,16,False,True,False
25,solution_id,17,8,16,44,44,0,14,False,True,False
26,posicional②,18,11,16,44,44,1,16,False,True,False
26,solution_id,17,8,16,44,44,0,14,False,True,False
27,posicional②,19,12,17,45,45,1,17,False,True,False
27,solution_id,18,9,17,45,45,0,15,False,True,False
28,posicional②,19,12,17,46,46,1,17,False,True,False
28,solution_id,18,9,17,46,46,0,15,False,True,False
29,posicional②,19,12,17,46,46,1,17,False,True,False
29,solution_id,18,9,17,46,46,0,15,False,True,False
30,posicional②,19,12,17,47,47,1,17,False,True,False
30,solution_id,18,9,17,47,47,0,15,False,True,False
31,posicional②,20,13,18,48,48,1,18,False,True,False
31,solution_id,19,10,18,48,48,0,16,False,True,False
32,posicional②,20,13,18,49,49,1,18,False,True,False
32,solution_id,19,10,18,49,49,0,16,False,True,False
33,posicional②,21,15,14,50,50,7,20,False,False,False
33,solution_id,15,8,14,50,50,0,14,False,True,False
34,posicional②,21,15,14,51,51,7,20,False,False,False
34,solution_id,15,8,14,51,51,0,14,False,True,False
35,posicional②,22,17,13,52,52,29,21,False,False,False
35,solution_id,15,7,13,52,52,0,13,False,True,False
36,posicional②,23,18,16,53,53,29,22,False,False,False
36,solution_id,17,9,16,53,53,0,15,False,True,False
37,posicional②,24,20,16,54,54,30,23,False,False,False
37,solution_id,17,9,16,54,54,0,15,False,True,False
38,posicional②,24,20,16,55,55,31,23,False,False,False
38,solution_id,17,9,16,55,55,0,15,False,True,False
39,posicional②,25,21,16,56,56,12,24,False,False,False
39,solution_id,16,9,16,56,56,0,15,True,True,False
40,posicional②,25,21,16,56,56,12,24,False,False,False
40,solution_id,16,9,16,56,56,0,15,True,True,False
41,posicional②,25,21,16,57,57,12,24,False,False,False
41,solution_id,16,9,16,57,57,0,15,True,True,False
42,posicional②,25,21,16,58,58,12,24,False,False,False
42,solution_id,16,9,16,58,58,0,15,True,True,False
43,posicional②,25,21,16,59,59,13,24,False,False,False
43,solution_id,16,9,16,59,59,0,15,True,True,False
44,posicional②,26,22,17,60,60,14,25,False,False,False
44,solution_id,17,10,17,60,60,0,16,True,True,False
45,posicional②,27,23,18,61,61,14,26,False,False,False
45,solution_id,18,11,18,61,61,0,17,True,True,False
