geracao,interp,n1_hi,n1_lo,n1_log,n,sanduiche,decidida,exato
1,posicional②,7,7,7,21,True,True,True
1,solution_id,7,7,7,21,True,True,True
2,posicional②,7,7,7,22,True,True,True
2,solution_id,7,7,7,22,True,True,True
3,posicional②,7,7,7,23,True,True,True
3,solution_id,7,7,7,23,True,True,True
4,posicional②,7,7,7,24,True,True,True
4,solution_id,7,7,7,24,True,True,True
5,posicional②,8,8,8,25,True,True,True
5,solution_id,8,8,8,25,True,True,True
6,posicional②,8,8,8,26,True,True,True
6,solution_id,8,8,8,26,True,True,True
7,posicional②,8,8,8,26,True,True,True
7,solution_id,8,8,8,26,True,True,True
8,posicional②,9,9,9,27,True,True,True
8,solution_id,9,9,9,27,True,True,True
9,posicional②,9,9,9,28,True,True,True
9,solution_id,9,9,9,28,True,True,True
10,posicional②,10,9,10,29,True,False,True
10,solution_id,10,9,10,29,True,False,True
11,posicional②,11,10,11,30,True,False,True
11,solution_id,11,10,11,30,True,False,True
12,posicional②,11,10,11,31,True,False,True
12,solution_id,11,10,11,31,True,False,True
13,posicional②,11,10,11,32,True,False,True
13,solution_id,11,10,11,32,True,False,True
14,posicional②,11,10,11,33,True,False,True
14,solution_id,11,10,11,33,True,False,True
15,posicional②,12,11,12,34,True,False,True
15,solution_id,12,11,12,34,True,False,True
16,posicional②,13,12,13,35,True,False,True
16,solution_id,13,12,13,35,True,False,True
17,posicional②,13,12,13,36,True,False,True
17,solution_id,13,12,13,36,True,False,True
18,posicional②,13,12,13,37,True,False,True
18,solution_id,13,12,13,37,True,False,True
19,posicional②,13,12,13,38,True,False,True
19,solution_id,13,12,13,38,True,False,True
20,posicional②,14,13,14,39,True,False,True
20,solution_id,14,13,14,39,True,False,True
21,posicional②,15,14,15,40,True,False,True
21,solution_id,15,14,15,40,True,False,True
22,posicional②,15,14,15,41,True,False,True
22,solution_id,15,14,15,41,True,False,True
23,posicional②,16,14,15,42,True,False,False
23,solution_id,16,14,15,42,True,False,False
24,posicional②,17,15,15,43,True,False,False
24,solution_id,16,13,15,43,True,False,False
25,posicional②,18,16,16,44,True,False,False
25,solution_id,17,14,16,44,True,False,False
26,posicional②,18,16,16,44,True,False,False
26,solution_id,17,14,16,44,True,False,False
27,posicional②,19,17,17,45,True,False,False
27,solution_id,18,15,17,45,True,False,False
28,posicional②,19,17,17,46,True,False,False
28,solution_id,18,15,17,46,True,False,False
29,posicional②,19,17,17,46,True,False,False
29,solution_id,18,15,17,46,True,False,False
30,posicional②,19,17,17,47,True,False,False
30,solution_id,18,15,17,47,True,False,False
31,posicional②,20,18,18,48,True,False,False
31,solution_id,19,16,18,48,True,False,False
32,posicional②,20,18,18,49,True,False,False
32,solution_id,19,16,18,49,True,False,False
33,posicional②,21,20,14,50,False,False,False
33,solution_id,15,14,14,50,True,False,False
34,posicional②,21,20,14,51,False,False,False
34,solution_id,15,14,14,51,True,False,False
35,posicional②,22,21,13,52,False,False,False
35,solution_id,15,13,13,52,True,False,False
36,posicional②,23,22,16,53,False,False,False
36,solution_id,17,15,16,53,True,False,False
37,posicional②,24,23,16,54,False,False,False
37,solution_id,17,15,16,54,True,False,False
38,posicional②,24,23,16,55,False,False,False
38,solution_id,17,15,16,55,True,False,False
39,posicional②,25,24,16,56,False,False,False
39,solution_id,16,15,16,56,True,False,True
40,posicional②,25,24,16,56,False,False,False
40,solution_id,16,15,16,56,True,False,True
41,posicional②,25,24,16,57,False,False,False
41,solution_id,16,15,16,57,True,False,True
42,posicional②,25,24,16,58,False,False,False
42,solution_id,16,15,16,58,True,False,True
43,posicional②,25,24,16,59,False,False,False
43,solution_id,16,15,16,59,True,False,True
44,posicional②,26,25,17,60,False,False,False
44,solution_id,17,16,17,60,True,False,True
45,posicional②,27,26,18,61,False,False,False
45,solution_id,18,17,18,61,True,False,True
