corpus,problema,n_gen,n_sonda,n_sonda_estrat,manif_campanha_id,manif_repo_hash,manif_schema_version,sigma_REGRA_DO_ROTULO,sigma_p0_p1,sigma_pred_confianca,sigma_cobertura_3,gen_y_treino_dist,gen_n_front1,gen_f_best,gen_dist_min_arquivo,gen_guard_randperm,gen_ref_ids,gen_n_refs,gen_modelo_hp,ref_ids_sentinela,ref_ids_reais,ref_ids_len6
s42,BBOB_F1,200,101,0,False,True,True,False,False,True,True,0,200,200,200,200,200,200,200,0,200,200
s42,BBOB_F17,200,101,0,False,True,True,False,False,True,True,0,200,200,200,200,200,200,200,0,200,200
s42,BBOB_F22,204,103,0,False,True,True,False,False,True,True,0,204,204,204,204,204,204,204,0,204,204
s42,BBOB_F37,201,102,0,False,True,True,False,False,True,True,0,201,201,201,201,201,201,201,0,201,201
s42,BBOB_F49,200,101,0,False,True,True,False,False,True,True,0,200,200,200,200,200,200,200,0,200,200
s42,BBOB_F5,200,101,0,False,True,True,False,False,True,True,0,200,200,200,200,200,200,200,0,200,200
s42,BBOB_F55,200,101,0,False,True,True,False,False,True,True,0,200,200,200,200,200,200,200,0,200,200
s42,DTLZ1,140,71,0,False,True,True,False,False,True,True,0,140,140,140,140,140,140,140,0,140,140
s42,DTLZ2,270,136,0,False,True,True,False,False,True,True,0,270,270,270,270,270,270,270,0,270,270
s42,DTLZ3,243,123,0,False,True,True,False,False,True,True,0,243,243,243,243,243,243,243,0,243,243
s42,DTLZ4,338,171,0,False,True,True,False,False,True,True,0,338,338,338,338,338,338,338,0,338,338
s42,DTLZ7,423,213,0,False,True,True,False,False,True,True,0,423,423,423,423,423,423,423,0,423,423
s42,MMF1,45,24,0,False,True,True,False,False,True,True,0,45,45,45,45,45,45,45,0,45,45
s42,MMF11_L,42,22,0,False,True,True,False,False,True,True,0,42,42,42,42,42,42,42,0,42,42
s42,MMF16_20,90,47,0,False,True,True,False,False,True,True,0,90,90,90,90,90,90,90,0,90,90
s42,MMF4,50,26,0,False,True,True,False,False,True,True,0,50,50,50,50,50,50,50,0,50,50
s42,WFG1,185,94,0,False,True,True,False,False,True,True,0,185,185,185,185,185,185,185,0,185,185
s42,WFG2,443,223,0,False,True,True,False,False,True,True,0,443,443,443,443,443,443,443,0,443,443
s42,WFG4,274,138,0,False,True,True,False,False,True,True,0,274,274,274,274,274,274,274,0,274,274
s42,WFG5,370,186,0,False,True,True,False,False,True,True,0,370,370,370,370,370,370,370,0,370,370
s42,WFG9,442,222,0,False,True,True,False,False,True,True,0,442,442,442,442,442,442,442,0,442,442
s42,ZDT1,557,280,0,False,True,True,False,False,True,True,0,557,557,557,557,557,557,557,0,557,557
s42,ZDT3,547,275,0,False,True,True,False,False,True,True,0,547,547,547,547,547,547,547,0,547,547
s42,ZDT4,201,102,0,False,True,True,False,False,True,True,0,201,201,201,201,201,201,201,0,201,201
s42,ZDT6,203,103,0,False,True,True,False,False,True,True,0,203,203,203,203,203,203,203,0,203,203
smokeT11,MMF1,45,24,23,True,True,True,True,True,True,True,45,45,45,45,45,45,45,45,0,45,45
