geracao,n,n_arquivo_ev,n_treino,sigma_rel,prev_nd_logada,prev_nd_recomposta,prev_nd_regua,dmin_est_mediana,dmin_regua_mediana,dmin_est_p95,semente_bloco
1,500,21,21,0.05,,0.246,0.264,0.05191798865172857,0.09484557087349882,0.1126383037371733,1782604276.0
2,500,22,22,0.05,,0.272,0.264,0.05240719312054694,0.09447613789093318,0.10589767665849685,2065079525.0
4,500,24,24,0.05,,0.266,0.264,0.05395583523750129,0.09361799238036844,0.10813957235112394,482546376.0
6,500,26,26,0.05,,0.274,0.264,0.05095335544078007,0.09279324568543525,0.10926951513674034,1047496874.0
8,500,27,27,0.05,,0.294,0.2585,0.05016682350549631,0.09266413405972286,0.102677830107159,1612447372.0
10,500,29,29,0.05,,0.294,0.2585,0.051757390326787174,0.08934598149630739,0.10233044120490374,29914223.0
12,500,31,31,0.05,,0.256,0.2585,0.04793451102251914,0.08912319343321992,0.11158155827522567,594864721.0
14,500,33,33,0.05,,0.278,0.2585,0.04511713478449545,0.08877475069298635,0.10103169990997286,1159815219.0
16,500,35,35,0.05,,0.21,0.2445,0.04827941133757216,0.08643629648182276,0.0971477005422659,1724765717.0
18,500,37,37,0.05,,0.22,0.2445,0.048812992981349106,0.08590753987103222,0.09920260838866694,142232568.0
20,500,39,39,0.05,,0.26,0.2445,0.04922233390903007,0.08479981160530738,0.09890273156513596,707183066.0
22,500,40,41,0.05,,0.21,0.243,0.04528812120416066,0.0835222756398459,0.09629503088857036,1272133564.0
24,500,42,43,0.05,,0.234,0.24,0.04678354345727968,0.08254292318073207,0.09942876070472062,1837084062.0
26,500,43,44,0.05,,0.278,0.24,0.04426784669158826,0.08254292318073207,0.09590040981571941,254550913.0
28,500,45,46,0.05,,0.238,0.24,0.049140105839328,0.08245894545404345,0.10054826107516307,819501411.0
30,500,46,47,0.05,,0.238,0.24,0.05022071819697986,0.08146242324399179,0.10253829393130047,1384451909.0
32,500,48,49,0.05,,0.232,0.2145,0.04151812256956851,0.07989252401404276,0.09950770904015543,1949402407.0
34,500,50,51,0.05,,0.228,0.2115,0.043341990243583484,0.0790338056864313,0.08968642567225357,366869258.0
36,500,52,53,0.05,,0.168,0.176,0.042505278503235516,0.0775951447740972,0.09693021248135157,931819756.0
38,500,54,55,0.05,,0.176,0.1725,0.04148808091455079,0.0775951447740972,0.09541549457739977,1496770254.0
40,500,55,56,0.05,,0.144,0.1725,0.04037591686447427,0.07658269478475815,0.09260368557729191,2061720752.0
42,500,57,58,0.05,,0.166,0.1725,0.0398845673890701,0.07628349829834302,0.09784398754847819,479187603.0
44,500,59,60,0.05,,0.148,0.1725,0.04180491561438872,0.07477622347928593,0.0931296701146686,1044138101.0
