n,prevalencia,acuracia,precision,recall,f1,auc,tp,fp,fn,tn,taxa_pred_bom,regime,geracao,n_refs,ambiguos_f32,max_dX_join,L_mediano,rr_gen,prev_treino,ramo,n_arquivo
2000,0.2875,0.55,0.26551226551226553,0.32,0.2902208201892745,0.4867307398932113,184,509,391,916,0.3465,sonda,1,6,0,0.0,0.4500218629837036,0.3333333333333333,0.3333333333333333,4,21
2000,0.2875,0.572,0.2936857562408223,0.34782608695652173,0.3184713375796178,0.5168543096872616,200,481,375,944,0.3405,sonda,2,6,0,0.0,0.4719801992177963,0.3181818181818182,0.3181818181818182,4,22
2000,0.2875,0.613,0.26697892271662765,0.19826086956521738,0.2275449101796407,0.5275057208237987,114,313,461,1112,0.2135,sonda,4,6,0,0.0,0.36235253512859344,0.2916666666666667,0.2916666666666667,4,24
2000,0.311,0.3975,0.31883157240522064,0.8247588424437299,0.45988346033168986,0.5008411930240481,513,1096,109,282,0.8045,sonda,6,6,0,0.0,0.597061038017273,0.3076923076923077,0.3076923076923077,1,26
2000,0.311,0.397,0.3,0.7041800643086816,0.4207492795389049,0.4634740221860285,438,1022,184,356,0.73,sonda,8,6,0,0.0,0.5556455552577972,0.3333333333333333,0.3333333333333333,4,27
2000,0.311,0.3555,0.29324240545567265,0.7604501607717041,0.4232662192393736,0.4427924574970016,473,1140,149,238,0.8065,sonda,10,6,0,0.0,0.557077020406723,0.3448275862068966,0.3448275862068966,4,29
2000,0.311,0.5675,0.27706422018348625,0.2427652733118971,0.258783204798629,0.5212205815782228,151,394,471,984,0.2725,sonda,12,6,0,0.0,0.34485475718975067,0.3548387096774194,0.3548387096774194,4,31
2000,0.311,0.6225,0.39593114241001565,0.4067524115755627,0.40126883425852494,0.559765539320232,253,386,369,992,0.3195,sonda,14,6,0,0.0,0.3942790925502777,0.3333333333333333,0.3333333333333333,4,33
2000,0.311,0.592,0.25255102040816324,0.15916398713826366,0.1952662721893491,0.5118607049687557,99,293,523,1085,0.196,sonda,16,6,0,0.0,0.43645937740802765,0.37142857142857144,0.37142857142857144,4,35
2000,0.311,0.5285,0.30450669914738127,0.40192926045016075,0.3465003465003465,0.5002275071285567,250,571,372,807,0.4105,sonda,18,6,0,0.0,0.4870827794075012,0.35135135135135137,0.35135135135135137,4,37
2000,0.311,0.689,,0.0,,0.5690169125299259,0,0,622,1378,0.0,sonda,20,6,0,0.0,0.43375077843666077,0.358974358974359,0.358974358974359,4,39
2000,0.311,0.498,0.2665036674816626,0.3504823151125402,0.3027777777777778,0.4339010122317166,218,600,404,778,0.409,sonda,22,6,0,0.0,0.47922366857528687,0.36585365853658536,0.36585365853658536,4,41
2000,0.308,0.6935,0.5428571428571428,0.030844155844155844,0.05837173579109062,0.5777097721642519,19,16,597,1368,0.0175,sonda,24,6,0,0.0,0.32821236550807953,0.3488372093023256,0.3488372093023256,4,43
2000,0.308,0.5845,0.3576158940397351,0.4383116883116883,0.3938730853391685,0.5524008145034156,270,485,346,899,0.3775,sonda,26,6,0,0.0,0.4764679968357086,0.36363636363636365,0.36363636363636365,1,44
2000,0.308,0.568,0.33013698630136984,0.3912337662337662,0.35809806835066865,0.5221231983334584,241,489,375,895,0.365,sonda,28,6,0,0.0,0.4852467030286789,0.3695652173913043,0.3695652173913043,1,46
2000,0.308,0.692,,0.0,,0.4570837399594625,0,0,616,1384,0.0,sonda,30,6,0,0.0,0.4130543917417526,0.3617021276595745,0.3617021276595745,4,47
2000,0.308,0.629,0.24596774193548387,0.09902597402597403,0.14120370370370372,0.49990968208092484,61,187,555,1197,0.124,sonda,32,6,0,0.0,0.45485609769821167,0.3673469387755102,0.3673469387755102,4,49
2000,0.2565,0.605,0.27182866556836904,0.3216374269005848,0.2946428571428571,0.5273284646271585,165,442,348,1045,0.3035,sonda,34,6,0,0.0,0.475925087928772,0.27450980392156865,0.27450980392156865,4,51
2000,0.2595,0.7175,0.29464285714285715,0.06358381502890173,0.10459587955625992,0.48610596131604045,33,79,486,1402,0.056,sonda,36,6,0,0.0,0.2769685685634613,0.3018867924528302,0.3018867924528302,4,53
2000,0.224,0.419,0.21711568938193343,0.6116071428571429,0.32046783625730996,0.5147275405007363,274,988,174,564,0.631,sonda,38,6,0,0.0,0.5477347373962402,0.2909090909090909,0.2909090909090909,4,55
2000,0.2205,0.672,0.2384428223844282,0.2222222222222222,0.2300469483568075,0.5085103102605164,98,313,343,1246,0.2055,sonda,40,6,0,0.0,0.4785638004541397,0.2857142857142857,0.2857142857142857,4,56
2000,0.2205,0.7795,,0.0,,0.4758588489918097,0,0,441,1559,0.0,sonda,42,6,0,0.0,0.4270693361759186,0.27586206896551724,0.27586206896551724,4,58
2000,0.2205,0.433,0.20857863751051303,0.562358276643991,0.3042944785276074,0.5162184608716268,248,941,193,618,0.5945,sonda,44,6,0,0.0,0.5305473506450653,0.2833333333333333,0.2833333333333333,4,60
2000,0.2205,0.6085,0.23932926829268292,0.35600907029478457,0.28623518687329075,0.5068099936147219,157,499,284,1060,0.328,sonda,45,6,0,0.0,0.4771391451358795,0.29508196721311475,0.29508196721311475,4,61
500,0.262,0.548,0.1895424836601307,0.22137404580152673,0.20422535211267603,0.5100436500548211,29,124,102,245,0.306,sonda_estratificada,1,6,0,,0.42535364627838135,0.3333333333333333,0.3333333333333333,4,21
500,0.298,0.576,0.3067484662576687,0.33557046979865773,0.3205128205128206,0.5251725654410219,50,113,99,238,0.326,sonda_estratificada,2,6,0,,0.47214728593826294,0.3181818181818182,0.3181818181818182,4,22
500,0.272,0.612,0.20408163265306123,0.14705882352941177,0.17094017094017094,0.5415319974143503,20,78,116,286,0.196,sonda_estratificada,4,6,0,,0.3663084805011749,0.2916666666666667,0.2916666666666667,4,24
500,0.328,0.412,0.328042328042328,0.7560975609756098,0.45756457564575637,0.4992650261324042,124,254,40,82,0.756,sonda_estratificada,6,6,0,,0.5635839104652405,0.3076923076923077,0.3076923076923077,1,26
500,0.338,0.42,0.3236151603498542,0.6568047337278107,0.43359375,0.4814708879314968,111,232,58,99,0.686,sonda_estratificada,8,6,0,,0.5438890755176544,0.3333333333333333,0.3333333333333333,4,27
500,0.342,0.35,0.32339449541284404,0.8245614035087719,0.46457990115321257,0.386551485095718,141,295,30,34,0.872,sonda_estratificada,10,6,0,,0.5603092014789581,0.3448275862068966,0.3448275862068966,4,29
500,0.294,0.496,0.21311475409836064,0.2653061224489796,0.2363636363636364,0.44998169239367136,39,144,108,209,0.366,sonda_estratificada,12,6,0,,0.3719257414340973,0.3548387096774194,0.3548387096774194,4,31
500,0.326,0.66,0.4700854700854701,0.3374233128834356,0.39285714285714285,0.6122590158562561,55,62,108,275,0.234,sonda_estratificada,14,6,0,,0.3797798454761505,0.3333333333333333,0.3333333333333333,4,33
500,0.264,0.594,0.22900763358778625,0.22727272727272727,0.22813688212927757,0.513772233201581,30,101,102,267,0.262,sonda_estratificada,16,6,0,,0.442550927400589,0.37142857142857144,0.37142857142857144,4,35
500,0.276,0.488,0.22685185185185186,0.35507246376811596,0.2768361581920904,0.47337657138281686,49,167,89,195,0.432,sonda_estratificada,18,6,0,,0.4825904667377472,0.35135135135135137,0.35135135135135137,4,37
500,0.3,0.7,,0.0,,0.6075142857142857,0,0,150,350,0.0,sonda_estratificada,20,6,0,,0.45094984769821167,0.358974358974359,0.358974358974359,4,39
500,0.274,0.574,0.21641791044776118,0.2116788321167883,0.21402214022140223,0.4219299833102089,29,105,108,258,0.268,sonda_estratificada,22,6,0,,0.47524207830429077,0.36585365853658536,0.36585365853658536,4,41
500,0.298,0.69,0.36363636363636365,0.053691275167785234,0.0935672514619883,0.6447542018011817,8,14,141,337,0.044,sonda_estratificada,24,6,0,,0.3339282274246216,0.3488372093023256,0.3488372093023256,4,43
500,0.318,0.6,0.3915343915343915,0.46540880503144655,0.42528735632183906,0.5880226488869216,74,115,85,226,0.378,sonda_estratificada,26,6,0,,0.4764679968357086,0.36363636363636365,0.36363636363636365,1,44
500,0.302,0.532,0.3033175355450237,0.423841059602649,0.3535911602209945,0.5288715155885311,64,147,87,202,0.422,sonda_estratificada,28,6,0,,0.4877602308988571,0.3695652173913043,0.3695652173913043,1,46
500,0.316,0.684,,0.0,,0.5064956695536309,0,0,158,342,0.0,sonda_estratificada,30,6,0,,0.41483399271965027,0.3617021276595745,0.3617021276595745,4,47
500,0.364,0.608,0.37037037037037035,0.10989010989010989,0.1694915254237288,0.520129241827355,20,34,162,284,0.108,sonda_estratificada,32,6,0,,0.45565225183963776,0.3673469387755102,0.3673469387755102,4,49
500,0.258,0.524,0.21465968586387435,0.3178294573643411,0.25625,0.44300967425144694,41,150,88,221,0.382,sonda_estratificada,34,6,0,,0.48330260813236237,0.27450980392156865,0.27450980392156865,4,51
500,0.244,0.748,0.3888888888888889,0.05737704918032787,0.09999999999999999,0.49013357619915,7,11,115,367,0.036,sonda_estratificada,36,6,0,,0.2716322988271713,0.3018867924528302,0.3018867924528302,4,53
500,0.228,0.51,0.24904214559386972,0.5701754385964912,0.3466666666666667,0.5275315880374511,65,196,49,190,0.522,sonda_estratificada,38,6,0,,0.5094778537750244,0.2909090909090909,0.2909090909090909,4,55
500,0.182,0.716,0.24752475247524752,0.27472527472527475,0.2604166666666667,0.5423842661006475,25,76,66,333,0.202,sonda_estratificada,40,6,0,,0.47865165770053864,0.2857142857142857,0.2857142857142857,4,56
500,0.194,0.806,,0.0,,0.43721061113811366,0,0,97,403,0.0,sonda_estratificada,42,6,0,,0.42938894033432007,0.27586206896551724,0.27586206896551724,4,58
500,0.192,0.422,0.20123839009287925,0.6770833333333334,0.31026252983293556,0.571266501650165,65,258,31,146,0.646,sonda_estratificada,44,6,0,,0.5540180802345276,0.2833333333333333,0.2833333333333333,4,60
