label,n_dec,ok_fbest,ok_nfront1,maxrel_fbest,c7_nd_ok,c7_link_ok,sonda_dX,dataset_dX,lhs_dims_estrat,D,intersec_ds,x_fora_bounds
BBOB_F1,801,801,801,5.7482077753769617e-08,1,1,0.0,0.0,1,10,0,0
BBOB_F17,801,801,196,5.5057084563652544e-08,1,1,0.0,0.0,4,10,0,0
BBOB_F22,801,801,798,5.620997483325535e-08,1,1,0.0,0.0,1,10,0,0
BBOB_F37,801,801,800,5.662253289890377e-08,1,1,0.0,0.0,1,10,0,0
BBOB_F49,801,801,794,4.205893063971552e-08,1,1,0.0,0.0,3,10,0,0
BBOB_F5,801,801,801,5.5722291330276666e-08,1,1,0.0,0.0,2,10,0,0
BBOB_F55,801,801,801,5.672018396584782e-08,1,1,0.0,0.0,2,10,0,0
DTLZ1,381,381,371,0.0,1,1,0.0,0.0,2,7,0,0
DTLZ2,381,381,381,4.4082412626502496e-08,1,1,0.0,0.0,2,12,0,0
DTLZ3,381,381,381,0.0,1,1,0.0,0.0,0,12,0,0
DTLZ4,381,381,252,5.841811212224049e-08,1,1,0.0,0.0,0,12,0,0
DTLZ7,381,381,370,5.0722604366323515e-08,1,1,0.0,0.0,5,22,0,0
MMF1,801,801,799,5.513549948612442e-08,1,1,0.0,0.0,1,2,0,0
MMF11_L,801,801,799,4.685220454668889e-08,1,1,0.0,0.0,0,2,0,0
MMF16_20,381,381,381,5.4108523183566176e-08,1,1,0.0,0.0,4,20,0,0
MMF4,801,801,801,5.592671551807117e-08,1,1,0.0,0.0,0,2,0,0
WFG1,801,801,801,4.3027864994644475e-08,1,1,0.0,0.0,14,22,0,0
WFG2,801,801,801,5.063551810962497e-08,1,1,0.0,0.0,11,22,0,0
WFG4,801,801,801,5.8798568953083044e-08,1,1,0.0,0.0,7,22,0,0
WFG5,801,801,801,5.248558831264755e-08,1,1,0.0,0.0,8,22,0,0
WFG9,801,801,801,5.17530315465949e-08,1,1,0.0,0.0,9,22,0,0
ZDT1,801,801,793,5.944586467220243e-08,1,1,0.0,0.0,16,30,0,0
ZDT3,801,801,782,5.748950752520671e-08,1,1,0.0,0.0,16,30,0,0
ZDT4,801,801,797,4.7324633329695406e-08,1,1,0.0,0.0,1,10,0,0
ZDT6,801,801,801,5.3191887652139055e-08,1,1,0.0,0.0,3,10,0,0
swap_medium-lhs_DTLZ2,381,381,381,5.4673653611272876e-08,1,1,0.0,0.0,6,12,0,0
swap_medium-lhs_MMF16_20,381,381,381,5.9337327935255484e-08,1,1,0.0,0.0,4,20,0,0
swap_medium-lhs_WFG9,801,801,801,5.7967068443993813e-08,1,1,0.0,0.0,19,22,0,0
swap_medium-lhs_ZDT1,801,801,800,5.174902550506674e-08,1,1,0.0,0.0,25,30,0,0
swap_medium-lhs_ZDT4,801,801,784,5.112043563154954e-08,1,1,0.0,0.0,8,10,0,0
swap_medium-mvns_DTLZ2,381,381,381,5.678639553269055e-08,1,1,0.0,0.9998977780342102,12,12,0,0
swap_medium-mvns_MMF16_20,381,381,381,5.767786784043742e-08,1,1,0.0,0.9998170733451843,20,20,0,0
swap_medium-mvns_WFG9,801,801,801,5.86617715835236e-08,1,1,0.0,43.94314956665039,22,22,0,0
swap_medium-mvns_ZDT1,801,801,798,5.8460346230231344e-08,1,1,0.0,0.9998486638069153,30,30,0,0
swap_medium-mvns_ZDT4,801,801,801,5.618284324290068e-08,1,1,0.0,9.985884666442871,10,10,0,0
swap_small-lhs_DTLZ2,381,381,381,4.4082412626502496e-08,1,1,0.0,0.0,2,12,0,0
swap_small-lhs_MMF16_20,381,381,381,5.4108523183566176e-08,1,1,0.0,0.0,4,20,0,0
swap_small-lhs_WFG9,801,801,801,5.17530315465949e-08,1,1,0.0,0.0,9,22,0,0
swap_small-lhs_ZDT1,801,801,793,5.944586467220243e-08,1,1,0.0,0.0,16,30,0,0
swap_small-lhs_ZDT4,801,801,797,4.7324633329695406e-08,1,1,0.0,0.0,1,10,0,0
swap_small-mvns_DTLZ2,381,381,381,5.679569389591085e-08,1,1,0.0,0.9990978837013245,12,12,0,0
swap_small-mvns_MMF16_20,381,381,381,5.5013346485022284e-08,1,1,0.0,0.9986298084259033,20,20,0,0
swap_small-mvns_WFG9,801,801,801,5.439016631308046e-08,1,1,0.0,43.834102630615234,22,22,0,0
swap_small-mvns_ZDT1,801,801,799,5.5401036193759964e-08,1,1,0.0,0.9999885559082031,30,30,0,0
swap_small-mvns_ZDT4,801,801,782,5.9041496725558594e-08,1,1,0.0,9.993871688842773,10,10,0,0
