label,D,n_x,M,n_dataset,maxfe,status,motivo_parada,tempo_aval_real_s,tempo_total_s,fit_series_len,camada4_linhas,camada2_linhas,camada1_linhas,fase_init,n_ger,pop,pop_const,ident_nger,linhas_busca,linhas_sonda,sonda_ger_null,n_blocos_sonda,sigma_nan,real_sol_id_null,fe_treino_max_unico,fe_treino_max,x_dentro_bounds,n_dec,n_footer,n_hdr_keys,t11_p_wrong_stats,t11_n_substituicoes,t11_flag_vet_deg,t11_campanha_id,t11_pesos_header,params_no_5,sigma_dict_chaves,c7_linhas,c7_nd,c7_origem_ger_ultima,c7_origem_sol_null,fantasia,turn_med,turn_1a,n_congeladas,ampl_mu_final,spearman_turn,t_fit,t_busca,t_ger,t_sonda
BBOB_F1,10,10,2,309,309,ok,orcamento,0.0,3062.8566,1,1,0,309,309,801,50,1,1,40050,20000,1,1,0,1,1,308.0,,801,2,22,0,0,0,0,0,0,18,50,27,1,1,0.54,0.28,1.0,0,43.47077941894531,-0.4324375440908104,2.042491912841797,3054.755615234375,3056.798095703125,1.646496057510376
BBOB_F17,10,10,2,309,309,ok,orcamento,0.0,3383.8881,1,1,0,309,309,801,50,1,1,40050,20000,1,1,0,1,1,308.0,,801,2,22,0,0,0,0,0,0,18,50,7,1,1,0.14,0.65,1.0,2,55507.0,-0.450366926987731,1.1903789043426514,3378.228515625,3379.4189453125,0.7143292427062988
BBOB_F22,10,10,2,309,309,ok,orcamento,0.0,3437.3777,1,1,0,309,309,801,50,1,1,40050,20000,1,1,0,1,1,308.0,,801,2,22,0,0,0,0,0,0,18,50,22,1,1,0.44,0.16,1.0,9,34477.765625,-0.5122295306402292,0.969912052154541,3432.212646484375,3433.1826171875,0.6225650310516357
BBOB_F37,10,10,2,309,309,ok,orcamento,0.0,3021.202,1,1,0,309,309,801,50,1,1,40050,20000,1,1,0,1,1,308.0,,801,2,22,0,0,0,0,0,0,18,50,9,1,1,0.18,0.3,0.98,0,1422.99365234375,-0.5047046114723499,0.8249108791351318,3015.553955078125,3016.37890625,0.6449830532073975
BBOB_F49,10,10,2,309,309,ok,orcamento,0.0,3589.5938,1,1,0,309,309,801,50,1,1,40050,20000,1,1,0,1,1,308.0,,801,2,22,0,0,0,0,0,0,18,50,15,1,1,0.3,0.72,0.98,0,251.48895263671875,-0.44261746254439194,0.9386558532714844,3584.720703125,3585.659423828125,0.6700947284698486
BBOB_F5,10,10,2,309,309,ok,orcamento,0.0,2981.9469,1,1,0,309,309,801,50,1,1,40050,20000,1,1,0,1,1,308.0,,801,2,22,0,0,0,0,0,0,18,50,21,1,1,0.42,0.28,1.0,0,269.40313720703125,-0.38803026541808056,0.7767481803894043,2976.82958984375,2977.6064453125,0.6426041126251221
BBOB_F55,10,10,2,309,309,ok,orcamento,0.0,2872.6748,1,1,0,309,309,801,50,1,1,40050,20000,1,1,0,1,1,308.0,,801,2,22,0,0,0,0,0,0,18,50,9,1,1,0.18,0.44,0.98,0,47.955631256103516,-0.5997464066811636,0.9733748435974121,2868.15283203125,2869.1259765625,0.6250298023223877
DTLZ1,7,7,3,216,216,ok,orcamento,0.0,3056.6153,1,1,0,216,216,381,105,1,1,40005,20000,1,1,0,1,1,215.0,,381,2,22,0,0,0,0,0,0,18,105,4,1,1,0.0380952380952381,0.0,1.0,370,0.0,-0.2772550061536253,0.1760849952697754,3050.1923828125,3050.36865234375,0.5370950698852539
DTLZ2,12,12,3,371,371,ok,orcamento,0.0,3264.702,1,1,0,371,371,381,105,1,1,40005,20000,1,1,0,1,1,370.0,,381,2,22,0,0,0,0,0,0,18,105,83,1,1,0.7904761904761904,0.11428571428571428,0.9714285714285714,0,1.8100695610046387,-0.6808912164637444,4.159631252288818,3254.552734375,3258.71240234375,1.2760319709777832
DTLZ3,12,12,3,371,371,ok,orcamento,0.0,3234.0863,1,1,0,371,371,381,105,1,1,40005,20000,1,1,0,1,1,370.0,,381,2,22,0,0,0,0,0,0,18,105,26,1,1,0.24761904761904763,0.0,0.0,380,0.0,,0.7302608489990234,3226.58447265625,3227.314697265625,1.3253099918365479
