ger,n_sub,slots_mudou,novos,p_min,p_med,p_max,n_chamadas,n_nan,flag
2,287,50,50,0.000401,0.46112,1.0,50,0,
3,206,41,41,0.00046,0.43405675,0.689449,50,0,
4,158,50,50,0.0,0.43916350000000004,0.725506,50,0,
5,154,47,44,0.000162,0.3704525,0.634674,50,0,
6,150,45,45,0.0,0.37985325000000003,0.660512,50,0,
7,88,40,40,0.0,0.31121175,0.588066,50,0,
8,78,38,38,0.0,0.3412795,0.763162,50,0,
9,67,43,43,0.0,0.2642825,0.683212,50,0,
10,85,40,39,0.0,0.29999224999999996,0.910249,50,0,
11,216,39,34,0.0,0.33575525,0.906184,50,0,
12,206,44,39,0.0,0.445682,0.987939,50,0,
13,158,44,44,0.0,0.34405575,0.91872,50,0,
14,94,39,39,0.0,0.33931374999999997,0.594915,50,0,
15,125,35,34,0.0,0.3373655,0.779044,50,0,
16,83,31,30,0.0,0.26167074999999995,0.525873,50,0,
17,94,33,33,0.0,0.2665155,0.601888,50,0,
18,90,38,38,0.0,0.23951324999999998,0.661517,50,0,
19,74,34,34,0.0,0.23625075,0.554085,50,0,
20,34,24,24,0.0,0.14574399999999998,0.61184,50,0,
21,75,40,40,0.0,0.24725425,0.541409,50,0,
22,117,43,41,0.0,0.33103,0.978533,50,0,
23,63,31,31,0.0,0.24840425000000002,0.745408,50,0,
24,74,27,27,0.0,0.23974025000000002,0.576521,50,0,
25,59,28,28,0.0,0.212584,0.545508,50,0,
26,61,33,33,0.0,0.1989415,0.781266,50,0,
27,42,21,21,0.0,0.183294,0.758628,50,0,
28,65,28,28,0.0,0.285138,0.565926,50,0,
29,57,30,30,0.0,0.20485124999999998,0.590838,50,0,
30,87,32,32,0.0,0.14658925,0.625641,50,0,
31,82,24,24,0.0,0.29926325,0.533735,50,0,
32,56,23,23,0.0,0.15555375,0.579391,50,0,
33,45,24,24,0.0,0.12330150000000001,0.535878,50,0,
34,45,23,23,0.0,0.10581399999999999,0.562378,50,0,
35,42,22,22,0.0,0.16845100000000002,0.524544,50,0,
36,58,32,32,0.0,0.14998225,0.545067,50,0,
37,53,23,23,0.0,0.2054395,0.549488,50,0,
38,44,25,25,0.0,0.16540475,0.827933,50,0,
39,37,23,23,0.0,0.13837925,0.568042,50,0,
40,45,23,23,0.0,0.14348475,0.529404,50,0,
41,43,23,22,0.0,0.19594250000000002,0.529739,50,0,
42,53,33,33,0.0,0.13368724999999998,0.702317,50,0,
43,73,34,34,0.0,0.2708885,0.716583,50,0,
44,60,28,28,0.0,0.15813850000000002,0.922778,50,0,
45,51,26,26,0.0,0.17351850000000002,0.674256,50,0,
46,25,17,17,0.0,0.1080825,0.549281,50,0,
47,77,23,23,0.0,0.227161,0.538051,50,0,
48,54,27,27,0.0,0.1102815,0.570651,50,0,
49,51,27,27,0.0,0.14088025,0.631438,50,0,
50,35,20,20,0.0,0.12647350000000002,0.549447,50,0,
51,59,25,25,0.0,0.163163,0.602433,50,0,
52,80,31,31,0.0,0.23550425,0.531385,50,0,
53,41,20,20,0.0,0.13943525,0.690083,50,0,
54,37,19,16,0.0,0.1872595,0.535402,50,0,
55,36,22,22,0.0,0.10778525,0.533209,50,0,
