label,obj,teto,zero,nan,mu_ptp
BBOB_F1,0,0.0,0.0,0,269.2475891113281
BBOB_F1,1,0.0,0.0,0,253.55223083496094
BBOB_F17,0,0.0,0.0,0,87066344.0
BBOB_F17,1,0.0,0.0,0,2386.1083984375
BBOB_F22,0,0.0,0.0,0,2576578.5
BBOB_F22,1,0.0,0.0,0,2649.08349609375
BBOB_F37,0,0.0,0.0,0,2728.8828125
BBOB_F37,1,0.0,0.0,0,6490.89306640625
BBOB_F49,0,0.0,0.0,0,11741.0146484375
BBOB_F49,1,0.0,0.0,0,108.05957794189453
BBOB_F5,0,0.0,0.0,0,244.2332000732422
BBOB_F5,1,0.0,0.0,0,2484.429931640625
BBOB_F55,0,0.0,0.0,0,70.57718658447266
BBOB_F55,1,0.0,0.0,0,63.290771484375
DTLZ1,0,0.0,0.0,0,308.9223327636719
DTLZ1,1,0.0,0.0,0,335.15289306640625
DTLZ1,2,0.999,0.0,0,13.87158203125
DTLZ2,0,0.0,0.0,0,2.7068674564361572
DTLZ2,1,0.0,0.0,0,2.563633918762207
DTLZ2,2,0.0,0.0,0,2.7528200149536133
DTLZ3,0,0.9997,0.0,0,0.7905457615852356
DTLZ3,1,1.0,0.0,0,0.0
DTLZ3,2,1.0,0.0,0,0.0
DTLZ4,0,0.0,0.0,0,2.2948687076568604
DTLZ4,1,0.0,0.0,0,1.0616296529769897
DTLZ4,2,0.0,0.0,0,0.0
DTLZ7,0,0.0,0.75185,0,0.9999387860298157
DTLZ7,1,0.0,0.1523,0,0.9999691843986511
DTLZ7,2,0.0,0.0,0,15.500421524047852
MMF1,0,0.0,0.0,0,1.0828368663787842
MMF1,1,0.0,0.0,0,8.606691360473633
MMF11_L,0,0.0,0.42295,0,0.9998993277549744
MMF11_L,1,0.0,0.0,0,18.295440673828125
MMF16_20,0,0.0,0.0,0,3.9303979873657227
MMF16_20,1,0.0,0.0,0,3.9608776569366455
MMF16_20,2,0.0,0.0,0,3.92317533493042
MMF4,0,0.0,0.0,0,1.0841134786605835
MMF4,1,0.0,0.0,0,2.8516976833343506
WFG1,0,0.0,0.0,0,0.42045116424560547
WFG1,1,0.0,0.0,0,0.47926777601242065
WFG2,0,0.0,0.0,0,2.7650136947631836
WFG2,1,0.0,0.0,0,5.191694259643555
WFG4,0,0.0,0.0,0,2.4818732738494873
WFG4,1,0.0,0.0,0,4.427926540374756
WFG5,0,0.0,0.0,0,2.5779364109039307
WFG5,1,0.0,0.0,0,4.998192310333252
WFG9,0,0.0,0.0,0,3.4672672748565674
WFG9,1,0.0,0.0,0,5.947698593139648
ZDT1,0,0.0,0.046,0,0.9999199509620667
ZDT1,1,0.0,0.0,0,4.551559925079346
ZDT3,0,0.0,0.59385,0,0.9998961091041565
ZDT3,1,0.0,0.0,0,4.999444961547852
ZDT4,0,0.0,0.9195,0,1.0004243850708008
ZDT4,1,0.0,0.0,0,203.37869262695312
ZDT6,0,0.0,0.0,0,1.5959547758102417
ZDT6,1,0.0,0.0,0,2.851323127746582
swap_medium-lhs_DTLZ2,0,0.0,0.0,0,2.702690601348877
swap_medium-lhs_DTLZ2,1,0.0,0.0,0,2.62528920173645
swap_medium-lhs_DTLZ2,2,0.0,0.0,0,2.4991633892059326
swap_medium-lhs_MMF16_20,0,0.0,0.0,0,3.864710807800293
swap_medium-lhs_MMF16_20,1,0.0,0.0,0,3.977689743041992
swap_medium-lhs_MMF16_20,2,0.0,0.0,0,3.9147439002990723
swap_medium-lhs_WFG9,0,0.0,0.0,0,3.6847691535949707
swap_medium-lhs_WFG9,1,0.0,0.0,0,6.166843414306641
swap_medium-lhs_ZDT1,0,0.0,0.91685,0,0.999932050704956
swap_medium-lhs_ZDT1,1,0.0,0.0,0,4.6293182373046875
swap_medium-lhs_ZDT4,0,0.0,0.0,0,1.011818289756775
swap_medium-lhs_ZDT4,1,0.0,0.0,0,217.19845581054688
swap_medium-mvns_DTLZ2,0,0.0,0.0,0,2.8884713649749756
swap_medium-mvns_DTLZ2,1,0.0,0.0,0,2.6872639656066895
swap_medium-mvns_DTLZ2,2,0.0,0.0,0,2.52614688873291
swap_medium-mvns_MMF16_20,0,0.0,0.0,0,4.0132646560668945
swap_medium-mvns_MMF16_20,1,0.0,0.0,0,4.334158897399902
swap_medium-mvns_MMF16_20,2,0.0,0.0,0,3.926098346710205
swap_medium-mvns_WFG9,0,0.0,0.0,0,3.5121829509735107
swap_medium-mvns_WFG9,1,0.0,0.0,0,5.210851192474365
swap_medium-mvns_ZDT1,0,0.0,0.3755,0,0.9999135732650757
swap_medium-mvns_ZDT1,1,0.0,0.0,0,4.514097213745117
swap_medium-mvns_ZDT4,0,0.0,0.0,0,1.0298612117767334
swap_medium-mvns_ZDT4,1,0.0,0.0,0,235.73068237304688
swap_small-lhs_DTLZ2,0,0.0,0.0,0,2.7068674564361572
swap_small-lhs_DTLZ2,1,0.0,0.0,0,2.563633918762207
swap_small-lhs_DTLZ2,2,0.0,0.0,0,2.7528200149536133
swap_small-lhs_MMF16_20,0,0.0,0.0,0,3.9303979873657227
swap_small-lhs_MMF16_20,1,0.0,0.0,0,3.9608776569366455
swap_small-lhs_MMF16_20,2,0.0,0.0,0,3.92317533493042
swap_small-lhs_WFG9,0,0.0,0.0,0,3.4672672748565674
swap_small-lhs_WFG9,1,0.0,0.0,0,5.947698593139648
swap_small-lhs_ZDT1,0,0.0,0.046,0,0.9999199509620667
swap_small-lhs_ZDT1,1,0.0,0.0,0,4.551559925079346
swap_small-lhs_ZDT4,0,0.0,0.9195,0,1.0004243850708008
swap_small-lhs_ZDT4,1,0.0,0.0,0,203.37869262695312
swap_small-mvns_DTLZ2,0,0.0,0.0,0,2.845353364944458
swap_small-mvns_DTLZ2,1,0.0,0.0,0,2.7815213203430176
swap_small-mvns_DTLZ2,2,0.0,0.0,0,2.473512887954712
swap_small-mvns_MMF16_20,0,0.0,0.0,0,4.173550605773926
swap_small-mvns_MMF16_20,1,0.0,0.0,0,3.8119916915893555
swap_small-mvns_MMF16_20,2,0.0,0.0,0,4.341751575469971
swap_small-mvns_WFG9,0,0.0,0.0,0,3.6805994510650635
swap_small-mvns_WFG9,1,0.0,0.0,0,5.069356918334961
swap_small-mvns_ZDT1,0,0.0,0.6498,0,0.9999181628227234
swap_small-mvns_ZDT1,1,0.0,0.0,0,4.327853679656982
swap_small-mvns_ZDT4,0,0.0,0.51055,0,1.0005784034729004
swap_small-mvns_ZDT4,1,0.0,0.0,0,221.936279296875
