pb,D,M,N,maxfe,fe,init,n_gen,n_ger_man,U1,dense,U2,U3,blocos,U4,U6_viol,U7_mono,cache,cache_ok,ch_init,hard,U9,lote_final,C1,C2,lote_gt5,lote0,n_saida2,n_saida2_f1,F7_teto,teto,s0max,s0_nan,s1_nan,n_online,n_sonda,n_ev,hdr,ftr,termino,status,schema,campanha,repo,t_aval,desligada,params_ok,sigma_ok,regra_rotulo,estrat
BBOB_F1,10,2,100,309,309,109,59,60,True,True,True,True,31,True,0,True,12,True,1,1,True,4,True,True,1,0,0,0,True,398,398.0,0,0,11800,62000,105,1,1,normal,ok,1,,,0.10424099999999996,AUSENTE,True,True,False,0
BBOB_F17,10,2,100,309,309,109,57,58,True,True,True,True,30,True,0,True,1,True,1,0,True,1,True,True,3,0,0,0,True,398,398.0,0,0,11400,60000,90,1,1,normal,ok,1,,,0.16502500000000006,AUSENTE,True,True,False,0
BBOB_F22,10,2,100,309,309,109,51,52,True,True,True,True,27,True,0,True,2,True,1,1,True,3,True,True,4,0,0,0,True,398,398.0,0,0,10200,54000,83,1,1,normal,ok,1,,,0.14146199999999995,AUSENTE,True,True,False,0
BBOB_F37,10,2,100,309,309,109,50,51,True,True,True,True,27,True,0,True,1,True,1,1,True,2,True,True,6,0,0,0,True,398,398.0,0,0,10000,54000,81,1,1,normal,ok,1,,,0.14033900000000002,AUSENTE,True,True,False,0
BBOB_F49,10,2,100,309,309,109,51,52,True,True,True,True,27,True,0,True,1,True,1,1,True,2,True,True,6,0,0,0,True,398,398.0,0,0,10200,54000,82,1,1,normal,ok,1,,,0.6217749999999999,AUSENTE,True,True,False,0
BBOB_F5,10,2,100,309,309,109,56,57,True,True,True,True,30,True,0,True,6,True,1,1,True,3,True,True,5,0,0,0,True,398,398.0,0,0,11200,60000,95,1,1,normal,ok,1,,,0.11372999999999997,AUSENTE,True,True,False,0
BBOB_F55,10,2,100,309,309,109,54,55,True,True,True,True,29,True,0,True,1,True,1,1,True,2,True,True,3,0,0,0,True,398,398.0,0,0,10800,58000,87,1,1,normal,ok,1,,,1.0633010000000003,AUSENTE,True,True,False,0
DTLZ1,7,3,76,216,216,76,31,32,True,True,True,True,17,True,0,True,1,True,1,1,True,2,True,True,7,0,0,0,True,302,302.0,0,0,4712,34000,52,1,1,normal,ok,1,,,0.080666,AUSENTE,True,True,False,0
DTLZ2,12,3,100,371,371,131,65,66,True,True,True,True,34,True,0,True,1,True,1,1,True,3,True,True,2,0,0,0,True,398,398.0,0,0,13000,68000,103,1,1,normal,ok,1,,,0.12064400000000011,AUSENTE,True,True,False,0
DTLZ3,12,3,100,371,371,131,64,65,True,True,True,True,33,True,0,True,1,True,1,0,True,1,True,True,5,0,0,0,True,398,398.0,0,0,12800,66000,100,1,1,normal,ok,1,,,0.12316100000000002,AUSENTE,True,True,False,0
DTLZ4,12,3,100,371,371,131,63,64,True,True,True,True,33,True,0,True,1,True,1,1,True,2,True,True,9,0,0,0,True,398,398.0,0,0,12600,66000,100,1,1,normal,ok,1,,,0.13477700000000004,AUSENTE,True,True,False,0
DTLZ7,22,3,100,681,681,241,102,103,True,True,True,True,53,True,0,True,1,True,1,1,True,3,True,True,18,0,0,0,True,398,398.0,0,0,20400,106000,159,1,1,normal,ok,1,,,0.22227300000000005,AUSENTE,True,True,False,0
MMF1,2,2,21,61,61,21,12,13,True,True,True,True,8,True,0,True,1,True,1,1,True,3,True,True,0,0,0,0,True,82,82.0,0,0,504,16000,24,1,1,normal,ok,1,,,0.022504000000000003,AUSENTE,True,True,False,0
MMF11_L,2,2,21,61,61,21,12,13,True,True,True,True,8,True,0,True,1,True,1,1,True,2,True,True,0,0,0,0,True,82,82.0,0,0,504,16000,24,1,1,normal,ok,1,,,0.025101,AUSENTE,True,True,False,0
MMF16_20,20,3,100,619,619,219,119,120,True,True,True,True,61,True,0,True,9,True,1,1,True,2,True,True,8,0,0,0,True,398,398.0,0,0,23800,122000,192,1,1,normal,ok,1,,,0.2221339999999998,AUSENTE,True,True,False,0
MMF4,2,2,21,61,61,21,11,12,True,True,True,True,7,True,0,True,2,True,1,1,True,4,True,True,2,0,0,0,True,82,82.0,0,0,462,14000,23,1,1,normal,ok,1,,,0.022855000000000007,AUSENTE,True,True,False,0
WFG1,22,2,100,681,681,241,124,125,True,True,True,True,63,True,0,True,6,True,1,0,True,1,True,True,9,0,0,0,True,398,398.0,0,0,24800,126000,195,1,1,normal,ok,1,,,0.34906600000000026,AUSENTE,True,True,False,0
WFG2,22,2,100,681,681,241,141,142,True,True,True,True,72,True,0,True,1,True,1,1,True,2,True,True,3,0,0,0,True,398,398.0,0,0,28200,144000,217,1,1,normal,ok,1,,,0.4367750000000001,AUSENTE,True,True,False,0
WFG4,22,2,100,681,681,241,125,126,True,True,True,True,64,True,0,True,7,True,1,1,True,2,True,True,8,0,0,0,True,398,398.0,0,0,25000,128000,199,1,1,normal,ok,1,,,0.3002470000000002,AUSENTE,True,True,False,0
WFG5,22,2,100,681,681,241,121,122,True,True,True,True,62,True,0,True,6,True,1,1,True,2,True,True,6,0,0,0,True,398,398.0,0,0,24200,124000,192,1,1,normal,ok,1,,,0.2941220000000005,AUSENTE,True,True,False,0
