pb,n,nivel1,nivel2,nivel3,lote_max,lote_gt5,nfront1_med,nfront2_med,upool_max
BBOB_F1,59,0,0,59,6,1,146.0,17.0,398
BBOB_F17,57,0,0,57,7,3,109.0,14.0,398
BBOB_F22,51,0,0,51,7,4,119.0,18.0,398
BBOB_F37,50,0,0,50,8,6,104.5,17.0,398
BBOB_F49,51,0,0,51,8,6,105.0,13.0,398
BBOB_F5,56,0,0,56,11,5,142.0,15.0,398
BBOB_F55,54,0,1,53,7,3,125.5,13.0,398
DTLZ1,31,0,0,31,8,7,103.0,19.0,302
DTLZ2,65,0,0,65,7,2,165.0,19.0,398
DTLZ3,64,0,0,64,7,5,130.5,12.5,398
DTLZ4,63,0,0,63,8,9,175.0,18.0,398
DTLZ7,102,0,0,102,8,18,152.0,21.0,398
MMF1,12,0,0,12,5,0,34.0,7.5,82
MMF11_L,12,0,0,12,5,0,32.5,10.0,82
MMF16_20,119,0,0,119,9,8,144.0,12.0,398
MMF4,11,0,1,10,8,2,36.0,8.0,82
WFG1,124,0,0,124,8,9,163.0,14.0,398
WFG2,141,0,7,134,6,3,93.0,11.0,398
WFG4,125,0,1,124,8,8,113.0,13.0,398
WFG5,121,0,0,121,6,6,116.0,14.0,398
WFG9,124,0,0,124,8,6,79.5,12.0,398
ZDT1,173,0,2,171,7,11,44.0,11.0,398
ZDT3,181,0,1,180,7,9,54.0,10.0,398
ZDT4,57,0,1,56,7,5,51.0,9.0,398
ZDT6,64,0,4,60,8,4,134.5,6.0,398
