g,n,n_pool,kernel_best,k_MQ_c1,k_MQ_c0.5,k_MQ_c2,k_IMQ_c1,k_gauss_c1,k_cubic,k_linear,k_TPS,k_MQ_poly1,k_MQ_c1_scaled,k_MQ_ridge1e-12,k_MQ_ridge1e-08,k_MQ_ridge0.0001,rcond,mu_relerr_med,interp_max,n_front1_log,n1_true,n1_pred,hit_true,hit_pred,fit1max_log,fit1max_rec,fit1_relerr,n_front2_log,n_front2_rec,hit_front2,Qmin_log,Qmax_log,Umin_log,Umax_log,Qmin_rec,Qmax_rec,Umin_rec,Umax_rec,hit_QU,QU_bounds_ok,lote_log,lote_rec,hit_lote,Pb_extra,nPa,ratio_f3_f1,ratio_f2_f1,Upoolmax_log,Upoolmax_rec,hit_Upool,sig0_igual_frac,sig0_corr,sig1_relerr_ddof1,sig1_relerr_ddof0
1,21,42,MQ_c1,0.0005340522383897174,0.05309120385889948,0.13598448311481914,0.03019108165362832,0.14045073264025373,0.06683002118649016,0.204506004293344,0.08704789792759746,0.0054041767562903915,0.13552376293828944,0.0005340557026209653,0.0005398890746786001,0.14738712519492092,4.108980999607324e-06,0.0018870359417482324,3.872901999102396e-12,34,34,34,1,1,0.06306727128958745,0.06306730918173253,6.00821064769456e-07,9,9,1,11,19,2,16,11,19,2,16,1,1,4,4,1,1,3,4.2572522125352155,39.11143077627589,64,64,1,0.9523809523809523,0.999616328454355,0.005733149938554231,0.18588025046189321
2,25,42,MQ_c1,0.00015627223310384818,0.02363662650046057,0.08032631423934632,0.004976967263642347,0.06921159739272201,0.04423357111620586,0.04877200831970342,0.03221890289664526,0.0008053770672283812,0.08027330839599425,0.00015641963603615417,0.00025020410757215145,0.09635905454806709,1.877353090200475e-07,0.00033835137924018263,6.088085591215986e-11,34,34,34,1,1,0.09020182407712657,0.09020183410080236,1.1112497884299356e-07,2,2,1,4,5,2,2,4,5,2,2,1,1,1,1,1,0,1,0.12535675308212854,49.8014273067324,72,72,1,1.0,1.0,0.0006255131576998275,0.18363125156028912
3,26,42,MQ_c1,0.00014855902711324902,0.03399141252377462,0.0564025382259712,0.014046696119756737,0.04703506440558361,0.04218505971345181,0.08251335357301069,0.05111926912093063,0.0008100458194143141,0.05525571717012721,0.00014855981555987607,0.0003402109713528729,0.07083048301100699,1.7747789536510578e-07,0.0004230382551724672,9.018874536081967e-11,36,36,36,1,1,0.04788291300007408,0.04788293604731392,4.813249318974825e-07,12,12,1,14,26,10,22,14,26,10,22,1,1,3,3,1,1,2,0.7775936246447483,94.22245121995441,74,74,1,0.9761904761904762,0.9998759911958307,0.0005873449129860568,0.1837682155799441
4,29,42,MQ_c1,0.00018018426041784024,0.7638763321385518,1.5127645826537268,0.27337477553750417,1.4396072649699578,0.8748320427587369,0.6466931401347503,0.7637359458662482,0.005918169575765623,1.5075052689873543,0.00018092899388863116,0.004594715440894985,0.8732097606720932,4.0612071145712636e-08,0.0010507570559170338,5.879161601995975e-10,38,38,38,1,1,0.04763792389776392,0.047637952352357855,5.973096980273022e-07,25,25,1,27,52,4,48,27,52,4,48,1,1,7,7,1,1,6,105.0483682169878,1071.4063772768332,82,82,1,1.0,1.0,0.0005814642336679655,0.18390468923682857
5,36,42,MQ_c1,7.419402551207759e-05,0.011134758556692133,0.08014507874417455,0.007104872848327838,0.09942810801069704,0.04126708530348318,0.18648625950354833,0.10833788830742436,0.0014063290708930367,0.08016271863581635,9.482529594386502e-05,0.002060429480076496,0.3298763224892396,3.3255928554185256e-11,0.00018508678900466292,5.008605363787666e-08,36,36,36,1,1,0.026702441331115878,0.02670243615817902,1.9372524004453548e-07,24,24,1,30,50,6,46,30,50,6,46,1,1,5,5,1,1,4,105.33776297921118,1170.2912986427855,76,76,1,1.0,1.0,0.0004979239486606287,0.18347507449803552
6,41,42,MQ_c1,4.388046138916819e-05,0.01635009271812532,0.05246478855385951,0.0016241512572351905,0.09616325622111171,0.056360062297033886,0.15676215543242963,0.10434876864616302,0.0007611398496114959,0.053650105318035504,7.806440380252727e-05,0.035071427749386305,0.14627041861629447,2.3612114009804325e-11,0.00010300588910616011,1.539629764235606e-07,35,35,35,1,1,0.010540260898503129,0.010540287171549534,2.4926371992228603e-06,4,4,1,6,10,2,6,6,10,2,6,1,1,2,2,1,0,2,131.03576727513254,20269.185194210444,68,68,1,1.0,1.0,0.00010043535859938719,0.1835854241991746
7,43,42,MQ_c1,1.390366209624262e-05,0.028449615155291604,0.016398785254541828,0.002655990634429328,0.028764697004021726,0.09885247370011496,0.248521877584256,0.168006948327772,0.001413879762904184,0.016398785254541828,6.645980290807447e-05,0.04702675562929307,0.2898126430482717,2.1897234861832875e-11,0.00017465966479436905,1.876670472356068e-07,34,34,34,1,1,0.04415363278030293,0.0441536377754036,1.1313000430296658e-07,18,18,1,20,38,6,34,20,38,6,34,1,1,6,6,1,1,5,75.15852128160326,886.5436259636466,82,82,1,1.0,1.0,9.635893657224971e-05,0.183582095814527
8,49,42,MQ_c1,3.640246703557551e-07,0.6888669667986709,0.551566981098111,0.07298647533521573,0.37256767711567035,0.977920045485187,0.97602001076763,0.9781573882785985,2.485612676224106e-05,0.9092409887228498,0.04306613104444346,0.8973135307218048,0.9756977177350667,8.854585757419257e-14,3.741863881284139e-06,1.2154583732604252e-05,14,14,14,1,1,0.09733881318964255,0.09733830205748334,5.251062165849641e-06,7,7,1,10,15,4,12,10,15,4,12,1,1,2,2,1,1,1,13.958224861618602,34455.46597791432,72,72,1,1.0,1.0,1.8771335464974105e-06,0.1835049517453966
9,51,42,MQ_c1,1.5634757266533676e-05,0.23844275135202042,25.157013615851827,0.011322254510383104,0.21836562732674136,0.42423096133443045,0.45070785994738344,0.4399902514344581,0.007058340265553487,1.8103555158040632,0.10020824399302958,0.03691531792964422,0.5529075362317813,6.634269421257068e-14,4.2502095486873014e-05,1.0999474451711677e-05,14,14,14,1,1,0.0746414140103061,0.07464140842046832,7.488922686162101e-08,7,7,1,9,14,4,12,9,14,4,12,1,1,3,3,1,1,2,5.196220060891931,87695.6922080277,82,82,1,1.0,1.0,5.281604054569177e-05,0.1835465431887977
10,54,42,MQ_c1,7.585922463584209e-06,0.3448392594756455,0.10999503298060831,0.026391034106489474,0.17834867103534902,0.6183545877733865,0.632576626033097,0.6282506811713251,9.051883084980236e-05,0.015681151400674324,0.008578801427652596,0.7099569439519274,0.4255363328869282,5.3612603133826955e-14,2.904255036856074e-05,1.3669098535173951e-05,10,10,10,1,1,0.11843734094019755,0.11843764669235111,2.5815519931508276e-06,8,8,1,10,18,2,14,10,18,2,14,1,1,4,4,1,1,3,56.12852031237955,21072.720249239846,82,82,1,1.0,1.0,3.097965325435244e-05,0.18352871385323444
