cel,D,M,n_in,in_erro_max,in_erro_zero,n_out,out_erro_med,out_otimista,sigma0_teto,sigma0_int,ciclos
BBOB_F1,10,2,1057,0.0,1,200,0.015087127685546875,0.3875,1,1,59
BBOB_F17,10,2,187,0.0,1,217,187.395751953125,0.771889400921659,1,1,57
BBOB_F22,10,2,180,0.0,1,206,149.52401733398438,0.5655339805825242,1,1,51
BBOB_F37,10,2,391,0.0,1,214,19.531005859375,0.7009345794392523,1,1,50
BBOB_F49,10,2,170,0.0,1,208,9.65597915649414,0.6682692307692307,1,1,51
BBOB_F5,10,2,949,0.0,1,203,0.1589069366455078,0.3374384236453202,1,1,56
BBOB_F55,10,2,368,0.0,1,207,0.31811070442199707,0.40096618357487923,1,1,54
DTLZ1,7,3,1,0.0,1,140,105.69673156738281,0.8047619047619048,1,1,31
DTLZ2,12,3,20,3.456797565207226e-13,0,239,0.006023764610290527,0.5132496513249651,1,1,65
DTLZ3,12,3,6,6.202526492415927e-09,0,241,163.64950561523438,0.7579529737206085,1,1,64
DTLZ4,12,3,2,1.5299653904898847e-11,0,240,0.7609095573425293,0.5111111111111111,1,1,63
DTLZ7,22,3,46,6.346589920269707e-13,0,440,0.001487164874561131,0.5901515151515152,1,1,102
MMF1,2,2,4,5.4836273193359375e-06,0,42,1.9430317878723145,0.9523809523809523,1,1,12
MMF11_L,2,2,0,,-1,40,0.004109680652618408,0.6125,1,1,12
MMF16_20,20,3,505,1.0976904064527448e-12,0,400,0.15274173021316528,0.825,1,1,119
MMF4,2,2,1,0.0,1,38,0.5384508371353149,0.7631578947368421,1,1,11
WFG1,22,2,219,0.0,1,448,0.9935730695724487,0.5022321428571429,1,1,124
WFG2,22,2,3858,0.0,1,542,0.12531805038452148,0.7712177121771218,1,1,141
WFG4,22,2,734,0.0,1,457,0.15635383129119873,0.6783369803063457,1,1,125
WFG5,22,2,153,0.0,1,448,0.25688204169273376,0.6328125,1,1,121
WFG9,22,2,107,0.0,1,535,1.1284687519073486,0.5831775700934579,1,1,124
ZDT1,30,2,5,0.0,1,621,0.03046024590730667,0.7689210950080515,1,1,173
ZDT3,30,2,3,1.27675647831893e-15,0,678,0.06827524304389954,0.7374631268436578,1,1,181
ZDT4,10,2,118,1.3464229731141586e-13,0,276,0.15191650390625,0.782608695652174,1,1,57
ZDT6,10,2,0,,-1,211,3.674260139465332,0.6137440758293838,1,1,64
