g,n_treino,n_pool,n1_log,n1_verdadeiro,n1_predito,ok_v,ok_p,fit1max_log,fit1max_rec,rel_fit1,erro_mu_rel,Upool_log,s0max,teto,lote,nivel,n_front2,rcond
1,21,42,34,34,34,1,1,0.06306727128958745,0.06306730918173253,6.00821064769456e-07,0.0005340522383897173,64,64.0,82,4,3,9,4.108980999607324e-06
2,25,42,34,34,34,1,1,0.09020182407712657,0.09020183410080236,1.1112497884299356e-07,0.00015627223310384818,72,72.0,82,1,3,2,1.877353090200475e-07
3,26,42,36,36,36,1,1,0.04788291300007408,0.04788293604731392,4.813249318974825e-07,0.00014855902711324902,74,74.0,82,3,3,12,1.7747789536510578e-07
4,29,42,38,38,38,1,1,0.04763792389776392,0.047637952352357855,5.973096980273022e-07,0.00018018426041784027,82,82.0,82,7,3,25,4.0612071145712636e-08
5,36,42,36,36,36,1,1,0.026702441331115878,0.02670243615817902,1.9372524004453548e-07,7.419402551207759e-05,76,76.0,82,5,3,24,3.3255928554185256e-11
6,41,42,35,35,35,1,1,0.010540260898503129,0.010540287171549534,2.4926371992228603e-06,4.388046138916819e-05,68,68.0,82,2,3,4,2.3612114009804325e-11
7,43,42,34,34,34,1,1,0.04415363278030293,0.0441536377754036,1.1313000430296658e-07,1.390366209624262e-05,82,82.0,82,6,3,18,2.1897234861832875e-11
8,49,42,14,14,14,1,1,0.09733881318964255,0.09733830205748334,5.251062165849641e-06,3.640246703557551e-07,72,72.0,82,2,3,7,8.854585757419257e-14
9,51,42,14,14,14,1,1,0.0746414140103061,0.07464140842046832,7.488922686162101e-08,1.5634757266533676e-05,82,82.0,82,3,3,7,6.634269421257068e-14
10,54,42,10,10,10,1,1,0.11843734094019755,0.11843764669235111,2.5815519931508276e-06,7.585922463584209e-06,82,82.0,82,4,3,8,5.3612603133826955e-14
