pb,M,linhas,malformadas,header,footer,n_retries,status,tem_sigma_2,sigma_2_nan_frac
BBOB_F1,2,105,0,1,1,0,ok,False,
BBOB_F17,2,90,0,1,1,0,ok,False,
BBOB_F22,2,83,0,1,1,0,ok,False,
BBOB_F37,2,81,0,1,1,0,ok,False,
BBOB_F49,2,82,0,1,1,0,ok,False,
BBOB_F5,2,95,0,1,1,0,ok,False,
BBOB_F55,2,87,0,1,1,0,ok,False,
DTLZ1,3,52,0,1,1,0,ok,True,1.0
DTLZ2,3,103,0,1,1,0,ok,True,1.0
DTLZ3,3,100,0,1,1,0,ok,True,1.0
DTLZ4,3,100,0,1,1,0,ok,True,1.0
DTLZ7,3,159,0,1,1,0,ok,True,1.0
MMF1,2,24,0,1,1,0,ok,False,
MMF11_L,2,24,0,1,1,0,ok,False,
MMF16_20,3,192,0,1,1,0,ok,True,1.0
MMF4,2,23,0,1,1,0,ok,False,
WFG1,2,195,0,1,1,0,ok,False,
WFG2,2,217,0,1,1,0,ok,False,
WFG4,2,199,0,1,1,0,ok,False,
WFG5,2,192,0,1,1,0,ok,False,
WFG9,2,192,0,1,1,0,ok,False,
ZDT1,2,266,0,1,1,0,ok,False,
ZDT3,2,277,0,1,1,0,ok,False,
ZDT4,2,91,0,1,1,0,ok,False,
ZDT6,2,102,0,1,1,0,ok,False,
