prob,degrau,pop,tries,it,s,k
BBOB_F1,,1024,10,1,5,
BBOB_F1,,1024,10,1,9,
BBOB_F1,,1024,10,2,4,
BBOB_F1,,1024,10,3,10,
BBOB_F1,,1024,10,5,10,
BBOB_F1,,1024,10,6,10,
BBOB_F1,,1024,10,7,2,
BBOB_F1,,1024,10,7,4,
BBOB_F1,,1024,10,7,5,
BBOB_F1,,1024,10,7,9,
BBOB_F1,,1024,10,8,3,
BBOB_F1,,1024,10,12,5,
BBOB_F1,,1024,10,12,10,
BBOB_F1,,1024,10,13,4,
BBOB_F1,,1024,10,14,2,
BBOB_F1,,1024,10,14,4,
BBOB_F1,,1024,10,15,9,
BBOB_F1,,1024,10,16,2,
BBOB_F1,,1024,10,16,4,
BBOB_F1,,1024,10,17,2,
BBOB_F1,,1024,10,17,6,
BBOB_F1,,1024,10,20,3,
BBOB_F1,,1024,10,20,7,
BBOB_F1,,1024,10,21,7,
BBOB_F1,,1024,10,22,10,
BBOB_F1,,1024,10,24,3,
BBOB_F1,,1024,10,24,4,
BBOB_F1,,1024,10,26,2,
BBOB_F1,,1024,10,26,9,
BBOB_F1,,1024,10,27,9,
BBOB_F1,,1024,10,29,10,
BBOB_F1,,1024,10,31,9,
BBOB_F1,,1024,10,34,2,
BBOB_F1,,1024,10,34,9,
BBOB_F1,,1024,10,35,5,
BBOB_F1,,1024,10,36,9,
BBOB_F1,,1024,10,37,6,
BBOB_F1,,1024,10,39,4,
BBOB_F1,,1024,10,39,9,
BBOB_F1,,1024,10,40,4,
BBOB_F1,,1024,10,40,5,
BBOB_F1,,1024,10,41,7,
BBOB_F1,,1024,10,42,10,
BBOB_F1,,1024,10,45,5,
BBOB_F1,,1024,10,45,6,
BBOB_F1,,1024,10,45,9,
BBOB_F1,,1024,10,47,1,
BBOB_F1,,1024,10,48,1,
BBOB_F1,,1024,10,48,8,
BBOB_F1,,1024,10,49,1,
BBOB_F1,,1024,10,49,3,
BBOB_F1,,1024,10,50,9,
BBOB_F1,,1024,10,54,1,
BBOB_F1,,1024,10,54,9,
BBOB_F1,,1024,10,54,10,
BBOB_F1,,1024,10,55,5,
BBOB_F1,,1024,10,56,9,
BBOB_F1,,1024,10,58,6,
BBOB_F1,,1024,10,59,2,
BBOB_F1,,1024,10,60,5,
BBOB_F1,,1024,10,61,1,
BBOB_F1,,1024,10,61,3,
BBOB_F1,,1024,10,61,4,
BBOB_F1,,1024,10,63,7,
BBOB_F1,,1024,10,64,5,
BBOB_F1,,1024,10,64,7,
BBOB_F1,,1024,10,64,8,
BBOB_F1,,2048,20,64,8,
BBOB_F1,,1024,10,65,6,
BBOB_F1,,1024,10,65,7,
BBOB_F1,,1024,10,66,2,
BBOB_F1,,1024,10,66,5,
BBOB_F1,,1024,10,67,3,
BBOB_F1,,1024,10,67,8,
BBOB_F1,,1024,10,69,2,
BBOB_F1,,1024,10,69,5,
BBOB_F1,,1024,10,69,7,
BBOB_F1,,1024,10,71,3,
BBOB_F1,,1024,10,71,6,
BBOB_F1,,1024,10,72,8,
BBOB_F1,,1024,10,78,6,
BBOB_F1,,1024,10,80,5,
BBOB_F1,,1024,10,80,6,
BBOB_F1,,1024,10,81,6,
BBOB_F1,,1024,10,84,4,
BBOB_F1,,1024,10,86,3,
BBOB_F1,,1024,10,87,2,
BBOB_F1,,1024,10,87,6,
BBOB_F1,,1024,10,89,2,
BBOB_F1,,1024,10,89,7,
BBOB_F1,,1024,10,90,7,
BBOB_F1,,1024,10,91,9,
BBOB_F1,,1024,10,92,8,
BBOB_F1,,1024,10,96,3,
BBOB_F1,,1024,10,96,8,
BBOB_F1,,1024,10,99,2,
BBOB_F1,,1024,10,99,6,
BBOB_F1,,1024,10,100,5,
BBOB_F1,,1024,10,101,1,
BBOB_F1,,1024,10,101,2,
BBOB_F1,,1024,10,101,5,
BBOB_F1,,1024,10,101,7,
BBOB_F1,,1024,10,102,2,
BBOB_F1,,1024,10,103,3,
BBOB_F1,,1024,10,108,4,
BBOB_F1,,1024,10,108,9,
BBOB_F1,,1024,10,109,4,
BBOB_F1,,1024,10,110,7,
BBOB_F1,,1024,10,110,8,
