geracao,obj,wape,cob,sigma_med
1,0,0.13620856646699417,0.968,0.17129364609718323
1,1,0.12946967889565605,0.934,0.13819807767868042
1,2,0.09028598021549686,0.9695,0.16223067045211792
2,0,0.13500628681694285,0.968,0.16959068179130554
2,1,0.1376642905669021,0.938,0.15265902876853943
2,2,0.09179157496628444,0.967,0.16278082132339478
4,0,0.13463863162140094,0.967,0.16694536805152893
4,1,0.13543344869699278,0.942,0.15493805706501007
4,2,0.09056164152614245,0.967,0.16054487228393555
6,0,0.13625114233190694,0.9645,0.16797704994678497
6,1,0.13420098919950046,0.943,0.1539725959300995
6,2,0.09082936534892755,0.9675,0.15992701053619385
8,0,0.1348849314387262,0.964,0.16556230187416077
8,1,0.1376249570261466,0.9435,0.1579248011112213
8,2,0.09121919504808679,0.967,0.1581382155418396
10,0,0.1344195453152014,0.9635,0.16361163556575775
10,1,0.13734049139228585,0.9425,0.15599524974822998
10,2,0.09090896512192904,0.9665,0.15581165254116058
12,0,0.13334815509606351,0.9615,0.16221988201141357
12,1,0.1353588509116107,0.9425,0.15486200153827667
12,2,0.08963788618079609,0.9635,0.15376824140548706
14,0,0.1328231055694959,0.96,0.163497656583786
14,1,0.13401898345723737,0.946,0.15649965405464172
14,2,0.08909480038852316,0.964,0.1526896357536316
16,0,0.1303884790346775,0.968,0.17076900601387024
16,1,0.13332148960834875,0.9435,0.15483036637306213
16,2,0.08896641193929004,0.9625,0.1507190763950348
18,0,0.12920917151352052,0.9705,0.1712636500597
18,1,0.1329440246368584,0.941,0.15251289308071136
18,2,0.08841154875110942,0.962,0.14852699637413025
20,0,0.1271808226257514,0.9695,0.16958320140838623
20,1,0.13226583639641942,0.9395,0.15074193477630615
20,2,0.08665952893371193,0.9615,0.1465568244457245
22,0,0.12521910955093787,0.971,0.16807565093040466
22,1,0.13141750774530206,0.9385,0.14892645180225372
22,2,0.08376688986310359,0.9625,0.14540407061576843
24,0,0.12399959416958718,0.971,0.16686418652534485
24,1,0.13079521748804848,0.943,0.15058456361293793
24,2,0.08306355212941251,0.9625,0.14360839128494263
26,0,0.1288538664957873,0.97,0.16650313138961792
26,1,0.13668679651742638,0.9435,0.1545255482196808
26,2,0.08118933526602819,0.9745,0.15050706267356873
28,0,0.1316374096049654,0.968,0.16514450311660767
28,1,0.13893685322442928,0.942,0.15369170904159546
28,2,0.07931100408552887,0.981,0.15055333077907562
30,0,0.13030846681601674,0.9675,0.16316895186901093
30,1,0.1385573006503002,0.942,0.15230001509189606
30,2,0.07910310441657907,0.9775,0.14863868057727814
32,0,0.12909853604902524,0.973,0.16286054253578186
32,1,0.1378340884835441,0.938,0.1506766527891159
32,2,0.07823625022229101,0.976,0.14672242105007172
34,0,0.12773375200702722,0.972,0.16082796454429626
34,1,0.13650678797393845,0.9375,0.14887043833732605
34,2,0.07684415640728963,0.978,0.1454106867313385
36,0,0.12758809704028823,0.9735,0.1614575982093811
36,1,0.13507180594341633,0.944,0.149601012468338
36,2,0.07577534212200623,0.978,0.14314624667167664
38,0,0.12747726735002343,0.974,0.16163139045238495
38,1,0.13468048292812346,0.943,0.1480770707130432
38,2,0.07507389571934922,0.9775,0.1413155496120453
40,0,0.12686175492930415,0.9735,0.1599201261997223
40,1,0.13440550013074998,0.9445,0.14855016767978668
40,2,0.07494338261691878,0.978,0.13960468769073486
42,0,0.12559912257397265,0.9725,0.15840670466423035
42,1,0.13298831892119856,0.947,0.14836964011192322
42,2,0.07389194750711524,0.9775,0.1381019949913025
44,0,0.12564812337975081,0.974,0.1595100462436676
44,1,0.13209530984274795,0.9485,0.14720547199249268
44,2,0.07313388195128485,0.977,0.13661441206932068
46,0,0.12529499896962842,0.974,0.15756550431251526
46,1,0.1317067474444012,0.947,0.14576175808906555
46,2,0.07357997624389542,0.975,0.13492070138454437
48,0,0.12473410964327035,0.973,0.15587912499904633
48,1,0.1311569241834338,0.9475,0.14446894824504852
48,2,0.07272081848127471,0.9765,0.13329723477363586
50,0,0.12331597883637038,0.9725,0.15474992990493774
50,1,0.13011197216732134,0.947,0.14430488646030426
50,2,0.07052627095308604,0.979,0.13265544176101685
52,0,0.1212590655228344,0.971,0.1536339819431305
52,1,0.12923869483798586,0.946,0.14300253987312317
52,2,0.06946197493178614,0.9785,0.13163495063781738
54,0,0.12127297558493537,0.9725,0.1532517671585083
54,1,0.1298012358889456,0.945,0.14256563782691956
54,2,0.06250436128646819,0.99,0.1308010071516037
56,0,0.12132892082709262,0.971,0.15187405049800873
56,1,0.12940413713793947,0.9445,0.14125895500183105
56,2,0.0608124664368983,0.9915,0.1292094737291336
58,0,0.12123836315134148,0.9725,0.15028798580169678
58,1,0.12836386685576337,0.945,0.1396479606628418
58,2,0.06084399528683156,0.991,0.12727805972099304
60,0,0.12037977207926548,0.9725,0.14887061715126038
60,1,0.12880110135663664,0.9455,0.13969498872756958
60,2,0.05980115327715177,0.9905,0.12590950727462769
62,0,0.11937278756990506,0.973,0.14890213310718536
62,1,0.12793551236728504,0.9445,0.13870997726917267
62,2,0.05825452709066902,0.9915,0.12436924129724503
64,0,0.11878454258913154,0.9725,0.147412970662117
64,1,0.1271848065217112,0.9455,0.13767674565315247
64,2,0.05780514960395648,0.992,0.12299025058746338
66,0,0.1194668653118739,0.974,0.14625293016433716
66,1,0.1265392815767107,0.9445,0.13632388412952423
66,2,0.05638493024603624,0.992,0.12127234786748886
68,0,0.1188670937767717,0.973,0.1450435221195221
68,1,0.12430677943844815,0.951,0.13629987835884094
68,2,0.05592792857364955,0.992,0.11997459083795547
70,0,0.11798597158891534,0.974,0.14413242042064667
70,1,0.12373245623366912,0.9505,0.1349954903125763
70,2,0.05611948767229811,0.991,0.11879150569438934
72,0,0.11743684696501797,0.973,0.1428869068622589
72,1,0.12300353537548515,0.948,0.1340208202600479
72,2,0.05597957771645056,0.9905,0.11760888993740082
74,0,0.11689218131236377,0.974,0.14148719608783722
74,1,0.12212727855933321,0.9475,0.1325330138206482
74,2,0.05498854964042387,0.9915,0.11640298366546631
76,0,0.1164732893865136,0.97,0.1401115357875824
76,1,0.12140459397736733,0.9485,0.13138741254806519
76,2,0.0549424914895751,0.991,0.11474315822124481
78,0,0.11734323561548726,0.97,0.13868078589439392
78,1,0.12166331958477879,0.9505,0.1312473863363266
78,2,0.054371415473057336,0.991,0.11340697109699249
80,0,0.11655785684384101,0.9705,0.13713300228118896
80,1,0.11958033368999242,0.9505,0.13009116053581238
80,2,0.054493466231529404,0.9895,0.11201481521129608
82,0,0.11608370346349373,0.9715,0.13600334525108337
82,1,0.11859926946611264,0.9515,0.12927211821079254
82,2,0.05620133148203325,0.9865,0.11218375712633133
84,0,0.11571041916684183,0.969,0.1345689594745636
84,1,0.11818039725876457,0.9515,0.1279696524143219
84,2,0.05408375625390834,0.989,0.10970726609230042
86,0,0.11578515929726806,0.9665,0.13405990600585938
86,1,0.11737139653974661,0.95,0.12706728279590607
86,2,0.05340276008968209,0.988,0.10934799164533615
88,0,0.1153556920922434,0.965,0.13312625885009766
88,1,0.11605404740825365,0.9515,0.12709882855415344
88,2,0.0519748161267399,0.989,0.10785733908414841
90,0,0.1149844893278938,0.9645,0.13197079300880432
90,1,0.11534947361890736,0.9505,0.12573927640914917
90,2,0.05236076064827613,0.988,0.10722343623638153
92,0,0.11379600443450912,0.964,0.13067150115966797
92,1,0.11480364448170821,0.9515,0.12446784228086472
92,2,0.05095392545799429,0.9895,0.10668455064296722
94,0,0.11386799747479603,0.9625,0.12972648441791534
94,1,0.11446766456665163,0.951,0.12348534166812897
94,2,0.05088268253235962,0.989,0.10514192283153534
96,0,0.11344111575645252,0.962,0.1282663494348526
96,1,0.11396332537490178,0.951,0.12239441275596619
96,2,0.05019256688751612,0.9885,0.10397570580244064
98,0,0.11327478900305758,0.9595,0.12725770473480225
98,1,0.11248056493896072,0.9525,0.12210014462471008
98,2,0.049686758381956866,0.9895,0.10270635783672333
100,0,0.11282953349005014,0.9595,0.12620416283607483
100,1,0.11197868125357774,0.952,0.12117768824100494
100,2,0.04949401840942406,0.9885,0.10187242925167084
102,0,0.11194845411151899,0.9595,0.12518155574798584
102,1,0.11100604908921163,0.952,0.1203760951757431
102,2,0.04921688622787545,0.989,0.10118590295314789
104,0,0.11224480630583614,0.957,0.12420888245105743
104,1,0.1102289505325797,0.953,0.12031436711549759
104,2,0.04837356077166866,0.989,0.09968289732933044
106,0,0.11044632534576103,0.961,0.12357598543167114
106,1,0.10881403609059047,0.9535,0.11962945014238358
106,2,0.04787720734767711,0.989,0.09877367317676544
108,0,0.10942767276650804,0.9605,0.12294226884841919
108,1,0.10841378248081693,0.953,0.11866281926631927
108,2,0.04742849096498301,0.989,0.09831175208091736
110,0,0.10896762937871465,0.9595,0.12182191014289856
110,1,0.10826618719218939,0.952,0.11778086423873901
110,2,0.04698618786671155,0.989,0.09721784293651581
112,0,0.10859487299282378,0.96,0.12094831466674805
112,1,0.10764375474642522,0.952,0.11702615022659302
112,2,0.045856008999132405,0.9905,0.09518487751483917
114,0,0.10855793225181437,0.958,0.1198570728302002
114,1,0.10729169665846522,0.9515,0.1161302998661995
114,2,0.046627171330018334,0.989,0.09508726000785828
116,0,0.10788488241297534,0.958,0.1191103532910347
116,1,0.10702758333900958,0.951,0.1152811348438263
116,2,0.047332525692761106,0.9865,0.09494833648204803
118,0,0.10678742586464451,0.956,0.11824485659599304
118,1,0.10628863645109525,0.951,0.11431565135717392
118,2,0.04757841891739216,0.985,0.09457746148109436
120,0,0.10665972074477056,0.9555,0.11754100024700165
120,1,0.10531285679358675,0.9505,0.11369885504245758
120,2,0.04671149767517332,0.9845,0.09244397282600403
122,0,0.10546912479668423,0.9555,0.11638094484806061
122,1,0.1050062458378728,0.9515,0.11308354139328003
122,2,0.04645350907050307,0.9845,0.09160207211971283
124,0,0.10486510980600043,0.9555,0.11531175673007965
124,1,0.10433610531347559,0.949,0.11210459470748901
124,2,0.04591328623579366,0.9845,0.09069748967885971
126,0,0.10305414839776399,0.9595,0.11494362354278564
126,1,0.10315679038493732,0.9515,0.11190514266490936
126,2,0.045824571890914954,0.9835,0.08953026682138443
128,0,0.10289048687126073,0.958,0.11411598324775696
128,1,0.10072999905074213,0.958,0.1115768551826477
128,2,0.045562815230995875,0.983,0.08892667293548584
130,0,0.10285838242934961,0.9575,0.11355011910200119
130,1,0.09984490314252721,0.9585,0.11100859940052032
130,2,0.04572141427291679,0.9815,0.08859185874462128
132,0,0.102401657233337,0.9575,0.1125737726688385
132,1,0.09952378415995469,0.9575,0.11020408570766449
132,2,0.04486897690100342,0.9855,0.08741644024848938
134,0,0.10186982673914938,0.957,0.1119270920753479
134,1,0.09907492732112672,0.957,0.10945543646812439
134,2,0.04426479149546455,0.986,0.08652088046073914
136,0,0.10141573963320827,0.955,0.11091920733451843
136,1,0.09877364419423396,0.9575,0.10882385075092316
136,2,0.04514791875380296,0.985,0.08726977556943893
138,0,0.10149068865293313,0.955,0.10974456369876862
138,1,0.09839439796817953,0.9545,0.10766583681106567
138,2,0.04390691768600714,0.9855,0.08485554158687592
140,0,0.10100402112901445,0.9535,0.10903570055961609
140,1,0.09724767323243688,0.9605,0.10748313367366791
140,2,0.04325977624803901,0.9865,0.08406674116849899
142,0,0.10056034293155522,0.9535,0.10818400979042053
142,1,0.09637416809282666,0.9615,0.10681170225143433
142,2,0.043266184140260816,0.986,0.08385922759771347
144,0,0.09834179897902695,0.957,0.10768212378025055
144,1,0.0950967676892027,0.963,0.10616040229797363
144,2,0.042254149979217524,0.9865,0.0828598365187645
146,0,0.09763235567125314,0.9565,0.10727307200431824
146,1,0.09494461020469945,0.9635,0.10562402009963989
146,2,0.042789502393906276,0.985,0.08213399350643158
148,0,0.09761620687835293,0.9565,0.106459841132164
148,1,0.09446675043005609,0.962,0.1045660674571991
148,2,0.04228517478010962,0.984,0.08143772184848785
150,0,0.09741535541285941,0.956,0.10559091717004776
150,1,0.09433268267866714,0.9625,0.1034945398569107
150,2,0.04148741007341363,0.984,0.08032877743244171
