g,P,Pb,Pw,nb_prev,nb,nw_prev,nw,ntr,npar,nPmid,Dv,pm,pn,nc,estado,lote,score,ftm,arc,fe
1,21,6,5,5,5,4,4,9,72,5,2,0.5,0.0,1,3,1,0,20,22,22
2,22,6,5,5,5,4,4,9,72,5,2,0.5,0.0,1,3,1,0,20,23,23
3,23,6,6,5,5,5,5,10,90,5,2,0.0,0.0,2,3,1,0,20,24,24
4,24,6,6,5,5,5,5,10,90,7,2,0.0,0.5,1,3,1,0,20,25,25
5,25,7,6,6,6,5,5,11,110,7,2,0.0,0.0,2,3,1,0,24,26,26
6,26,7,6,6,6,5,5,11,110,7,2,0.5,0.0,1,3,1,0,25,27,27
7,27,7,7,6,6,6,6,12,132,7,2,0.5,0.0,1,3,1,0,25,28,28
8,28,7,7,6,6,6,6,12,132,7,2,0.5,0.5,0,3,1,0,25,29,29
9,29,8,7,6,6,6,6,12,132,7,3,0.3333333333333333,0.0,2,3,1,0,28,30,29
10,30,8,7,6,6,6,6,12,132,7,3,0.0,0.0,3,3,1,0,28,31,30
11,31,8,8,6,6,6,6,12,132,7,4,0.25,0.25,2,3,1,0,28,32,31
12,32,8,8,6,6,6,6,12,132,9,4,0.5,0.25,1,3,1,0,28,33,31
13,33,9,8,7,7,6,6,13,156,9,4,0.5,0.0,2,3,1,0,28,34,32
14,34,9,8,7,7,6,6,13,156,9,4,0.5,0.0,2,3,1,0,28,35,33
15,35,9,9,7,7,7,7,14,182,9,4,0.5,0.0,2,3,1,0,29,36,34
16,36,9,9,7,7,7,7,14,182,9,4,0.5,0.0,2,3,1,0,31,37,35
17,37,10,9,8,8,7,7,15,210,9,4,0.5,0.0,2,3,1,0,33,38,36
18,38,10,9,8,8,7,7,15,210,9,4,0.5,0.0,2,3,1,0,33,39,37
19,39,10,10,8,8,8,8,16,240,9,4,0.5,0.5,0,3,1,0,36,40,38
20,40,10,10,8,8,8,8,16,240,11,4,0.5,0.0,2,3,1,0,36,41,39
21,41,11,10,9,9,8,8,17,272,11,4,0.5,0.0,2,3,1,0,37,42,40
22,42,11,10,9,9,8,8,17,272,11,4,0.25,0.0,3,3,1,0,37,43,41
23,43,11,11,9,9,9,9,18,306,11,4,0.5,0.5,0,3,1,0,38,44,42
24,44,11,11,9,9,9,9,18,306,11,4,0.5,0.0,2,3,1,0,38,45,43
25,45,12,11,9,9,9,9,18,306,11,5,0.4,0.4,1,3,1,0,42,46,44
26,46,12,11,9,9,9,9,18,306,11,5,0.2,0.2,3,3,1,0,42,47,45
27,47,12,12,9,9,9,9,18,306,11,6,0.6666666666666666,0.3333333333333333,0,3,1,0,44,48,46
28,48,12,12,9,9,9,9,18,306,13,6,0.16666666666666666,0.16666666666666666,4,3,1,0,42,49,47
29,49,13,12,10,10,9,9,19,342,13,6,0.6666666666666666,0.0,2,3,1,0,42,50,48
30,50,13,12,10,10,9,9,19,342,13,6,0.6666666666666666,0.0,2,3,1,0,44,51,49
31,50,13,12,10,10,9,9,19,342,13,6,0.0,0.3333333333333333,4,3,1,0,48,52,50
32,50,13,12,10,10,9,9,19,342,13,6,0.16666666666666666,0.6666666666666666,1,3,1,0,49,53,51
33,50,13,12,10,10,9,9,19,342,13,6,0.3333333333333333,0.16666666666666666,3,3,1,0,50,54,52
34,50,13,12,10,10,9,9,19,342,13,6,0.3333333333333333,0.5,1,3,1,0,50,55,53
35,50,13,12,10,10,9,9,19,342,13,6,0.5,0.16666666666666666,2,3,1,0,50,56,54
36,50,13,12,10,10,9,9,19,342,13,6,0.5,0.3333333333333333,1,3,1,0,53,57,55
37,50,13,12,10,10,9,9,19,342,13,6,0.3333333333333333,0.16666666666666666,3,3,1,0,53,58,56
38,50,13,12,10,10,9,9,19,342,13,6,0.16666666666666666,0.5,2,3,1,0,53,59,57
39,50,13,12,10,10,9,9,19,342,13,6,0.16666666666666666,0.16666666666666666,4,3,1,0,53,60,58
40,50,13,12,10,10,9,9,19,342,13,6,0.0,0.16666666666666666,5,3,1,0,50,61,59
41,50,13,12,10,10,9,9,19,342,13,6,0.3333333333333333,0.0,4,3,1,0,53,62,60
42,50,13,12,10,10,9,9,19,342,13,6,0.3333333333333333,0.16666666666666666,3,3,1,0,58,63,61
