g,n,var_obs,var_null_med,razao,p
1,5,0.247084,0.00111525,221.55032503922888,0.0024937655860349127
2,5,0.24602500000000002,0.00108,227.80092592592595,0.0024937655860349127
4,7,0.18865727283276496,0.0018831352197708833,100.18254178036055,0.0024937655860349127
6,7,0.2631636592132053,0.0014396154790109863,182.80135428524173,0.0024937655860349127
8,7,0.24856794473925264,0.0019725147892271627,126.01575719320327,0.0024937655860349127
10,7,0.22043358625048404,0.0011933722805953066,184.71485372571422,0.0024937655860349127
12,9,0.2344222337557888,0.0021838237223835376,107.34485176300232,0.0024937655860349127
14,9,0.30628537614218826,0.0023499967295086592,130.33438399985639,0.0024937655860349127
16,9,0.21669360350018527,0.0023358908558633006,92.76700705269016,0.0024937655860349127
18,9,0.2251186046322352,0.002246190626727652,100.22239517587062,0.0024937655860349127
20,11,0.23482866696258722,0.0032980926200828604,71.20135606036663,0.0024937655860349127
22,11,0.24850730518000583,0.003026594832243474,82.1078865702678,0.0024937655860349127
24,11,0.2324939323838901,0.0030605467503815337,75.9648361374996,0.0024937655860349127
26,11,0.24984412713160875,0.0030841654641224326,81.00866507909598,0.0024937655860349127
28,13,0.21971443606037383,0.0035804024906041696,61.365848291346275,0.0024937655860349127
30,13,0.192638118612375,0.0037841819315823973,50.906146188331185,0.0024937655860349127
32,13,0.21395444885104015,0.0041031762438959625,52.143616587107786,0.0024937655860349127
34,13,0.19991503405206196,0.004535356753784231,44.079230125668936,0.0024937655860349127
36,13,0.18536694212690646,0.00453233505446575,40.89877290609016,0.0024937655860349127
38,13,0.1521296674367364,0.0038074724305448603,39.95555324742462,0.0024937655860349127
40,13,0.11725565109954654,0.003237208524136129,36.221222768106045,0.0024937655860349127
42,13,0.18949530259846242,0.004476926074359783,42.32710110710527,0.0024937655860349127
