g,n,rank_de_n,argmax,V_n,V_2o,razao
1,5,1,5,928.192469471159,808.5344458053029,1.1479937240604219
2,5,1,5,971.6627172195895,846.429337597733,1.1479549137288692
4,7,1,7,651.9708750154796,602.6116173499181,1.081908904913959
6,7,1,7,1119.0480791147202,1009.4679327680777,1.1085523797136982
8,7,1,7,779.5655152456001,710.7186297745637,1.0968693975179378
10,7,1,7,1110.7530606675766,1006.7395335064136,1.1033172173132906
12,9,1,9,859.599479873525,798.8854981347044,1.075998352555629
14,9,1,9,1075.3668055901671,996.0162103435819,1.0796679757041432
16,9,1,9,775.2544233705253,723.3109085995518,1.07181353710197
18,9,1,9,824.4253900285761,765.9547757159743,1.076336901559164
20,11,1,11,747.1830098194526,16.967358240993526,44.036496383640994
22,11,1,11,884.7859108354163,13.390357927188369,66.07634505713311
24,11,1,11,771.6546445989677,13.813312971716801,55.86311163577885
26,11,1,11,800.3629794692238,13.140451511720864,60.90833170803344
28,13,1,13,757.6327709974862,12.680793775082888,59.746478370005185
30,13,1,13,596.322392313796,18.559765535159794,32.12984513107761
32,13,1,13,630.2693241649554,17.524547925518725,35.96494054189986
34,13,1,13,541.8580144945668,19.940440584871837,27.173823576679485
36,13,1,13,495.54445532616813,18.211796447223414,27.210080936398743
38,13,1,13,461.07895557587915,33.1102519470601,13.92556469558423
40,13,1,13,449.17593832334535,21.647529070646186,20.749524662028197
42,13,1,13,535.632846550923,14.72643642487104,36.37219698625179
