g,n,nuniq,frac_m1,frac_0,frac_p1,auc_bom,auc_nd,nPmid,p_mais
1,2000,3,0.3335,0.3345,0.332,0.5817610817610818,0.4880036204867022,5,0.5
2,2000,3,0.3165,0.367,0.3165,0.5608315608315608,0.4551237859410686,5,0.5
4,2000,3,0.395,0.314,0.291,0.5844840844840845,0.5109552550989302,7,0.0
6,2000,3,0.2025,0.421,0.3765,0.541006041006041,0.5208764204079144,7,0.5
8,2000,3,0.326,0.2455,0.4285,0.5714205714205715,0.510880219105102,7,0.5
10,2000,3,0.147,0.4905,0.3625,0.5353095353095353,0.5109880833462301,7,0.0
12,2000,3,0.262,0.3765,0.3615,0.5498070498070498,0.470524923674325,9,0.5
14,2000,3,0.2705,0.3465,0.383,0.5442860442860443,0.4580642589492147,9,0.5
16,2000,3,0.2845,0.367,0.3485,0.531036531036531,0.45214579493600837,9,0.5
18,2000,3,0.274,0.3805,0.3455,0.536932536932537,0.4714464594735287,9,0.5
20,2000,3,0.35,0.3085,0.3415,0.5233215233215234,0.5027904010204896,11,0.5
22,2000,3,0.22,0.3285,0.4515,0.5504600504600504,0.5219175448222819,11,0.25
24,2000,3,0.315,0.336,0.349,0.5540960540960541,0.4761479334618325,11,0.5
26,2000,3,0.283,0.2935,0.4235,0.5384900384900385,0.5044505723839404,11,0.2
28,2000,3,0.266,0.36,0.374,0.5121100121100121,0.43933339898982793,13,0.16666666666666666
30,2000,3,0.2985,0.2865,0.415,0.5612315612315613,0.4497000905121676,13,0.6666666666666666
32,2000,3,0.3525,0.2635,0.384,0.5298270298270298,0.44410990897196,13,0.16666666666666666
34,2000,3,0.333,0.1755,0.4915,0.5323625323625324,0.4518386163362738,13,0.3333333333333333
36,2000,3,0.4255,0.188,0.3865,0.5265845265845266,0.481702941879933,13,0.5
38,2000,3,0.465,0.252,0.283,0.49696099696099694,0.4910472679863622,13,0.16666666666666666
40,2000,3,0.35,0.42,0.23,0.4922499922499923,0.4776298943399412,13,0.0
42,2000,3,0.4065,0.2315,0.362,0.535973035973036,0.4970735962406967,13,0.3333333333333333
