problema,D,pool,marcadas,frac_marcadas,copias,frac_copias
MMF1,2,800,561,0.70125,741,0.92625
MMF4,2,800,540,0.675,703,0.87875
MMF11_L,2,800,517,0.64625,697,0.87125
DTLZ1,7,9800,141,0.014387755102040817,1151,0.11744897959183674
BBOB_F37,10,20000,202,0.0101,1267,0.06335
ZDT6,10,20000,209,0.01045,1228,0.0614
ZDT4,10,20000,227,0.01135,828,0.0414
BBOB_F22,10,20000,201,0.01005,776,0.0388
BBOB_F17,10,20000,202,0.0101,721,0.03605
BBOB_F49,10,20000,203,0.01015,566,0.0283
BBOB_F55,10,20000,209,0.01045,385,0.01925
BBOB_F1,10,20000,200,0.01,287,0.01435
BBOB_F5,10,20000,201,0.01005,246,0.0123
DTLZ2,12,28800,242,0.008402777777777778,292,0.010138888888888888
DTLZ3,12,28800,240,0.008333333333333333,248,0.008611111111111111
DTLZ4,12,28800,241,0.008368055555555556,246,0.008541666666666666
MMF16_20,20,80000,400,0.005,401,0.0050125
WFG4,22,96800,440,0.004545454545454545,443,0.004576446280991736
WFG2,22,96800,440,0.004545454545454545,442,0.0045661157024793385
DTLZ7,22,96800,440,0.004545454545454545,440,0.004545454545454545
WFG1,22,96800,440,0.004545454545454545,440,0.004545454545454545
WFG5,22,96800,440,0.004545454545454545,440,0.004545454545454545
WFG9,22,96800,440,0.004545454545454545,440,0.004545454545454545
ZDT1,30,180000,600,0.0033333333333333335,602,0.0033444444444444446
ZDT3,30,180000,600,0.0033333333333333335,600,0.0033333333333333335
