fonte,geracao,D,M,n_amostra,n_front,nd_weak,nd_std,nd_strict,front_exato,front_bracket,eim_best,eim_rec_max,abs_max,rel_max,eim_rec_infill,rel_infill,argmax_eh_infill,gap_argmax,eim_med_rec,eim_med_log,rel_med,pool_n,pool_med_sobre_max,pool_min_sobre_max,sigma0_muda_argmax,n2_ok,frac_exploracao,min_dist_log,min_dist_rec,pool_coincide_antigo,eim_zero,s_best_min,lam_abs_max,u11_err,u11_otimista,u11_cob,u11_err_modelo,norm_min_ok,norm_max_ok,range_ok
T11_smoke,1,2,2,21,7,7,7,7,True,True,0.07881571367814554,0.07881570642702389,7.251121647566805e-09,9.200096413740192e-08,0.07881570642702389,9.200096413740192e-08,True,0.0,0.07881570642702389,0.07881571367814554,9.200096413740192e-08,20,1.0,1.0,False,True,1.329375106986002,0.06442464994295596,0.06442464443893058,0,0,0.2512325644493103,2.0498473340986467,0.2849993988057782,1,2,0.18606806899125805,1.386580860798942e-08,4.672978251492722e-09,0.0
T11_smoke,2,2,2,22,7,7,7,7,True,True,0.11911363587462684,0.11911363885188084,2.9772539988925928e-09,2.4995072789368165e-08,0.11911363885188084,2.4995072789368165e-08,True,0.0,0.11911363885188084,0.11911363587462684,2.4995072789368165e-08,20,1.0,1.0,False,True,0.8899310471190742,0.47777374722801136,0.47777375561654783,0,0,0.0077097476460039616,100.97388281500804,4.232306796151898,2,0,0.5696836882720147,1.386580860798942e-08,4.672978251492722e-09,0.0
T11_smoke,3,2,2,23,7,7,7,7,True,True,0.198234036460722,0.19823404004041661,3.5796946240562733e-09,1.805792127309859e-08,0.19823404004041661,1.805792127309859e-08,True,0.0,0.19823404004041661,0.19823403646069912,1.8058036644783135e-08,20,1.0,1.0,False,True,0.19891712120988125,0.1539447698256195,0.15394474642926603,0,0,0.022543583065271378,29.539792846670853,1.0427072144511351,1,2,0.1403521342678774,1.386580860798942e-08,4.672978251492722e-09,0.0
T11_smoke,4,2,2,24,6,6,6,6,True,True,0.09435697760568604,0.09435697576514043,1.840545604814281e-09,1.950619500028759e-08,0.09435697576514043,1.950619500028759e-08,True,0.0,0.09435697576514043,0.09435697760568604,1.950619500028759e-08,20,1.0,1.0,False,True,0.7036630944763509,0.2125339101594531,0.21253392331345614,0,0,0.16991999745368958,2.0412769717948285,0.6094831846702,1,2,0.27331741737856463,1.386580860798942e-08,4.672978251492722e-09,0.0
T11_smoke,5,2,2,25,6,6,6,6,True,True,0.1028879783156224,0.10288797584957876,2.4660436331869207e-09,2.3968238792893837e-08,0.10288797584957876,2.3968238792893837e-08,True,0.0,0.10288797584957876,0.1028879783156224,2.3968238792893837e-08,20,1.0,1.0,False,True,0.5226624709964209,0.21910179332153173,0.2191018266186363,0,0,0.04187465459108353,17.718888902631196,5.117179574421462,2,0,0.6887907408218076,1.386580860798942e-08,4.672978251492722e-09,0.0
T11_smoke,6,2,2,26,6,6,6,6,True,True,0.16758535212373374,0.16758535068119668,1.4425370620241296e-09,8.607775343987446e-09,0.16758535068119668,8.607775343987446e-09,True,0.0,0.16758535068119668,0.16758535212373374,8.607775343987446e-09,20,1.0,1.0,False,True,0.3341489696508237,0.204404459486828,0.20440440979082183,0,0,0.052894800901412964,11.74739153284706,1.6246949019799755,1,2,0.21868976628023098,1.386580860798942e-08,4.672978251492722e-09,0.0
T11_smoke,7,2,2,27,6,6,6,6,True,True,0.17688670268380768,0.17688670015783411,2.5259735692007013e-09,1.4280177824988822e-08,0.17688670015783411,1.4280177824988822e-08,True,0.0,0.17688670015783411,0.17688670268380768,1.4280177824988822e-08,20,1.0,1.0,False,True,0.46607955504612164,0.2692985913690663,0.26929863329855697,0,0,0.03137854486703873,11.55172787549238,1.5359289155269564,2,1,0.20674154584365073,1.386580860798942e-08,4.672978251492722e-09,0.0
T11_smoke,8,2,2,28,6,6,6,6,True,True,0.09363601779187251,0.0936360187411836,9.493110880720579e-10,1.0138311201808253e-08,0.0936360187411836,1.0138311201808253e-08,True,0.0,0.0936360187411836,0.09363601779187251,1.0138311201808253e-08,20,1.0,1.0,False,True,0.8893033056060131,0.2136352845231585,0.21363539518772212,0,0,0.04106936976313591,11.106243951956907,0.13177747092976555,1,2,0.017737720653588626,1.386580860798942e-08,4.672978251492722e-09,0.0
T11_smoke,9,2,2,29,7,7,7,7,True,True,0.08252619350035967,0.08252619584715497,2.3467952997568986e-09,2.8436974979909507e-08,0.08252619584715497,2.8436974979909507e-08,True,0.0,0.08249148521675079,0.08249148344288183,2.15036617171566e-08,20,0.9995793986376342,0.9995793986376342,False,True,0.8686313591875872,0.1428480881754887,0.14284813135198332,0,0,0.026695698499679565,14.653792034499531,0.8497991411957109,2,1,0.11438601508920199,1.386580860798942e-08,4.672978251492722e-09,0.0
T11_smoke,10,2,2,30,7,7,7,7,True,True,0.07690141464248267,0.07690141964547073,5.002988065494485e-09,6.505716557690842e-08,0.07690141964547073,6.505716557690842e-08,True,0.0,0.07690141964547073,0.07690141464248267,6.505716557690842e-08,20,1.0,1.0,False,True,0.8015562574055828,0.06615897604070253,0.06615896995116771,0,0,0.00723662506788969,53.606604768657796,2.047741721720273,2,2,0.27563338690823547,1.386580860798942e-08,4.672978251492722e-09,0.0
T11_smoke,11,2,2,31,7,7,7,7,True,True,0.5123600677880096,0.5123600407598528,2.7028156823760696e-08,5.275227037198315e-08,0.5123600407598528,5.275227037198315e-08,True,0.0,0.5123600407598528,0.5123600677880096,5.275227037198315e-08,20,1.0,1.0,False,True,0.033705550100388705,0.49008039344228704,0.4900804207067629,0,0,0.12739598751068115,12.439339368961157,3.9095466321954238,1,0,0.5763414267400893,1.386580860798942e-08,4.672978251492722e-09,0.0
T11_smoke,12,2,2,32,7,7,7,7,True,True,0.08415543081231719,0.08415543099437028,1.8205309482155485e-10,2.1632958570144842e-09,0.08415543099437028,2.1632958570144842e-09,True,0.0,0.08415543099437028,0.08415543081231719,2.1632958570144842e-09,20,1.0,1.0,False,True,0.8793411153157089,0.08729145423185311,0.08729152875489488,0,0,0.0613120011985302,6.1034484365676445,0.32473218517151947,1,2,0.056463091138301114,1.386580860798942e-08,2.115828131046795e-08,0.0
T11_smoke,13,2,2,33,8,8,8,8,True,True,0.186737248578273,0.186737245101775,3.476498006138584e-09,1.8617057028562628e-08,0.186737245101775,1.8617057028562628e-08,True,0.0,0.186737245101775,0.186737248578273,1.8617057028562628e-08,20,1.0,1.0,False,True,0.8771303546378251,0.5117920415154417,0.5117920504684732,0,0,0.2806532084941864,2.060610848823315,5.769549793080304,2,1,0.7766021141897065,1.386580860798942e-08,2.115828131046795e-08,0.0
