problema,D,M,n_real,esperado,u1,fe_denso,sid_unico,n_init,init_esperado,u2_n,dX_f32,dX_f64,doe_hash_ok,n_gens,n_blocos,cad_ok,final_ok,blocos_ok,S_lin,n_falhas,viol_tempo,guards,cache_hits,g2,g2_esperado,tam2_ok,dup_ult,n_opt,c0,termino,status,cp_init,aval_aquisicao
BBOB_F1,10,2,309,309,1,True,1,109,109,1,0.0,2.375113989927513e-07,True,200,101,1,1,1,202000,0,0,"{""guard"": 1}",1,201,201,1,0,200,1,normal,ok,True,4000000
BBOB_F17,10,2,309,309,1,True,1,109,109,1,0.0,2.3787903291605517e-07,True,200,101,1,1,1,202000,0,0,"{""guard"": 1}",1,201,201,1,0,200,1,normal,ok,True,4000000
BBOB_F22,10,2,309,309,1,True,1,109,109,1,0.0,2.345476923792944e-07,True,200,101,1,1,1,202000,0,0,"{""guard"": 1}",1,201,201,1,0,200,1,normal,ok,True,4000000
BBOB_F37,10,2,309,309,1,True,1,109,109,1,0.0,2.3685163252906705e-07,True,200,101,1,1,1,202000,0,0,"{""guard"": 1}",1,201,201,1,0,200,1,normal,ok,True,4000000
BBOB_F49,10,2,309,309,1,True,1,109,109,1,0.0,2.365150315597475e-07,True,200,101,1,1,1,202000,0,0,"{""guard"": 1}",1,201,201,1,0,200,1,normal,ok,True,4000000
BBOB_F5,10,2,309,309,1,True,1,109,109,1,0.0,2.3727650955152058e-07,True,200,101,1,1,1,202000,0,0,"{""guard"": 1}",1,201,201,1,0,200,1,normal,ok,True,4000000
BBOB_F55,10,2,309,309,1,True,1,109,109,1,0.0,2.3578255614609134e-07,True,200,101,1,1,1,202000,0,0,"{""guard"": 1}",1,201,201,1,0,200,1,normal,ok,True,4000000
DTLZ1,7,3,216,216,1,True,1,76,76,1,0.0,2.968073053999376e-08,True,140,71,1,1,1,142000,0,0,"{""guard"": 1}",1,141,141,1,0,140,1,normal,ok,True,1960000
DTLZ2,12,3,371,371,1,True,1,131,131,1,0.0,2.976508484131557e-08,True,240,121,1,1,1,242000,0,0,"{""guard"": 1}",1,241,241,1,0,240,1,normal,ok,True,5760000
DTLZ3,12,3,371,371,1,True,1,131,131,1,0.0,2.9797159739608503e-08,True,240,121,1,1,1,242000,0,0,"{""guard"": 1}",1,241,241,1,0,240,1,normal,ok,True,5760000
DTLZ4,12,3,371,371,1,True,1,131,131,1,0.0,2.974925017440455e-08,True,240,121,1,1,1,242000,0,0,"{""guard"": 1}",1,241,241,1,0,240,1,normal,ok,True,5760000
DTLZ7,22,3,681,681,1,True,1,241,241,1,0.0,2.9791798028533378e-08,True,440,221,1,1,1,442000,0,0,"{""guard"": 1}",1,441,441,1,0,440,1,normal,ok,True,19360000
MMF1,2,2,61,61,1,True,1,21,21,1,0.0,1.1457521598146059e-07,True,40,21,1,1,1,42000,0,0,"{""guard"": 1}",1,41,41,1,0,40,1,normal,ok,True,160000
MMF11_L,2,2,61,61,1,True,1,21,21,1,0.0,5.8479016962209585e-08,True,40,21,1,1,1,42000,0,0,"{""guard"": 1}",1,41,41,1,0,40,1,normal,ok,True,160000
MMF16_20,20,3,619,619,1,True,1,219,219,1,0.0,2.9796276557192414e-08,True,400,201,1,1,1,402000,0,0,"{""guard"": 1}",1,401,401,1,0,400,1,normal,ok,True,16000000
MMF4,2,2,61,61,1,True,1,21,21,1,0.0,5.4513727754113006e-08,True,40,21,1,1,1,42000,0,0,"{""guard"": 1}",1,41,41,1,0,40,1,normal,ok,True,160000
WFG1,22,2,681,681,1,True,1,241,241,1,0.0,1.9048635309104611e-06,True,440,221,1,1,1,442000,0,0,"{""guard"": 1}",1,441,441,1,0,440,1,normal,ok,True,19360000
WFG2,22,2,681,681,1,True,1,241,241,1,0.0,1.9052260000762544e-06,True,440,221,1,1,1,442000,0,0,"{""guard"": 1}",1,441,441,1,0,440,1,normal,ok,True,19360000
WFG4,22,2,681,681,1,True,1,241,241,1,0.0,1.9042712366967862e-06,True,440,221,1,1,1,442000,0,0,"{""guard"": 1}",1,441,441,1,0,440,1,normal,ok,True,19360000
WFG5,22,2,681,681,1,True,1,241,241,1,0.0,1.8893242028639179e-06,True,440,221,1,1,1,442000,0,0,"{""guard"": 1}",1,441,441,1,0,440,1,normal,ok,True,19360000
WFG9,22,2,681,681,1,True,1,241,241,1,0.0,1.9070339618565413e-06,True,440,221,1,1,1,442000,0,0,"{""guard"": 1}",1,441,441,1,0,440,1,normal,ok,True,19360000
ZDT1,30,2,929,929,1,True,1,329,329,1,0.0,2.978190016822424e-08,True,600,301,1,1,1,602000,0,0,"{""guard"": 1}",1,601,601,1,0,600,1,normal,ok,True,36000000
ZDT3,30,2,929,929,1,True,1,329,329,1,0.0,2.9800702572302384e-08,True,600,301,1,1,1,602000,0,0,"{""guard"": 1}",1,601,601,1,0,600,1,normal,ok,True,36000000
ZDT4,10,2,309,309,1,True,1,109,109,1,0.0,2.374759207057764e-07,True,200,101,1,1,1,202000,0,0,"{""guard"": 1}",1,201,201,1,0,200,1,normal,ok,True,4000000
ZDT6,10,2,309,309,1,True,1,109,109,1,0.0,2.979843327644005e-08,True,200,101,1,1,1,202000,0,0,"{""guard"": 1}",1,201,201,1,0,200,1,normal,ok,True,4000000
