tag,n_it,best_eq_ultima,pares,viol_I12,viol_ident,viol_aleat
BBOB_F1,201,15,0,0,0,0
BBOB_F17,201,21,2,0,0,2
BBOB_F22,201,20,0,0,0,0
BBOB_F37,201,32,0,0,0,0
BBOB_F49,201,29,0,0,0,0
BBOB_F5,201,20,0,0,0,0
BBOB_F55,201,23,0,0,0,0
DTLZ1,141,41,32,0,16,31
DTLZ2,241,33,0,0,0,0
DTLZ3,241,42,1,0,0,1
DTLZ4,241,115,0,0,0,0
MMF1,41,21,51,1,18,44
MMF11_L,41,22,116,11,46,99
MMF4,41,26,58,0,6,50
WFG2,441,53,0,0,0,0
WFG4,441,67,0,0,0,0
WFG5,441,83,0,0,0,0
WFG9,441,68,0,0,0,0
ZDT1,640,82,5684,1113,2832,3862
ZDT4,201,18,0,0,0,0
ZDT6,202,41,34,0,25,33
