tag,joia4_ok,joia4_tot,joia4_errmax,joia4_piso,ard_vivo,ard_tot,lsc_1,lsc_N,pares_hp_iguais,cache_hits,doe_dx_f32,n_dec
BBOB_F1,400,400,0.0,400,402,402,"[1.2656, 1.2928]","[1.8323, 1.8991]",0,0,0.0,201
BBOB_F17,400,400,0.0,400,402,402,"[2.3159, 0.9872]","[5.1015, 1.5986]",0,0,0.0,201
BBOB_F22,400,400,0.0,400,402,402,"[1.1619, 1.0434]","[1.874, 1.1865]",0,0,0.0,201
BBOB_F37,400,400,0.0,400,402,402,"[0.9657, 0.6309]","[1.372, 1.238]",0,0,0.0,201
BBOB_F49,400,400,0.0,400,402,402,"[0.7886, 0.3448]","[1.2546, 0.2537]",0,0,0.0,201
BBOB_F5,400,400,0.0,400,402,402,"[1.2327, 0.9801]","[1.9268, 0.93]",0,0,0.0,201
BBOB_F55,400,400,0.0,400,402,402,"[0.3742, 0.4383]","[0.4076, 0.2815]",0,0,0.0,201
DTLZ1,420,420,0.0,420,423,423,"[0.6633, 0.76, 0.5414]","[0.5713, 0.4203, 0.4746]",0,0,0.0,141
DTLZ2,720,720,7.104603236360771e-09,0,723,723,"[1.2015, 1.3208, 1.2645]","[2.2947, 2.2956, 2.3599]",0,0,0.0,241
DTLZ3,720,720,0.0,720,723,723,"[1.1274, 0.8508, 0.8387]","[3.2866, 3.1704, 0.631]",0,0,0.0,241
DTLZ4,720,720,4.1526690617257306e-08,0,723,723,"[0.5013, 1.0006, 1.1248]","[0.8991, 4.1358, 3.9836]",0,0,0.0,241
MMF1,80,80,3.1055560909255745e-08,40,82,82,"[0.3183, 0.1113]","[0.1319, 0.0429]",0,0,0.0,41
MMF11_L,80,80,1.77983987323392e-08,40,82,82,"[1.583, 0.3977]","[2.1853, 0.3463]",0,0,0.0,41
MMF4,80,80,6.293752262475729e-08,0,82,82,"[0.2843, 0.0862]","[0.1287, 0.0954]",0,0,0.0,41
WFG2,880,880,2.06725703012384e-08,335,882,882,"[1.6647, 0.4252]","[1.2403, 1.8388]",0,0,0.0,441
WFG4,880,880,2.554643348280214e-08,0,882,882,"[1.323, 1.3126]","[1.419, 1.6241]",0,0,0.0,441
WFG5,880,880,1.429256327528737e-07,0,882,882,"[1.6558, 1.6339]","[3.5838, 4.2529]",0,0,0.0,441
WFG9,880,880,1.0241707077934771e-08,10,882,882,"[0.602, 0.3673]","[0.9945, 0.8836]",0,0,0.0,441
ZDT1,1278,1278,4.110008362942388e-09,616,1280,1280,"[2.8367, 1.8942]","[4.4039, 2.7787]",39,39,0.0,640
ZDT4,400,400,9.751426324688669e-09,200,402,402,"[2.8917, 0.4888]","[3.5705, 0.0521]",0,0,0.0,201
ZDT6,402,402,6.585788310033425e-08,166,404,404,"[0.5591, 1.6075]","[2.5492, 0.1089]",1,1,0.0,202
