label,exp,tier,dist,problema,D,M,N,I_eff,n_ger,status,motivo_parada,schema_version,repo_hash,campanha_id,u1_fe,u1_tempo_aval,u1_init,u1_fe_index,u1_N_esperado,u3_timing_linhas,u3_ger_51i,u10_nger,u10_denso,u10_ledger,u10_fases,u4_2blocos,u4_20000,u4_linhas,u4_ger_null,u8_fetreino,u9_cache,n_guard,n_retry,n_footer,guards,u11_pop_vazia,u11_rsid,n_sur,f3_monot,f3_passo,f3_ngps_folhas,f3_teto,cobertura_final,cob_completa,prof_max,I_max,pop_max,pop_min_1_50,c11_nacum,n_final,n_nd,u2_dx,u2_df,u2_hash,u2_doe,f1_bitid,f1_1000,u5_dx,f2_nan_1_50,f2_nan_build,f2_nan_final,f2_nan_sonda,n_sigma_valido_sonda,u12_nd,u12_link,u12_ratio,u12_osid_null,u7_viol,u7_igual,u7_sonda_linhas
BBOB_F1,off,small,lhs,BBOB_F1,10,2,309,4,1204,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,96866,1,1,1,1,0.6747572815533981,0,2,4,50,6,4,50,17,1,1,0,1,1,1,2.384185791015625e-07,1.0,0.23513740886146944,0.0013974343507459686,0.324625,27015,1,0.0,0.34,1,0,4,1
BBOB_F17,off,small,lhs,BBOB_F17,10,2,309,4,1204,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,51857,1,1,1,1,1.0,1,2,4,50,3,4,2,1,1,1,0,1,1,1,2.384185791015625e-07,1.0,0.09918478260869565,0.0,0.0,40000,1,0.0,0.5,1,0,4,1
BBOB_F22,off,small,lhs,BBOB_F22,10,2,309,4,1204,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,72427,1,1,1,1,1.0,1,1,4,50,3,4,14,2,1,1,0,1,1,1,2.384185791015625e-07,1.0,0.04523809523809524,0.0,0.0,40000,1,0.0,0.14285714285714285,1,0,4,1
BBOB_F37,off,small,lhs,BBOB_F37,10,2,309,4,1204,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,94208,1,1,1,1,0.8349514563106797,0,2,4,50,4,4,50,5,1,1,0,1,1,1,2.384185791015625e-07,1.0,0.15562067929065224,0.0005046894057282248,0.16505,33398,1,0.0,0.1,1,0,4,1
BBOB_F49,off,small,lhs,BBOB_F49,10,2,309,4,1204,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,78185,1,1,1,1,0.8236245954692556,0,2,4,46,4,4,32,5,1,1,0,1,1,1,2.384185791015625e-07,1.0,0.18998351950192272,0.0002444688913335778,0.17715,32914,1,0.0,0.15625,1,0,4,1
BBOB_F5,off,small,lhs,BBOB_F5,10,2,309,4,1204,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,96518,1,1,1,1,0.6618122977346278,0,2,4,50,4,4,50,2,1,1,0,1,1,1,2.384185791015625e-07,1.0,0.03542375388256175,0.0013264465301364632,0.3504,25984,1,0.0,0.04,1,0,4,1
BBOB_F55,off,small,lhs,BBOB_F55,10,2,309,4,1204,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,97380,1,1,1,1,0.3592233009708738,0,2,4,50,4,4,50,7,1,1,0,1,1,1,2.384185791015625e-07,1.0,0.03780228541057667,0.0011533678340755005,0.64635,14146,1,0.0,0.14,1,0,4,1
DTLZ1,off,small,lhs,DTLZ1,7,3,216,4,1204,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,152688,1,1,1,1,1.0,1,2,4,104,8,4,104,21,1,1,0,1,1,1,2.9802322387695312e-08,1.0,0.11160412848461464,0.0,0.0,60000,1,0.0,0.20192307692307693,1,0,4,1
DTLZ2,off,small,lhs,DTLZ2,12,3,371,4,1204,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,144031,1,1,1,1,1.0,1,2,4,95,7,4,94,93,1,1,0,1,1,1,2.9802322387695312e-08,1.0,0.08323307110905445,0.0,0.0,60000,1,0.0,0.9893617021276596,1,0,4,1
DTLZ3,off,small,lhs,DTLZ3,12,3,371,4,1204,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,144472,1,1,1,1,1.0,1,1,4,96,4,4,95,36,1,1,0,1,1,1,2.9802322387695312e-08,1.0,0.058434905493729025,0.0,0.0,60000,1,0.0,0.37894736842105264,1,0,4,1
