label,exp,tier,dist,problema,artefato,u2_dx,u2_df,u2_hx,u2_hf,n4,u7_viol_ulp,u7_viol_1e6,u7_exato,u7_dmax
BBOB_F1,off,small,lhs,BBOB_F1,ds_BBOB_F1_42.parquet,1,1,1,1,4,0,0,4,0.0
BBOB_F17,off,small,lhs,BBOB_F17,ds_BBOB_F17_42.parquet,1,1,1,1,4,0,0,4,0.0
BBOB_F22,off,small,lhs,BBOB_F22,ds_BBOB_F22_42.parquet,1,1,1,1,4,0,0,4,0.0
BBOB_F37,off,small,lhs,BBOB_F37,ds_BBOB_F37_42.parquet,1,1,1,1,4,0,0,4,0.0
BBOB_F49,off,small,lhs,BBOB_F49,ds_BBOB_F49_42.parquet,1,1,1,1,4,0,0,4,0.0
BBOB_F5,off,small,lhs,BBOB_F5,ds_BBOB_F5_42.parquet,1,1,1,1,4,0,0,4,0.0
BBOB_F55,off,small,lhs,BBOB_F55,ds_BBOB_F55_42.parquet,1,1,1,1,4,0,0,4,0.0
DTLZ1,off,small,lhs,DTLZ1,ds_DTLZ1_42.parquet,1,1,1,1,4,0,0,4,0.0
DTLZ2,off,small,lhs,DTLZ2,ds_DTLZ2_42.parquet,1,1,1,1,4,0,0,4,0.0
DTLZ3,off,small,lhs,DTLZ3,ds_DTLZ3_42.parquet,1,1,1,1,4,0,0,4,0.0
DTLZ4,off,small,lhs,DTLZ4,ds_DTLZ4_42.parquet,1,1,1,1,4,0,0,4,0.0
DTLZ7,off,small,lhs,DTLZ7,ds_DTLZ7_42.parquet,1,1,1,1,4,0,0,4,0.0
MMF1,off,small,lhs,MMF1,ds_MMF1_42.parquet,1,1,1,1,4,0,0,4,0.0
MMF11_L,off,small,lhs,MMF11_L,ds_MMF11_L_42.parquet,1,1,1,1,4,0,0,4,0.0
MMF16_20,off,small,lhs,MMF16_20,ds_MMF16_20_42.parquet,1,1,1,1,4,0,0,4,0.0
MMF4,off,small,lhs,MMF4,ds_MMF4_42.parquet,1,1,1,1,4,0,0,4,0.0
WFG1,off,small,lhs,WFG1,ds_WFG1_42.parquet,1,1,1,1,4,0,0,4,0.0
WFG2,off,small,lhs,WFG2,ds_WFG2_42.parquet,1,1,1,1,4,0,0,4,0.0
WFG4,off,small,lhs,WFG4,ds_WFG4_42.parquet,1,1,1,1,4,0,0,4,0.0
WFG5,off,small,lhs,WFG5,ds_WFG5_42.parquet,1,1,1,1,4,0,0,4,0.0
WFG9,off,small,lhs,WFG9,ds_WFG9_42.parquet,1,1,1,1,4,0,0,4,0.0
ZDT1,off,small,lhs,ZDT1,ds_ZDT1_42.parquet,1,1,1,1,4,0,0,4,0.0
ZDT3,off,small,lhs,ZDT3,ds_ZDT3_42.parquet,1,1,1,1,4,0,1,3,1.9073486328125e-06
ZDT4,off,small,lhs,ZDT4,ds_ZDT4_42.parquet,1,1,1,1,4,0,0,4,0.0
ZDT6,off,small,lhs,ZDT6,ds_ZDT6_42.parquet,1,1,1,1,4,0,0,4,0.0
