label,exp,tier,dist,problema,obj,wape,corr,cobertura95,n_validas_mu,n_nan_mu,n_sigma_valido,sigma_nan_share
BBOB_F1,off,small,lhs,BBOB_F1,0,0.19214805802197005,0.6793513021600278,0.9302922309337135,20000,0,7015,0.64925
BBOB_F1,off,small,lhs,BBOB_F1,1,0.1620732475384711,0.7972907390405781,0.93145,20000,0,20000,0.0
BBOB_F17,off,small,lhs,BBOB_F17,0,0.06394225810151884,0.9963153839487503,0.0029,20000,0,20000,0.0
BBOB_F17,off,small,lhs,BBOB_F17,1,0.7733817613432509,0.10246273191479432,0.9305,20000,0,20000,0.0
BBOB_F22,off,small,lhs,BBOB_F22,0,0.31270314708669517,0.7559278731335837,0.3,20000,0,20000,0.0
BBOB_F22,off,small,lhs,BBOB_F22,1,0.15040466356184445,0.3307832143108043,0.9353,20000,0,20000,0.0
BBOB_F37,off,small,lhs,BBOB_F37,0,0.14322249335018494,0.5882381564059361,0.9511867442901926,20000,0,13398,0.33009999999999995
BBOB_F37,off,small,lhs,BBOB_F37,1,0.5037196494337653,0.595918456154964,0.93835,20000,0,20000,0.0
BBOB_F49,off,small,lhs,BBOB_F49,0,0.7022565640204367,-0.320581358273865,0.9100201331887874,20000,0,12914,0.35429999999999995
BBOB_F49,off,small,lhs,BBOB_F49,1,0.05671093027696323,0.11371485164482789,0.9667,20000,0,20000,0.0
BBOB_F5,off,small,lhs,BBOB_F5,0,0.22756429786961557,0.5670504506877216,0.9411764705882353,20000,0,5984,0.7008
BBOB_F5,off,small,lhs,BBOB_F5,1,0.14094884197678909,0.4566642362530506,0.9617,20000,0,20000,0.0
BBOB_F55,off,small,lhs,BBOB_F55,0,0.058153048575489155,0.0925160175657082,0.965561387786455,20000,0,7811,0.60945
BBOB_F55,off,small,lhs,BBOB_F55,1,0.05491836898228554,0.09451176681444082,0.9550118389897395,20000,0,6335,0.68325
DTLZ1,off,small,lhs,DTLZ1,0,0.2583892311475939,0.8997873011338013,0.89695,20000,0,20000,0.0
DTLZ1,off,small,lhs,DTLZ1,1,0.25486386117092497,0.9017237731964206,0.89135,20000,0,20000,0.0
DTLZ1,off,small,lhs,DTLZ1,2,0.2494534746443043,0.8483085552738449,0.9283,20000,0,20000,0.0
