label,problema,n_orfas,D,M,n_dataset,n_gen_ev,tier,dist,I1_n_real,I1_fase_init_pct,I1_fe_final_eq_maxfe_eq_nds,I1_dup_x,I1_ds_artefato,I1_dX,I1_dF,I1_t_aval_real_s,I2_opt_linhas,I2_opt_esperado,I2_ger_densa,I2_orcamento_surrogate,I2_regimes,I2_sonda_linhas,I3_tim_linhas,I3_tim_ger0,I3_fit_series_len,I3_fe_treino_uniq,I3_fe_treino_ok,I4_njulg_g1,I4_g1_eq_nds_mais_100,I4_g2p_todos_200,I4_nsel_100,I5_npares_eq_n2,I6_identidade_ok,I6_total_ger,I7_kflag_trocas,I7_kflag_lider,I7_kflag_1,I6_estrito_kriging,I8_center_num,I8_center_esperado,I8_center_stock_11D,I8_ok,I8_spread,I9_theta_min,I9_theta_max,I9_dentro_bounds,I9_theta_congelado_10,I9_warn_setup,I10_K_linhas,I10_R_linhas,I10_sigmaK_null_pct,I10_sigmaR_null_pct,I10_sigmaK_neg,I10_n_mse_neg,I11_n_final,I11_mtime,I11_nd_recomputo_ok,I11_nd,I11_fantasia,I11_ger_uniq,I11_linha_densa,I11_rsid_null,I11_link_dX_max,I11_link_bit,I11_modelo_primeiro,I11_n_final_man,I12_censo,I12_n_recs,I12_termino,I12_status_man,I12_guards,I12_params,I12_sigma_dict,I12_schema_version,I12_campanha_id,I12_repo_hash,I12_sonda_desligada_presente,E7_margem_3sigma_stats,E7_margem_3sigma_plano,E14_gen_com_tempo_busca,E14_gen_com_tempo_fit,E14_busca_ev,E14_busca_campos,E14_busca_tem_tempo_geracao_s
BBOB_F1,BBOB_F1,0,10,2,309,99,small,lhs,309,1.0,True,0,True,2.3711382102220568e-07,7.59364061764245e-06,0.0026419999999999656,19800,19800,True,9900,"[""offline"", ""sonda""]",40000,1,True,1,[308],True,409,True,True,True,99,99,99,0,RBFN,0,0,18,18,11,True,61.70018419252148,0.0018877486253634037,1.4030775603867442,True,False,,9900,9900,0.0,100.0,0,0,100,2026-07-28 21:57:24,True,99,0.99,[99],True,True,0.0,True,Kriging-DACE,100,"{""decision"": 1, ""e103_busca"": 1, ""e103_gen"": 99, ""e103_setup"": 1, ""f_best_dataset"": 1, ""footer"": 1, ""header"": 1, ""sonda"": 2}",107,normal,ok,0,True,True,1,,,False,99,0,0,0,1,"[""rec"", ""tempo_busca_s"", ""tempo_fit_s"", ""tempo_pred_sonda_s"", ""ts""]",False
BBOB_F17,BBOB_F17,0,10,2,309,99,small,lhs,309,1.0,True,0,True,2.3818252437024512e-07,3.977202609181404,0.0020279999999999933,19800,19800,True,9900,"[""offline"", ""sonda""]",40000,1,True,1,[308],True,409,True,True,True,99,99,99,0,RBFN,0,0,18,18,11,True,62.86993142631733,0.001,7.780964126271011,True,False,,9900,9900,0.0,100.0,0,0,100,2026-07-28 21:57:26,True,9,0.09,[99],True,True,0.0,True,Kriging-DACE,100,"{""decision"": 1, ""e103_busca"": 1, ""e103_gen"": 99, ""e103_setup"": 1, ""f_best_dataset"": 1, ""footer"": 1, ""header"": 1, ""sonda"": 2}",107,normal,ok,0,True,True,1,,,False,99,0,0,0,1,"[""rec"", ""tempo_busca_s"", ""tempo_fit_s"", ""tempo_pred_sonda_s"", ""ts""]",False
BBOB_F22,BBOB_F22,0,10,2,309,99,small,lhs,309,1.0,True,0,True,2.379802950258636e-07,0.07662032404914498,0.004091000000000001,19800,19800,True,9900,"[""offline"", ""sonda""]",40000,1,True,1,[308],True,409,True,True,True,99,99,99,0,RBFN,0,0,18,18,11,True,60.743458358147535,0.001,0.7874506561843053,True,False,,9900,9900,0.0,100.0,0,0,100,2026-07-28 21:57:26,True,20,0.2,[99],True,True,0.0,True,Kriging-DACE,100,"{""decision"": 1, ""e103_busca"": 1, ""e103_gen"": 99, ""e103_setup"": 1, ""f_best_dataset"": 1, ""footer"": 1, ""header"": 1, ""sonda"": 2}",107,normal,ok,0,True,True,1,,,False,99,0,0,0,1,"[""rec"", ""tempo_busca_s"", ""tempo_fit_s"", ""tempo_pred_sonda_s"", ""ts""]",False
BBOB_F37,BBOB_F37,0,10,2,309,99,small,lhs,309,1.0,True,0,True,2.3807994953273237e-07,0.00024318180658156052,0.0030269999999999672,19800,19800,True,9900,"[""offline"", ""sonda""]",40000,1,True,1,[308],True,409,True,True,True,99,99,99,0,RBFN,0,0,18,18,11,True,67.95185633272206,0.001,2.6486577358982335,True,False,,9900,9900,0.0,100.0,0,0,100,2026-07-28 21:57:27,True,5,0.05,[99],True,True,0.0,True,Kriging-DACE,100,"{""decision"": 1, ""e103_busca"": 1, ""e103_gen"": 99, ""e103_setup"": 1, ""f_best_dataset"": 1, ""footer"": 1, ""header"": 1, ""sonda"": 2}",107,normal,ok,0,True,True,1,,,False,99,0,0,0,1,"[""rec"", ""tempo_busca_s"", ""tempo_fit_s"", ""tempo_pred_sonda_s"", ""ts""]",False
BBOB_F49,BBOB_F49,0,10,2,309,99,small,lhs,309,1.0,True,0,True,2.383088970603353e-07,0.0005656018838635646,0.002429999999999981,19800,19800,True,9900,"[""offline"", ""sonda""]",40000,1,True,1,[308],True,409,True,True,True,99,99,99,0,RBFN,0,0,18,18,11,True,65.90473281861358,0.001,157.99103955709916,True,False,,9900,9900,0.0,100.0,0,0,100,2026-07-28 21:57:27,True,15,0.15,[99],True,False,0.0,True,Kriging-DACE,100,"{""decision"": 1, ""e103_busca"": 1, ""e103_gen"": 99, ""e103_setup"": 1, ""f_best_dataset"": 1, ""footer"": 1, ""header"": 1, ""sonda"": 2}",107,normal,ok,0,True,True,1,,,False,99,0,0,0,1,"[""rec"", ""tempo_busca_s"", ""tempo_fit_s"", ""tempo_pred_sonda_s"", ""ts""]",False
BBOB_F5,BBOB_F5,0,10,2,309,99,small,lhs,309,1.0,True,0,True,2.3806198790055078e-07,0.00012153730631325743,0.0029279999999999706,19800,19800,True,9900,"[""offline"", ""sonda""]",40000,1,True,1,[308],True,409,True,True,True,99,99,99,0,RBFN,0,0,18,18,11,True,63.89816239562842,0.006151958251439824,2.5000000000000595,True,False,,9900,9900,0.0,100.0,0,0,100,2026-07-28 21:57:25,True,74,0.74,[99],True,False,0.0,True,Kriging-DACE,100,"{""decision"": 1, ""e103_busca"": 1, ""e103_gen"": 99, ""e103_setup"": 1, ""f_best_dataset"": 1, ""footer"": 1, ""header"": 1, ""sonda"": 2}",107,normal,ok,0,True,True,1,,,False,99,0,0,0,1,"[""rec"", ""tempo_busca_s"", ""tempo_fit_s"", ""tempo_pred_sonda_s"", ""ts""]",False
BBOB_F55,BBOB_F55,0,10,2,309,99,small,lhs,309,1.0,True,0,True,2.3831204742919e-07,3.8077995299090617e-06,0.0020299999999999914,19800,19800,True,9900,"[""offline"", ""sonda""]",40000,1,True,1,[308],True,409,True,True,True,99,99,99,0,RBFN,0,0,18,18,11,True,63.40007472558396,0.001,819.9123898338103,True,False,,9900,9900,0.0,100.0,0,0,100,2026-07-28 21:57:28,True,4,0.04,[99],True,False,0.0,True,Kriging-DACE,100,"{""decision"": 1, ""e103_busca"": 1, ""e103_gen"": 99, ""e103_setup"": 1, ""f_best_dataset"": 1, ""footer"": 1, ""header"": 1, ""sonda"": 2}",107,normal,ok,0,True,True,1,,,False,99,0,0,0,1,"[""rec"", ""tempo_busca_s"", ""tempo_fit_s"", ""tempo_pred_sonda_s"", ""ts""]",False
DTLZ1,DTLZ1,0,7,3,216,99,small,lhs,216,1.0,True,0,True,2.978999924518888e-08,1.4714227006606961e-05,0.002030999999999997,19800,19800,True,9900,"[""offline"", ""sonda""]",40000,1,True,1,[215],True,316,True,True,True,99,99,99,0,RBFN,0,0,15,15,9,True,5.66870118628357,0.006393479370971578,58.789379691023726,True,False,,9900,9900,0.0,100.0,0,0,100,2026-07-28 21:57:19,True,24,0.24,[99],True,False,0.0,True,Kriging-DACE,100,"{""decision"": 1, ""e103_busca"": 1, ""e103_gen"": 99, ""e103_setup"": 1, ""f_best_dataset"": 1, ""footer"": 1, ""header"": 1, ""sonda"": 2}",107,normal,ok,0,True,True,1,,,False,99,0,0,0,1,"[""rec"", ""tempo_busca_s"", ""tempo_fit_s"", ""tempo_pred_sonda_s"", ""ts""]",False
DTLZ2,DTLZ2,0,12,3,371,99,small,lhs,371,1.0,True,0,True,2.9790983235855606e-08,1.1915787334615402e-07,0.0022119999999999904,19800,19800,True,9900,"[""offline"", ""sonda""]",40000,1,True,1,[370],True,471,True,True,True,99,99,99,0,RBFN,0,0,20,20,12,True,6.271725949897901,0.001,14.229930063768872,True,False,,9900,9900,0.0,100.0,0,0,100,2026-07-28 21:57:19,True,81,0.81,[99],True,False,0.0,True,Kriging-DACE,100,"{""decision"": 1, ""e103_busca"": 1, ""e103_gen"": 99, ""e103_setup"": 1, ""f_best_dataset"": 1, ""footer"": 1, ""header"": 1, ""sonda"": 2}",107,normal,ok,0,True,True,1,,,False,99,0,0,0,1,"[""rec"", ""tempo_busca_s"", ""tempo_fit_s"", ""tempo_pred_sonda_s"", ""ts""]",False
DTLZ3,DTLZ3,0,12,3,371,99,small,lhs,371,1.0,True,0,True,2.9801671797002882e-08,6.044272367944359e-05,0.0030189999999999636,19800,19800,True,9900,"[""offline"", ""sonda""]",40000,1,True,1,[370],True,471,True,True,True,99,99,99,0,RBFN,0,0,20,20,12,True,6.512588138642439,0.001,93.67594142478154,True,False,,9900,9900,0.0,100.0,0,0,100,2026-07-28 21:57:20,True,46,0.46,[99],True,False,0.0,True,Kriging-DACE,100,"{""decision"": 1, ""e103_busca"": 1, ""e103_gen"": 99, ""e103_setup"": 1, ""f_best_dataset"": 1, ""footer"": 1, ""header"": 1, ""sonda"": 2}",107,normal,ok,0,True,True,1,,,False,99,0,0,0,1,"[""rec"", ""tempo_busca_s"", ""tempo_fit_s"", ""tempo_pred_sonda_s"", ""ts""]",False
