problema,geracao,fe,aceito,slot_perdido,n_cand,N,count,frac_n1,n_desal,flag_copia,cand_dist,cand_classe,n1_pop,nan_s0,match_dx,pos,rank_global,is_argmax_global,is_argmax_S,pos_in_S,chosen_in_S,|S1|,limiar_pre
MMF1,2,24,1,0,1,23,9,0.9565217391304348,1,False,0.2328487314268852,1,23,0,0.0,13.0,1.0,1.0,1.0,1.0,1.0,23.0,1.0
MMF1,6,27,1,0,1,26,32,0.9230769230769231,2,False,0.26299772222402634,1,26,0,0.0,23.0,1.0,1.0,1.0,1.0,1.0,26.0,1.0
MMF1,10,30,1,0,1,29,51,0.6206896551724138,8,False,0.19353916288400272,1,26,0,0.0,27.0,3.0,0.0,1.0,1.0,1.0,26.0,0.0
MMF1,14,32,0,0,0,32,51,0.0,6,False,[],[],0,0,,,,,,,,,
MMF1,18,35,1,0,1,34,51,0.4117647058823529,13,False,0.07543718360045763,1,26,0,0.0,14.0,7.0,0.0,1.0,1.0,1.0,26.0,0.0
MMF1,22,37,0,0,0,37,51,0.0,6,False,[],[],0,0,,,,,,,,,
MMF1,26,39,0,0,0,39,51,0.0,12,False,[],[],0,0,,,,,,,,,
MMF1,30,41,0,0,0,41,51,0.0,10,False,[],[],0,0,,,,,,,,,
MMF1,34,43,0,0,0,43,51,0.0,16,False,[],[],0,0,,,,,,,,,
MMF1,38,46,1,0,1,45,51,0.5777777777777777,15,False,0.1878088413798633,1,41,0,0.0,41.0,1.0,1.0,1.0,1.0,1.0,41.0,0.0
MMF1,42,49,1,0,1,48,51,0.6458333333333334,13,False,0.12701977414974655,1,44,0,0.0,34.0,2.0,0.0,1.0,1.0,1.0,44.0,0.0
MMF1,46,52,1,0,1,51,51,0.7058823529411765,14,False,0.15411538282120854,1,50,0,0.0,46.0,1.0,1.0,1.0,1.0,1.0,50.0,0.0
MMF1,50,54,0,0,0,54,51,0.0,9,False,[],[],0,0,,,,,,,,,
MMF1,54,56,0,0,0,56,51,0.0,17,False,[],[],0,0,,,,,,,,,
MMF1,58,58,0,0,0,58,51,0.0,17,False,[],[],0,0,,,,,,,,,
MMF1,62,60,0,0,0,60,51,0.0,11,False,[],[],0,0,,,,,,,,,
DTLZ2,2,135,1,0,1,100,2,0.92,6,False,0.8155095157666119,1,94,0,0.0,95.0,3.0,0.0,1.0,1.0,1.0,94.0,0.0
DTLZ2,6,138,1,0,1,100,2,0.9,2,False,0.8180982293971973,1,91,0,0.0,95.0,4.0,0.0,1.0,1.0,1.0,91.0,0.0
DTLZ2,10,141,1,0,1,100,2,0.97,2,False,0.7514086505688543,1,97,0,0.0,89.0,1.0,1.0,1.0,1.0,1.0,97.0,1.0
