corpus,problema,ger,n_desal,razao_global,razao_S,argmaxS,argmax_g,dist,dmax
s42,BBOB_F1,46,5,0.6572248351940144,0.6572248351940144,0,0,3.967947244644165,6.0374274253845215
s42,BBOB_F1,50,20,0.7574123023489957,0.7574123023489957,0,0,7.993679523468018,10.553934097290039
s42,BBOB_F1,54,9,0.6591734835510856,0.6591734835510856,0,0,4.81122350692749,7.298872947692871
s42,BBOB_F1,58,28,0.6943596416238682,0.7002806576037199,0,0,5.568630218505859,8.019806861877441
s42,BBOB_F1,62,20,0.794373937268873,0.794373937268873,0,0,6.814010143280029,8.577836990356445
s42,BBOB_F1,66,8,0.2983819474554622,0.2983819474554622,0,0,1.5170179605484009,5.084147930145264
s42,BBOB_F1,70,1,0.3461067297354746,0.3461067297354746,0,0,1.9325019121170044,5.583543300628662
s42,BBOB_F1,74,31,0.6494503024348429,0.6494503024348429,0,0,6.381438732147217,9.825907707214355
s42,BBOB_F1,78,3,0.8623006544490766,0.8623006544490766,0,0,5.221945762634277,6.0558295249938965
s42,BBOB_F1,82,25,0.7628358316821848,0.7628358316821848,0,0,7.2577924728393555,9.514225959777832
s42,BBOB_F1,86,9,0.4963663322627043,0.4963663322627043,0,0,5.54256534576416,11.166279792785645
s42,BBOB_F1,90,24,0.7270643612491157,0.7414957873592511,0,0,7.079863548278809,9.737602233886719
s42,BBOB_F1,94,24,0.8604225914492547,0.8604225914492547,0,0,8.059931755065918,9.367410659790039
s42,BBOB_F1,98,26,0.6951323586226995,0.6951323586226995,0,0,5.186330795288086,7.460925579071045
s42,BBOB_F1,102,25,1.0,1.0,1,1,7.8588762283325195,7.8588762283325195
s42,BBOB_F1,106,8,0.3387008189640642,0.3387008189640642,0,0,1.5330842733383179,4.5263671875
s42,BBOB_F1,110,35,0.6560423252286889,0.6560423252286889,0,0,5.374373435974121,8.192113876342773
s42,BBOB_F1,114,26,0.9742565666303978,0.9742565666303978,0,0,9.87049388885498,10.131308555603027
s42,BBOB_F1,118,3,0.5702122123447669,0.5702122123447669,0,0,3.277017593383789,5.747014045715332
s42,BBOB_F1,122,17,0.7822523984344297,0.7822523984344297,0,0,6.4674201011657715,8.26768970489502
s42,BBOB_F1,126,32,0.7970748011637847,0.8094258688929314,0,0,6.062074661254883,7.60540246963501
s42,BBOB_F1,130,32,0.7022833080567126,0.7022833080567126,0,0,6.966450214385986,9.91971492767334
s42,BBOB_F1,134,26,0.47711557300002433,0.47711557300002433,0,0,4.408923625946045,9.240787506103516
s42,BBOB_F1,170,26,0.3867960050526724,0.3867960050526724,0,0,3.4675118923187256,8.964704513549805
s42,BBOB_F1,174,27,0.7402597258495465,0.7402597258495465,0,0,7.316805362701416,9.884105682373047
s42,BBOB_F1,178,19,0.7479438000195219,0.7479438000195219,0,0,3.7743968963623047,5.0463643074035645
s42,BBOB_F1,182,28,0.3886574875545846,0.3886574875545846,0,0,3.5659050941467285,9.17492961883545
s42,BBOB_F1,186,22,0.8919975570111461,0.8919975570111461,0,0,7.815243721008301,8.761507987976074
s42,BBOB_F1,190,19,0.7869477672211714,0.7869477672211714,0,0,7.162613391876221,9.101764678955078
s42,BBOB_F1,194,6,0.7274588342640474,0.7274588342640474,0,0,7.626112461090088,10.483222007751465
s42,BBOB_F1,198,8,0.6432202217994688,0.6432202217994688,0,0,5.221405982971191,8.117602348327637
s42,BBOB_F1,202,8,0.7119126187933297,0.7119126187933297,0,0,6.247618198394775,8.775821685791016
s42,BBOB_F1,206,6,0.7248134088194101,0.7248134088194101,0,0,6.443690299987793,8.89013671875
s42,BBOB_F1,210,8,0.6046134933535513,0.6046134933535513,0,0,4.459663391113281,7.376056671142578
s42,BBOB_F1,214,7,0.802064282137308,0.802064282137308,0,0,7.017072677612305,8.74876594543457
s42,BBOB_F1,218,19,0.6309766339269142,0.6309766339269142,0,0,6.094702243804932,9.659156799316406
s42,BBOB_F1,222,13,0.6384929487005201,0.6384929487005201,0,0,6.763575553894043,10.59303092956543
s42,BBOB_F1,226,8,0.26083943531570736,0.26083943531570736,0,0,2.4019904136657715,9.208693504333496
s42,BBOB_F1,230,0,0.9110085576296229,0.9110085576296229,0,0,3.280395269393921,3.600839138031006
s42,BBOB_F1,234,7,0.6934337517838562,0.6934337517838562,0,0,4.010024547576904,5.782851696014404
s42,BBOB_F1,238,6,0.82183972789792,0.82183972789792,0,0,7.819986343383789,9.515220642089844
s42,BBOB_F1,242,7,1.0,1.0,1,1,6.1065168380737305,6.1065168380737305
s42,BBOB_F1,246,6,0.4571436110836354,0.4571436110836354,0,0,2.5938634872436523,5.67406702041626
s42,BBOB_F1,250,21,0.5009905120263942,0.5009905120263942,0,0,5.370578289031982,10.71992015838623
s42,BBOB_F1,254,9,0.9540182817527924,0.9540182817527924,0,0,8.027569770812988,8.414482116699219
s42,BBOB_F1,258,7,0.7495314247394816,0.7495314247394816,0,0,4.370350360870361,5.830776691436768
s42,BBOB_F1,262,4,1.0,1.0,1,1,9.105339050292969,9.105339050292969
s42,BBOB_F1,266,13,0.6360555621342286,0.6360555621342286,0,0,6.193136215209961,9.736784934997559
s42,BBOB_F1,270,1,0.579874559027208,0.579874559027208,0,0,2.4685616493225098,4.25706148147583
s42,BBOB_F1,274,6,0.6308479937076569,0.6308479937076569,0,0,4.8983941078186035,7.764777183532715
s42,BBOB_F1,278,8,0.6571366628376486,0.6571366628376486,0,0,3.520808696746826,5.357802867889404
s42,BBOB_F1,282,5,1.0,1.0,1,1,5.044279098510742,5.044279098510742
s42,BBOB_F1,286,14,0.6960031614294674,0.6960031614294674,0,0,6.800887107849121,9.771345138549805
s42,BBOB_F1,290,10,0.5397036426815884,0.5397036426815884,0,0,5.926762580871582,10.981513023376465
s42,BBOB_F17,30,9,0.7920056229708264,0.7920056229708264,0,0,6.846903324127197,8.645018577575684
s42,BBOB_F17,34,5,0.7634566630615544,0.7634566630615544,0,0,6.76162576675415,8.85659408569336
s42,BBOB_F17,38,7,0.5676490959567878,0.5676490959567878,0,0,5.666562557220459,9.98250961303711
s42,BBOB_F17,42,3,0.7133332443223633,0.7133332443223633,0,0,6.776561737060547,9.49985408782959
s42,BBOB_F17,46,8,0.6233849161475664,0.6233849161475664,0,0,6.567986011505127,10.536004066467285
s42,BBOB_F17,50,7,0.6066715919624371,0.6066715919624371,0,0,6.411430835723877,10.568206787109375
s42,BBOB_F17,54,10,0.7467368029430544,0.7467368029430544,0,0,7.790606498718262,10.432868003845215
s42,BBOB_F17,58,9,0.49058139849225135,0.49058139849225135,0,0,4.724694728851318,9.630806922912598
