cel,pop,n_front,n_lote,q,n_completado,pool,valor,soma_ok,pool_ok
q10_WFG9,2200,7,7,10,3,2193,qmaximin,True,True
q10_WFG9,2200,9,9,10,1,2191,qmaximin,True,True
q10_WFG9,2200,9,9,10,1,2191,qmaximin,True,True
q10_WFG9,2200,8,8,10,2,2192,qmaximin,True,True
q10_ZDT4,1000,7,7,10,3,993,qmaximin,True,True
q10_ZDT4,1000,8,8,10,2,992,qmaximin,True,True
q10_ZDT4,1000,9,9,10,1,991,qmaximin,True,True
q10_ZDT4,1000,9,9,10,1,991,qmaximin,True,True
q10_ZDT4,1000,9,9,10,1,991,qmaximin,True,True
q10_ZDT4,1000,9,9,10,1,991,qmaximin,True,True
q10_ZDT4,1000,9,9,10,1,991,qmaximin,True,True
q10_ZDT4,1000,9,9,10,1,991,qmaximin,True,True
q10_ZDT4,1000,6,6,10,4,994,qmaximin,True,True
q10_ZDT4,1000,9,9,10,1,991,qmaximin,True,True
q10_ZDT4,1000,7,7,10,3,993,qmaximin,True,True
q10_ZDT4,1000,8,8,10,2,992,qmaximin,True,True
q10_ZDT4,1000,8,8,10,2,992,qmaximin,True,True
q10_ZDT4,1000,8,8,10,2,992,qmaximin,True,True
q10_ZDT4,1000,9,9,10,1,991,qmaximin,True,True
q10_ZDT4,1000,7,7,10,3,993,qmaximin,True,True
q10_ZDT4,1000,9,9,10,1,991,qmaximin,True,True
q10_ZDT4,1000,6,6,10,4,994,qmaximin,True,True
q10_ZDT4,1000,9,9,10,1,991,qmaximin,True,True
q10_ZDT4,1000,9,9,10,1,991,qmaximin,True,True
q10_ZDT4,1000,9,9,10,1,991,qmaximin,True,True
q10_ZDT4,1000,8,8,10,2,992,qmaximin,True,True
q10_ZDT4,1000,6,6,10,4,994,qmaximin,True,True
q10_ZDT4,1000,9,9,10,1,991,qmaximin,True,True
q10_ZDT4,1000,6,6,10,4,994,qmaximin,True,True
q10_ZDT4,1000,9,9,10,1,991,qmaximin,True,True
q10_ZDT4,1000,6,6,10,4,994,qmaximin,True,True
q10_ZDT4,1000,8,8,10,2,992,qmaximin,True,True
