cel,name,n_lote,q,n_front,valor,n_completado,n_pool_rank1mais
q10_WFG9,lote_menor_que_q,7.0,10,7.0,,,
q10_WFG9,lote_completado_por,,10,,qmaximin,3.0,2193.0
q10_WFG9,lote_menor_que_q,9.0,10,9.0,,,
q10_WFG9,lote_completado_por,,10,,qmaximin,1.0,2191.0
q10_WFG9,lote_menor_que_q,9.0,10,9.0,,,
q10_WFG9,lote_completado_por,,10,,qmaximin,1.0,2191.0
q10_WFG9,lote_menor_que_q,8.0,10,8.0,,,
q10_WFG9,lote_completado_por,,10,,qmaximin,2.0,2192.0
q10_ZDT4,lote_menor_que_q,7.0,10,7.0,,,
q10_ZDT4,lote_completado_por,,10,,qmaximin,3.0,993.0
q10_ZDT4,lote_menor_que_q,8.0,10,8.0,,,
q10_ZDT4,lote_completado_por,,10,,qmaximin,2.0,992.0
q10_ZDT4,lote_menor_que_q,9.0,10,9.0,,,
q10_ZDT4,lote_completado_por,,10,,qmaximin,1.0,991.0
q10_ZDT4,lote_menor_que_q,9.0,10,9.0,,,
q10_ZDT4,lote_completado_por,,10,,qmaximin,1.0,991.0
q10_ZDT4,lote_menor_que_q,9.0,10,9.0,,,
q10_ZDT4,lote_completado_por,,10,,qmaximin,1.0,991.0
q10_ZDT4,lote_menor_que_q,9.0,10,9.0,,,
q10_ZDT4,lote_completado_por,,10,,qmaximin,1.0,991.0
q10_ZDT4,lote_menor_que_q,9.0,10,9.0,,,
q10_ZDT4,lote_completado_por,,10,,qmaximin,1.0,991.0
q10_ZDT4,lote_menor_que_q,9.0,10,9.0,,,
q10_ZDT4,lote_completado_por,,10,,qmaximin,1.0,991.0
q10_ZDT4,lote_menor_que_q,6.0,10,6.0,,,
q10_ZDT4,lote_completado_por,,10,,qmaximin,4.0,994.0
q10_ZDT4,lote_menor_que_q,9.0,10,9.0,,,
q10_ZDT4,lote_completado_por,,10,,qmaximin,1.0,991.0
q10_ZDT4,lote_menor_que_q,7.0,10,7.0,,,
q10_ZDT4,lote_completado_por,,10,,qmaximin,3.0,993.0
q10_ZDT4,lote_menor_que_q,8.0,10,8.0,,,
q10_ZDT4,lote_completado_por,,10,,qmaximin,2.0,992.0
q10_ZDT4,lote_menor_que_q,8.0,10,8.0,,,
q10_ZDT4,lote_completado_por,,10,,qmaximin,2.0,992.0
q10_ZDT4,lote_menor_que_q,8.0,10,8.0,,,
q10_ZDT4,lote_completado_por,,10,,qmaximin,2.0,992.0
q10_ZDT4,lote_menor_que_q,9.0,10,9.0,,,
q10_ZDT4,lote_completado_por,,10,,qmaximin,1.0,991.0
q10_ZDT4,lote_menor_que_q,7.0,10,7.0,,,
q10_ZDT4,lote_completado_por,,10,,qmaximin,3.0,993.0
q10_ZDT4,lote_menor_que_q,9.0,10,9.0,,,
q10_ZDT4,lote_completado_por,,10,,qmaximin,1.0,991.0
q10_ZDT4,lote_menor_que_q,6.0,10,6.0,,,
q10_ZDT4,lote_completado_por,,10,,qmaximin,4.0,994.0
q10_ZDT4,lote_menor_que_q,9.0,10,9.0,,,
q10_ZDT4,lote_completado_por,,10,,qmaximin,1.0,991.0
q10_ZDT4,lote_menor_que_q,9.0,10,9.0,,,
q10_ZDT4,lote_completado_por,,10,,qmaximin,1.0,991.0
q10_ZDT4,lote_menor_que_q,9.0,10,9.0,,,
q10_ZDT4,lote_completado_por,,10,,qmaximin,1.0,991.0
q10_ZDT4,lote_menor_que_q,8.0,10,8.0,,,
q10_ZDT4,lote_completado_por,,10,,qmaximin,2.0,992.0
q10_ZDT4,lote_menor_que_q,6.0,10,6.0,,,
q10_ZDT4,lote_completado_por,,10,,qmaximin,4.0,994.0
q10_ZDT4,lote_menor_que_q,9.0,10,9.0,,,
q10_ZDT4,lote_completado_por,,10,,qmaximin,1.0,991.0
q10_ZDT4,lote_menor_que_q,6.0,10,6.0,,,
q10_ZDT4,lote_completado_por,,10,,qmaximin,4.0,994.0
q10_ZDT4,lote_menor_que_q,9.0,10,9.0,,,
q10_ZDT4,lote_completado_por,,10,,qmaximin,1.0,991.0
q10_ZDT4,lote_menor_que_q,6.0,10,6.0,,,
q10_ZDT4,lote_completado_por,,10,,qmaximin,4.0,994.0
q10_ZDT4,lote_menor_que_q,8.0,10,8.0,,,
q10_ZDT4,lote_completado_por,,10,,qmaximin,2.0,992.0
