label,linhas,header,footer,decision,fit,sonda,guard,checkpoint,recs_outros,campanha_id,repo_hash,schema_version,tempo_aval_real_s,executable,upload_status,created,updated,status,motivo,fe_final,maxfe,n_ger,q
BBOB_F1,504,1,2,200,200,101,0,0,,<AUSENTE>,<AUSENTE>,1,0.0101,SIM,SIM,2026-07-26T13:07:13+00:00,2026-07-26T13:07:13+00:00,ok,orcamento,309,309,200,1
BBOB_F17,504,1,2,200,200,101,0,0,,<AUSENTE>,<AUSENTE>,1,0.0287,SIM,SIM,2026-07-26T13:08:18+00:00,2026-07-26T13:08:19+00:00,ok,orcamento,309,309,200,1
BBOB_F22,504,1,2,200,200,101,0,0,,<AUSENTE>,<AUSENTE>,1,0.0224,SIM,SIM,2026-07-26T13:08:25+00:00,2026-07-26T13:08:26+00:00,ok,orcamento,309,309,200,1
BBOB_F37,504,1,2,200,200,101,0,0,,<AUSENTE>,<AUSENTE>,1,0.0262,SIM,SIM,2026-07-26T13:10:59+00:00,2026-07-26T13:11:00+00:00,ok,orcamento,309,309,200,1
BBOB_F49,504,1,2,200,200,101,0,0,,<AUSENTE>,<AUSENTE>,1,0.2333,SIM,SIM,2026-07-26T13:12:40+00:00,2026-07-26T13:12:40+00:00,ok,orcamento,309,309,200,1
BBOB_F5,504,1,2,200,200,101,0,0,,<AUSENTE>,<AUSENTE>,1,0.0144,SIM,SIM,2026-07-26T13:13:40+00:00,2026-07-26T13:13:41+00:00,ok,orcamento,309,309,200,1
BBOB_F55,504,1,2,200,200,101,0,0,,<AUSENTE>,<AUSENTE>,1,0.4289,SIM,SIM,2026-07-26T13:13:55+00:00,2026-07-26T13:13:56+00:00,ok,orcamento,309,309,200,1
DTLZ1,354,1,2,140,140,71,0,0,,<AUSENTE>,<AUSENTE>,1,0.0078,SIM,SIM,2026-07-26T12:18:46+00:00,2026-07-26T12:18:47+00:00,ok,orcamento,216,216,140,1
DTLZ2,604,1,2,240,240,121,0,0,,<AUSENTE>,<AUSENTE>,1,0.0158,SIM,SIM,2026-07-26T13:25:29+00:00,2026-07-26T13:25:29+00:00,ok,orcamento,371,371,240,1
DTLZ3,604,1,2,240,240,121,0,0,,<AUSENTE>,<AUSENTE>,1,0.0187,SIM,SIM,2026-07-26T13:25:56+00:00,2026-07-26T13:25:57+00:00,ok,orcamento,371,371,240,1
DTLZ4,604,1,2,240,240,121,0,0,,<AUSENTE>,<AUSENTE>,1,0.0191,SIM,SIM,2026-07-26T13:29:00+00:00,2026-07-26T13:29:00+00:00,ok,orcamento,371,371,240,1
DTLZ7,1104,1,2,440,440,221,0,0,,<AUSENTE>,<AUSENTE>,1,0.0298,SIM,SIM,2026-07-26T18:25:12+00:00,2026-07-26T18:25:13+00:00,ok,orcamento,681,681,440,1
MMF1,104,1,2,40,40,21,0,0,,<AUSENTE>,<AUSENTE>,1,0.0019,SIM,SIM,2026-07-26T11:22:59+00:00,2026-07-26T11:23:00+00:00,ok,orcamento,61,61,40,1
MMF11_L,104,1,2,40,40,21,0,0,,<AUSENTE>,<AUSENTE>,1,0.002,SIM,SIM,2026-07-26T11:22:59+00:00,2026-07-26T11:22:59+00:00,ok,orcamento,61,61,40,1
MMF16_20,1004,1,2,400,400,201,0,0,,<AUSENTE>,<AUSENTE>,1,0.0575,SIM,SIM,2026-07-26T23:43:32+00:00,2026-07-26T23:43:33+00:00,ok,orcamento,619,619,400,1
MMF4,104,1,2,40,40,21,0,0,,<AUSENTE>,<AUSENTE>,1,0.002,SIM,SIM,2026-07-26T11:22:59+00:00,2026-07-26T11:23:00+00:00,ok,orcamento,61,61,40,1
WFG1,1104,1,2,440,440,221,0,0,,<AUSENTE>,<AUSENTE>,1,0.101,SIM,SIM,2026-07-26T17:41:13+00:00,2026-07-26T17:41:14+00:00,ok,orcamento,681,681,440,1
WFG2,1104,1,2,440,440,221,0,0,,<AUSENTE>,<AUSENTE>,1,0.1476,SIM,SIM,2026-07-26T17:39:41+00:00,2026-07-26T17:39:42+00:00,ok,orcamento,681,681,440,1
