alg,problema,D,N_ef,n_ger,dup,f_T11,f_Nef,f_Nef_p1,f_antiga,T11_ok,Nef_ok,Nef_p1_ok,antiga_ok
moead,BBOB_F1,10,20,12,34,11,11,12,10,False,False,True,False
moead,BBOB_F17,10,20,14,74,13,13,14,10,False,False,True,False
moead,BBOB_F22,10,20,14,63,13,13,14,10,False,False,True,False
moead,BBOB_F37,10,20,13,41,12,12,13,10,False,False,True,False
moead,BBOB_F49,10,20,14,69,13,13,14,10,False,False,True,False
moead,BBOB_F5,10,20,14,69,13,13,14,10,False,False,True,False
moead,BBOB_F55,10,20,13,51,12,12,13,10,False,False,True,False
moead,DTLZ1,7,15,11,12,10,10,11,9,False,False,True,False
moead,DTLZ2,12,15,17,12,18,16,17,16,False,False,True,False
moead,DTLZ3,12,15,18,26,19,17,18,16,False,False,True,False
moead,DTLZ4,12,15,18,21,18,17,18,16,True,False,True,False
moead,DTLZ7,22,15,33,53,35,32,33,29,False,False,True,False
moead,MMF1,2,20,3,13,2,2,3,2,False,False,True,False
moead,MMF11_L,2,20,3,11,2,2,3,2,False,False,True,False
moead,MMF16_20,20,15,29,25,30,28,29,26,False,False,True,False
moead,MMF4,2,20,3,10,2,2,3,2,False,False,True,False
moead,WFG1,22,20,31,162,30,30,31,22,False,False,True,False
moead,WFG2,22,20,27,88,26,26,27,22,False,False,True,False
moead,WFG4,22,20,27,94,26,26,27,22,False,False,True,False
moead,WFG5,22,20,26,78,25,25,26,22,False,False,True,False
moead,WFG9,22,20,25,43,24,24,25,22,False,False,True,False
moead,ZDT1,30,20,38,158,37,37,38,30,False,False,True,False
moead,ZDT3,30,20,38,158,37,37,38,30,False,False,True,False
moead,ZDT4,10,20,14,69,13,13,14,10,False,False,True,False
moead,ZDT6,10,20,14,66,13,13,14,10,False,False,True,False
nsga2,BBOB_F1,10,20,11,17,10,10,11,10,False,False,True,False
nsga2,BBOB_F17,10,20,11,9,10,10,11,10,False,False,True,False
nsga2,BBOB_F22,10,20,11,3,10,10,11,10,False,False,True,False
nsga2,BBOB_F37,10,20,11,3,10,10,11,10,False,False,True,False
nsga2,BBOB_F49,10,20,11,3,10,10,11,10,False,False,True,False
nsga2,BBOB_F5,10,20,11,6,10,10,11,10,False,False,True,False
nsga2,BBOB_F55,10,20,11,6,10,10,11,10,False,False,True,False
nsga2,DTLZ1,7,20,8,2,7,7,8,7,False,False,True,False
nsga2,DTLZ2,12,20,13,4,12,12,13,12,False,False,True,False
nsga2,DTLZ3,12,20,13,3,12,12,13,12,False,False,True,False
nsga2,DTLZ4,12,20,13,1,12,12,13,12,False,False,True,False
nsga2,DTLZ7,22,20,23,15,22,22,23,22,False,False,True,False
nsga2,MMF1,2,20,3,1,2,2,3,2,False,False,True,False
nsga2,MMF11_L,2,20,3,1,2,2,3,2,False,False,True,False
nsga2,MMF16_20,20,20,21,10,20,20,21,20,False,False,True,False
nsga2,MMF4,2,20,3,0,2,2,3,2,False,False,True,False
nsga2,WFG1,22,20,23,12,22,22,23,22,False,False,True,False
nsga2,WFG2,22,20,23,11,22,22,23,22,False,False,True,False
nsga2,WFG4,22,20,23,11,22,22,23,22,False,False,True,False
nsga2,WFG5,22,20,23,10,22,22,23,22,False,False,True,False
nsga2,WFG9,22,20,23,10,22,22,23,22,False,False,True,False
nsga2,ZDT1,30,20,31,19,30,30,31,30,False,False,True,False
nsga2,ZDT3,30,20,31,11,30,30,31,30,False,False,True,False
nsga2,ZDT4,10,20,11,6,10,10,11,10,False,False,True,False
nsga2,ZDT6,10,20,11,9,10,10,11,10,False,False,True,False
nsga3,BBOB_F1,10,20,11,2,10,10,11,10,False,False,True,False
nsga3,BBOB_F17,10,20,11,1,10,10,11,10,False,False,True,False
nsga3,BBOB_F22,10,20,11,11,10,10,11,10,False,False,True,False
nsga3,BBOB_F37,10,20,11,4,10,10,11,10,False,False,True,False
nsga3,BBOB_F49,10,20,11,1,10,10,11,10,False,False,True,False
nsga3,BBOB_F5,10,20,11,2,10,10,11,10,False,False,True,False
nsga3,BBOB_F55,10,20,11,10,10,10,11,10,False,False,True,False
nsga3,DTLZ1,7,15,11,5,10,9,10,9,False,False,False,False
nsga3,DTLZ2,12,15,18,8,17,16,17,16,False,False,False,False
nsga3,DTLZ3,12,15,18,7,17,16,17,16,False,False,False,False
