alg,prob,D,Nef,ng,dup,cache,c0,floor((20D+dup)/Nef)+0,floor((20D+dup)/Nef)+1,floor((20D+dup)/par)+0,floor((20D+dup)/par)+1,floor((20D+cache)/Nef)+0,floor((20D+cache)/Nef)+1,floor((20D+cache)/par)+0,floor((20D+cache)/par)+1
moead,BBOB_F1,10,20,12,34,55,21,False,True,False,True,True,False,True,False
moead,BBOB_F17,10,20,14,74,95,21,False,True,False,True,True,False,True,False
moead,BBOB_F22,10,20,14,63,84,21,False,True,False,True,True,False,True,False
moead,BBOB_F37,10,20,13,41,62,21,False,True,False,True,True,False,True,False
moead,BBOB_F49,10,20,14,69,90,21,False,True,False,True,True,False,True,False
moead,BBOB_F5,10,20,14,69,90,21,False,True,False,True,True,False,True,False
moead,BBOB_F55,10,20,13,51,72,21,False,True,False,True,True,False,True,False
moead,DTLZ1,7,15,11,12,28,16,False,True,False,True,True,False,False,False
moead,DTLZ2,12,15,17,12,28,16,False,True,False,False,True,False,False,False
moead,DTLZ3,12,15,18,26,42,16,False,True,False,False,True,False,False,False
moead,DTLZ4,12,15,18,21,37,16,False,True,True,False,True,False,False,False
moead,DTLZ7,22,15,33,53,69,16,False,True,False,False,True,False,False,False
moead,MMF1,2,20,3,13,34,21,False,True,False,True,True,False,True,False
moead,MMF11_L,2,20,3,11,32,21,False,True,False,True,True,False,True,False
moead,MMF16_20,20,15,29,25,41,16,False,True,False,False,True,False,False,False
moead,MMF4,2,20,3,10,31,21,False,True,False,True,True,False,True,False
moead,WFG1,22,20,31,162,183,21,False,True,False,True,True,False,True,False
moead,WFG2,22,20,27,88,109,21,False,True,False,True,True,False,True,False
moead,WFG4,22,20,27,94,115,21,False,True,False,True,True,False,True,False
moead,WFG5,22,20,26,78,99,21,False,True,False,True,True,False,True,False
moead,WFG9,22,20,25,43,64,21,False,True,False,True,True,False,True,False
moead,ZDT1,30,20,38,158,179,21,False,True,False,True,True,False,True,False
moead,ZDT3,30,20,38,158,179,21,False,True,False,True,True,False,True,False
moead,ZDT4,10,20,14,69,90,21,False,True,False,True,True,False,True,False
moead,ZDT6,10,20,14,66,87,21,False,True,False,True,True,False,True,False
nsga2,BBOB_F1,10,20,11,17,38,21,False,True,False,True,True,False,True,False
nsga2,BBOB_F17,10,20,11,9,30,21,False,True,False,True,True,False,True,False
nsga2,BBOB_F22,10,20,11,3,24,21,False,True,False,True,True,False,True,False
nsga2,BBOB_F37,10,20,11,3,24,21,False,True,False,True,True,False,True,False
nsga2,BBOB_F49,10,20,11,3,24,21,False,True,False,True,True,False,True,False
nsga2,BBOB_F5,10,20,11,6,27,21,False,True,False,True,True,False,True,False
nsga2,BBOB_F55,10,20,11,6,27,21,False,True,False,True,True,False,True,False
nsga2,DTLZ1,7,20,8,2,23,21,False,True,False,True,True,False,True,False
nsga2,DTLZ2,12,20,13,4,25,21,False,True,False,True,True,False,True,False
nsga2,DTLZ3,12,20,13,3,24,21,False,True,False,True,True,False,True,False
nsga2,DTLZ4,12,20,13,1,22,21,False,True,False,True,True,False,True,False
nsga2,DTLZ7,22,20,23,15,36,21,False,True,False,True,True,False,True,False
nsga2,MMF1,2,20,3,1,22,21,False,True,False,True,True,False,True,False
nsga2,MMF11_L,2,20,3,1,22,21,False,True,False,True,True,False,True,False
