problema,D,M,N_nom,N_ef,N_lattice,n_ger,n_ger_man,maxfe,maxfe_ok,n_real,U1_len_real,U1_fe_index,U1_fe_final,termino,status,n_retries,fallback,cp_init,n_init,U2_init,U2_dX,U2_doe_hash_side,U3_sur_linhas,U3_sur_cols,U3_fit_series,U3_tfit_nan,U3_tbusca_nan,U3_sem_sigma_dict_s42,U4_sonda,U4_blocos,U5_len_tim,U5_tim_ok,U5_dt_max,U5_sum_tger,tempo_total,U5_frac,t_aval_real,n_cache,n_hardstop,U6_ch_man,guard_vocab,c0,M14_c0_eq_N1,M14_dup_primeiro,M14_unicos,clones,tentativas,k_Nef,ledger_Nef_ok,k_par,ledger_par_ok,T11_formula_par,T11_formula_par_ok,T11_formula_Nef,T11_formula_Nef_ok,T11_formula_Nef_p1,T11_formula_Nef_p1_ok,antiga_20D_N,antiga_ok,len_pop,M13_len_ok,M13_g1_doe,M13_g1_unicos,M3_nvec,M3_soma1,M5_T,M7_frac_pares_med,M6_taxa_clone,M6_prev,M6_ic_lo,M6_ic_hi,M6_ic_contem,M7_unicos_final,M15_ideal_ok,M15_nadir_ok,M15_fbest_eq,M15_quebras_monot,n_ger_check,clones_prev,lo,hi,prev,contem
BBOB_F1,10,2,20,20,20,12,12,309,True,309,True,True,True,normal,ok,0,False,True,109,True,0.0,,0,29,True,True,True,True,nao_se_aplica,0,12,True,4.282951354683817e-09,0.7549440022557974,4.443082,0.1699144877937876,0.093566,55,1,True,"cache_hit,hard_stop",21,True,True,20,34,235,15,True,15,True,11,False,11,False,12,True,10,False,240,True,True,20,20,9.999999999177334e-07,2,0.4,0.1452991452991453,0.1396756798134961,0.1058764280293933,0.1961800667133262,True,16,8,0,12,6,12,35.26385282429328,0.10587642802939337,0.1961800667133262,0.15070022574484307,True
BBOB_F17,10,2,20,20,20,14,14,309,True,309,True,True,True,normal,ok,0,False,True,109,True,0.0,,0,29,True,True,True,True,nao_se_aplica,0,14,True,8.836746223650493e-09,0.8800810128450394,4.813238,0.1828459371518797,0.153065,95,1,True,"cache_hit,hard_stop",21,True,True,20,74,275,15,True,15,True,13,False,13,False,14,True,10,False,280,True,True,20,20,9.999999999177334e-07,2,0.8,0.2700729927007299,0.2790108533378321,0.2209473135522695,0.3255568816438421,True,11,0,0,14,6,14,73.24630786124125,0.22094731355226954,0.32555688164384217,0.26732229146438413,True
BBOB_F22,10,2,20,20,20,14,14,309,True,309,True,True,True,normal,ok,0,False,True,109,True,0.0,,0,29,True,True,True,True,nao_se_aplica,0,14,True,1.0108947734455144e-08,0.8646259848028421,4.641169,0.186294872003765,0.128314,84,1,True,"cache_hit,hard_stop",21,True,True,20,63,264,4,True,4,True,13,False,13,False,14,True,10,False,280,True,True,20,20,9.999999999177334e-07,2,0.8,0.2395437262357414,0.2790108533378321,0.1919458282083747,0.294640970851442,True,11,0,0,14,5,14,68.36957678788949,0.19194582820837475,0.294640970851442,0.25996036801478895,True
BBOB_F37,10,2,20,20,20,13,13,309,True,309,True,True,True,normal,ok,0,False,True,109,True,0.0,,0,29,True,True,True,True,nao_se_aplica,0,13,True,1.998424536964194e-09,0.6403120029717684,4.617853,0.1386601095729483,0.128517,62,1,True,"cache_hit,hard_stop",21,True,True,20,41,242,2,True,2,True,12,False,12,False,13,True,10,False,260,True,True,20,20,9.999999999177334e-07,2,0.45,0.1701244813278008,0.1570925765040381,0.1279509673112703,0.2226495842289908,True,15,0,0,13,4,13,39.7990560896174,0.1279509673112703,0.22264958422899084,0.16514131157517595,True
BBOB_F49,10,2,20,20,20,14,14,309,True,309,True,True,True,normal,ok,0,False,True,109,True,0.0,,0,29,True,True,True,True,nao_se_aplica,0,14,True,5.825042725948748e-09,0.9612460099160672,5.21697,0.1842536970532832,0.58248,90,1,True,"cache_hit,hard_stop",21,True,True,20,69,270,10,True,10,True,13,False,13,False,14,True,10,False,280,True,True,20,20,9.999999999177334e-07,2,0.8,0.2565055762081784,0.2790108533378321,0.2080017975495679,0.3118661404774778,True,12,0,0,14,5,14,73.94298372886293,0.2080017975495679,0.3118661404774778,0.2748809804046949,True
BBOB_F5,10,2,20,20,20,14,14,309,True,309,True,True,True,normal,ok,0,False,True,109,True,0.0,,0,29,True,True,True,True,nao_se_aplica,0,14,True,4.298210148911963e-09,0.7574950028210878,4.972182,0.1523465960862027,0.128612,90,1,True,"cache_hit,hard_stop",21,True,True,20,69,270,10,True,10,True,13,False,13,False,14,True,10,False,280,True,True,20,20,9.999999999177334e-07,2,0.85,0.2565055762081784,0.296427750028374,0.2080017975495679,0.3118661404774778,True,11,0,0,14,7,14,73.94298372886293,0.2080017975495679,0.3118661404774778,0.2748809804046949,True
BBOB_F55,10,2,20,20,20,13,13,309,True,309,True,True,True,normal,ok,0,False,True,109,True,0.0,,0,29,True,True,True,True,nao_se_aplica,0,13,True,7.306098948056672e-09,1.3302799947559834,5.473182,0.2430542223437816,1.1418410000000003,72,1,True,"cache_hit,hard_stop",21,True,True,20,51,252,12,True,12,True,12,False,12,False,13,True,10,False,260,True,True,20,20,9.999999999177334e-07,2,0.55,0.2031872509960159,0.1919263698851221,0.1580570303321862,0.2572660566363464,True,15,3,0,13,3,13,47.46249063345588,0.15805703033218624,0.25726605663634644,0.18909358818109911,True
DTLZ1,7,3,20,15,15,11,11,216,True,216,True,True,True,normal,ok,0,False,True,76,True,0.0,,0,28,True,True,True,True,nao_se_aplica,0,11,True,3.770828260751813e-09,0.5569940032437444,4.304676,0.1293927819988646,0.067586,28,1,True,"cache_hit,hard_stop",16,True,True,15,12,153,3,True,13,True,10,False,10,False,11,True,9,False,165,True,True,15,15,2.0000000000575113e-06,2,0.3333333333333333,0.0789473684210526,0.1150759583895437,0.0457353824635456,0.1329178141155448,True,12,11,0,11,5,11,14.94040019768246,0.045735382463545665,0.13291781411554487,0.0982921065637004,True
DTLZ2,12,3,20,15,15,17,17,371,True,371,True,True,True,normal,ok,0,False,True,131,True,0.0,,0,33,True,True,True,True,nao_se_aplica,0,17,True,3.684997557096281e-09,0.6338129984214902,4.289777,0.1477496378999398,0.1135470000000003,28,1,True,"cache_hit,hard_stop",16,True,True,15,12,253,13,True,29,False,18,False,16,False,17,True,16,False,255,True,True,15,15,2.0000000000575113e-06,2,0.1333333333333333,0.0476190476190476,0.0470072286434894,0.0274466612886158,0.081376923304351,True,14,17,17,17,6,17,14.450211145160424,0.027446661288615858,0.08137692330435103,0.05734210771889057,True
DTLZ3,12,3,20,15,15,18,18,371,True,371,True,True,True,normal,ok,0,False,True,131,True,0.0,,0,33,True,True,True,True,nao_se_aplica,0,18,True,1.0763168356575648e-08,0.6672580130398273,5.119199,0.1303442224144494,0.110469,42,1,True,"cache_hit,hard_stop",16,True,True,15,26,267,12,True,29,False,19,False,17,False,18,True,16,False,270,True,True,15,15,2.0000000000575113e-06,2,0.3333333333333333,0.0977443609022556,0.1173891669597927,0.0675779278517534,0.1393642189484434,True,13,7,0,18,7,18,31.34316538756252,0.06757792785175347,0.13936421894844342,0.11783144882542301,True
