problema,D,M,N_ef,n_doe,dF_f32,log_nfrentes,log_nfrente1,f64_nfrentes,f64_nfrente1,excede,f32_nfrentes,f32_nfrente1,seed_log_ok_f64,seed_log_ok_f32,excede_recomp,D88_f64_conj,D88_f64_ordem,D88_f32_conj,D88_f32_ordem,transicoes,substituicoes,co_subst,frac_slots,frac_co
BBOB_F1,10,2,20,109,0.0,17,7,17,7,False,17,7,True,True,False,True,False,True,False,11,114,69,0.5181818181818182,0.6052631578947368
BBOB_F17,10,2,20,109,0.0,14,6,14,6,False,14,6,True,True,False,True,False,True,False,13,148,121,0.5692307692307692,0.8175675675675675
BBOB_F22,10,2,20,109,0.0,20,5,20,5,False,20,5,True,True,False,True,False,True,False,13,150,113,0.5769230769230769,0.7533333333333333
BBOB_F37,10,2,20,109,0.0,17,5,17,5,False,17,5,True,True,False,True,False,True,False,12,119,67,0.49583333333333335,0.5630252100840336
BBOB_F49,10,2,20,109,0.0,20,5,20,5,False,20,5,True,True,False,True,False,True,False,13,91,74,0.35,0.8131868131868132
BBOB_F5,10,2,20,109,0.0,22,7,22,7,False,22,7,True,True,False,True,False,True,False,13,156,126,0.6,0.8076923076923077
BBOB_F55,10,2,20,109,0.0,17,4,17,4,False,17,4,True,True,False,True,False,True,False,12,126,87,0.525,0.6904761904761905
DTLZ1,7,3,15,76,0.0,6,17,6,17,False,6,17,True,True,True,True,True,True,True,10,69,21,0.46,0.30434782608695654
DTLZ2,12,3,15,131,0.0,6,40,6,40,True,6,40,True,True,True,True,True,True,True,16,123,28,0.5125,0.22764227642276422
DTLZ3,12,3,15,131,0.0,7,19,7,19,False,7,19,True,True,True,True,True,True,True,17,117,44,0.4588235294117647,0.37606837606837606
DTLZ4,12,3,15,131,0.0,7,23,7,23,True,23,7,True,False,True,True,True,False,False,17,148,46,0.5803921568627451,0.3108108108108108
DTLZ7,22,3,15,241,0.0,10,21,10,21,True,10,21,True,True,True,True,True,True,True,32,303,127,0.63125,0.41914191419141916
MMF1,2,2,20,21,0.0,6,7,6,7,False,6,7,True,True,False,True,False,True,False,2,21,12,0.525,0.5714285714285714
MMF11_L,2,2,20,21,0.0,3,9,3,9,False,3,9,True,True,False,True,False,True,False,2,28,18,0.7,0.6428571428571429
MMF16_20,20,3,15,219,0.0,7,50,7,50,True,7,50,True,True,True,True,True,True,True,28,266,84,0.6333333333333333,0.3157894736842105
MMF4,2,2,20,21,0.0,4,9,4,9,False,4,9,True,True,False,True,False,True,False,2,25,15,0.625,0.6
WFG1,22,2,20,241,0.0,22,18,22,18,False,22,18,True,True,False,True,False,True,False,30,288,199,0.48,0.6909722222222222
WFG2,22,2,20,241,0.0,26,8,26,8,False,26,8,True,True,False,True,False,True,False,26,250,152,0.4807692307692308,0.608
WFG4,22,2,20,241,0.0,10,30,10,30,True,10,30,True,True,True,True,True,True,True,26,204,127,0.3923076923076923,0.6225490196078431
WFG5,22,2,20,241,0.0,10,36,10,36,True,10,36,True,True,True,True,True,True,True,25,217,115,0.434,0.5299539170506913
WFG9,22,2,20,241,0.0,11,15,11,15,False,11,15,True,True,False,True,False,True,False,24,157,54,0.32708333333333334,0.34394904458598724
ZDT1,30,2,20,329,0.0,19,14,19,14,False,19,14,True,True,False,True,False,True,False,37,328,212,0.44324324324324327,0.6463414634146342
ZDT3,30,2,20,329,0.0,21,12,21,12,False,21,12,True,True,False,True,False,True,False,37,360,224,0.4864864864864865,0.6222222222222222
ZDT4,10,2,20,109,0.0,17,8,17,8,False,17,8,True,True,False,True,False,True,False,13,111,87,0.4269230769230769,0.7837837837837838
ZDT6,10,2,20,109,0.0,20,7,20,7,False,20,7,True,True,False,True,False,True,False,13,145,115,0.5576923076923077,0.7931034482758621
