label,problema,D,n_ger,N,g1_lhs_medio,g1_lhs_min,g1_fora_bounds,g1_dup,g2_lhs_medio,g2_lhs_min,g2_fora_bounds,g2_dup,gfin_lhs_medio,gfin_lhs_min,gfin_fora_bounds,gfin_dup,passos_selecao,aval_total
BBOB_F1,BBOB_F1,10,801,50,1.0,1.0,0,0,0.066,0.02,0,38,0.14000000000000004,0.08,0,0,40000,40050
BBOB_F17,BBOB_F17,10,801,50,1.0,1.0,0,0,0.06999999999999999,0.04,0,42,0.019999999999999997,0.02,0,49,40000,40050
BBOB_F22,BBOB_F22,10,801,50,1.0,1.0,0,0,0.094,0.06,0,40,0.05600000000000001,0.02,0,2,40000,40050
BBOB_F37,BBOB_F37,10,801,50,1.0,1.0,0,0,0.07200000000000001,0.04,0,37,0.196,0.12,0,0,40000,40050
BBOB_F49,BBOB_F49,10,801,50,1.0,1.0,0,0,0.08399999999999999,0.06,0,38,0.21400000000000002,0.06,0,0,40000,40050
BBOB_F5,BBOB_F5,10,801,50,1.0,1.0,0,0,0.062,0.02,0,37,0.12200000000000003,0.06,0,0,40000,40050
BBOB_F55,BBOB_F55,10,801,50,1.0,1.0,0,0,0.08199999999999999,0.04,0,36,0.10800000000000001,0.04,0,0,40000,40050
DTLZ1,DTLZ1,7,381,105,1.0,1.0,0,0,0.07619047619047618,0.05714285714285714,0,78,0.0163265306122449,0.009523809523809525,0,100,39900,40005
DTLZ2,DTLZ2,12,381,105,1.0,1.0,0,0,0.05714285714285714,0.02857142857142857,0,73,0.022222222222222227,0.009523809523809525,0,96,39900,40005
DTLZ3,DTLZ3,12,381,105,1.0,1.0,0,0,0.046825396825396826,0.01904761904761905,0,75,0.019047619047619046,0.01904761904761905,0,103,39900,40005
DTLZ4,DTLZ4,12,381,105,1.0,1.0,0,0,0.17063492063492067,0.1523809523809524,0,63,0.14126984126984124,0.13333333333333333,0,87,39900,40005
DTLZ7,DTLZ7,22,381,105,1.0,1.0,0,0,0.058008658008658,0.01904761904761905,0,74,0.11212121212121211,0.02857142857142857,0,9,39900,40005
MMF1,MMF1,2,801,50,1.0,1.0,0,0,0.03,0.02,0,45,0.04,0.02,0,0,40000,40050
MMF11_L,MMF11_L,2,801,50,1.0,1.0,0,0,0.08,0.06,0,39,0.060000000000000005,0.02,0,0,40000,40050
MMF16_20,MMF16_20,20,381,105,1.0,1.0,0,0,0.09619047619047619,0.047619047619047616,0,71,0.1780952380952381,0.01904761904761905,0,1,39900,40005
MMF4,MMF4,2,801,50,1.0,1.0,0,0,0.07,0.06,0,40,0.32,0.2,0,0,40000,40050
WFG1,WFG1,22,801,50,1.0,1.0,0,0,0.05363636363636364,0.02,0,41,0.12000000000000002,0.04,0,0,40000,40050
WFG2,WFG2,22,801,50,1.0,1.0,0,0,0.05636363636363639,0.04,0,41,0.11727272727272728,0.02,0,0,40000,40050
WFG4,WFG4,22,801,50,1.0,1.0,0,0,0.07272727272727274,0.04,0,37,0.12454545454545457,0.02,0,0,40000,40050
WFG5,WFG5,22,801,50,1.0,1.0,0,0,0.06363636363636366,0.04,0,38,0.13636363636363638,0.04,0,0,40000,40050
WFG9,WFG9,22,801,50,1.0,1.0,0,0,0.07909090909090911,0.06,0,39,0.14818181818181822,0.04,0,0,40000,40050
ZDT1,ZDT1,30,801,50,1.0,1.0,0,0,0.03933333333333334,0.02,0,36,0.0986666666666667,0.04,0,0,40000,40050
ZDT3,ZDT3,30,801,50,1.0,1.0,0,0,0.03466666666666667,0.02,0,42,0.11400000000000002,0.04,0,0,40000,40050
ZDT4,ZDT4,10,801,50,1.0,1.0,0,0,0.08199999999999999,0.04,0,39,0.07200000000000001,0.02,0,0,40000,40050
ZDT6,ZDT6,10,801,50,1.0,1.0,0,0,0.076,0.04,0,37,0.039999999999999994,0.04,0,47,40000,40050
