problema,D,M,p1_f32_bate,p1_f32_inter,p1_f32_nfrentes,p1_f32_nf1,nfrentes_log,nf1_log,p1_f32_frentes_ok,excede_log,excede_calc,ndoe_log,ndoe_ok,p1_f64_bate,p1_f64_nfrentes,p1_f64_nf1,fe_last,resto,ch_prole_tot,ch_prole_completos,ch_prole_truncado,ledger_ok,hard_stop,hs_iff_resto,n_ger,D_mais_1,fe_g1,fe_g1_ok,inc_min,inc_max,inc_eq20,inc_n,soma_20_menos_inc,p1_f64_valida,p1_f64_valida_tot,p1_f64_frentes_ok
BBOB_F1,10,2,True,20,17,7,17,7,True,False,False,109,True,,,,293,16,17,15,2,False,1,True,11,True,109,True,16,20,5,10,16,,,
BBOB_F17,10,2,True,20,14,6,14,6,True,False,False,109,True,,,,302,7,9,6,3,False,1,True,11,True,109,True,17,20,7,10,7,,,
BBOB_F22,10,2,True,20,20,5,20,5,True,False,False,109,True,,,,306,3,3,3,0,True,1,True,11,True,109,True,18,20,8,10,3,,,
BBOB_F37,10,2,True,20,17,5,17,5,True,False,False,109,True,,,,306,3,3,2,1,False,1,True,11,True,109,True,18,20,8,10,3,,,
BBOB_F49,10,2,True,20,20,5,20,5,True,False,False,109,True,,,,306,3,3,3,0,True,1,True,11,True,109,True,18,20,8,10,3,,,
BBOB_F5,10,2,True,20,22,7,22,7,True,False,False,109,True,,,,304,5,6,4,2,False,1,True,11,True,109,True,18,20,6,10,5,,,
BBOB_F55,10,2,True,20,17,4,17,4,True,False,False,109,True,,,,303,6,6,6,0,True,1,True,11,True,109,True,17,20,6,10,6,,,
DTLZ1,7,3,True,20,6,17,6,17,True,False,False,76,True,,,,214,2,2,2,0,True,1,True,8,True,76,True,18,20,6,7,2,,,
DTLZ2,12,3,True,20,6,40,6,40,True,True,True,131,True,,,,367,4,4,4,0,True,1,True,13,True,131,True,18,20,9,12,4,,,
DTLZ3,12,3,True,20,7,19,7,19,True,False,False,131,True,,,,368,3,3,3,0,True,1,True,13,True,131,True,19,20,9,12,3,,,
DTLZ4,12,3,False,10,23,7,7,23,False,True,False,131,True,True,7.0,23.0,370,1,1,1,0,True,1,True,13,True,131,True,19,20,11,12,1,393.0,393.0,True
DTLZ7,22,3,True,20,10,21,10,21,True,True,True,241,True,,,,666,15,15,15,0,True,1,True,23,True,241,True,16,20,14,22,15,,,
MMF1,2,2,True,20,6,7,6,7,True,False,False,21,True,,,,60,1,1,1,0,True,1,True,3,True,21,True,19,20,1,2,1,,,
MMF11_L,2,2,True,20,3,9,3,9,True,False,False,21,True,,,,60,1,1,1,0,True,1,True,3,True,21,True,19,20,1,2,1,,,
MMF16_20,20,3,True,20,7,50,7,50,True,True,True,219,True,,,,609,10,10,10,0,True,1,True,21,True,219,True,18,20,13,20,10,,,
MMF4,2,2,True,20,4,9,4,9,True,False,False,21,True,,,,61,0,0,0,0,True,0,True,3,True,21,True,20,20,2,2,0,,,
WFG1,22,2,True,20,22,18,22,18,True,False,False,241,True,,,,669,12,12,12,0,True,1,True,23,True,241,True,18,20,14,22,12,,,
WFG2,22,2,True,20,26,8,26,8,True,False,False,241,True,,,,670,11,11,11,0,True,1,True,23,True,241,True,17,20,15,22,11,,,
WFG4,22,2,True,20,10,30,10,30,True,True,True,241,True,,,,670,11,11,11,0,True,1,True,23,True,241,True,17,20,15,22,11,,,
WFG5,22,2,True,20,10,36,10,36,True,True,True,241,True,,,,671,10,10,10,0,True,1,True,23,True,241,True,18,20,13,22,10,,,
WFG9,22,2,True,20,11,15,11,15,True,False,False,241,True,,,,671,10,10,10,0,True,1,True,23,True,241,True,17,20,15,22,10,,,
ZDT1,30,2,True,20,19,14,19,14,True,False,False,329,True,,,,912,17,19,17,2,True,1,True,31,True,329,True,17,20,21,30,17,,,
ZDT3,30,2,True,20,21,12,21,12,True,False,False,329,True,,,,918,11,11,11,0,True,1,True,31,True,329,True,17,20,23,30,11,,,
ZDT4,10,2,True,20,17,8,17,8,True,False,False,109,True,,,,304,5,6,5,1,True,1,True,11,True,109,True,17,20,7,10,5,,,
ZDT6,10,2,True,20,20,7,20,7,True,False,False,109,True,,,,301,8,9,7,2,False,1,True,11,True,109,True,17,20,5,10,8,,,
